team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
100 Thieves,1,L,1,Haven,W,13.0,11.0,13-11,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
100 Thieves,1,L,2,Sunset,L,7.0,13.0,7-13,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
100 Thieves,1,L,3,Ascent,L,10.0,13.0,10-13,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
100 Thieves,2,L,1,Icebox,L,11.0,13.0,11-13,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
100 Thieves,3,W,1,Icebox,L,9.0,13.0,9-13,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
100 Thieves,3,W,2,Split,L,4.0,13.0,4-13,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
100 Thieves,3,W,3,Haven,W,13.0,3.0,13-3,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
100 Thieves,3,W,4,Ascent,W,13.0,10.0,13-10,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
100 Thieves,3,W,5,Pearl,W,13.0,9.0,13-9,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
100 Thieves,4,L,1,Pearl,L,5.0,13.0,5-13,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
100 Thieves,4,L,2,Split,W,13.0,11.0,13-11,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
100 Thieves,4,L,3,Haven,L,11.0,13.0,11-13,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
100 Thieves,4,L,4,Icebox,L,7.0,13.0,7-13,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
100 Thieves,5,W,1,Icebox,W,15.0,13.0,15-13,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
100 Thieves,5,W,2,Pearl,W,13.0,5.0,13-5,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
100 Thieves,6,W,1,Haven,W,13.0,9.0,13-9,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
100 Thieves,6,W,2,Split,W,13.0,8.0,13-8,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
100 Thieves,7,W,1,Haven,L,7.0,13.0,7-13,https://www.vlr.gg/488007/100-thieves-vs-nrg-esports-world-cup-2025-ubsf
100 Thieves,7,W,2,Ascent,W,13.0,9.0,13-9,https://www.vlr.gg/488007/100-thieves-vs-nrg-esports-world-cup-2025-ubsf
100 Thieves,7,W,3,Fracture,W,13.0,9.0,13-9,https://www.vlr.gg/488007/100-thieves-vs-nrg-esports-world-cup-2025-ubsf
100 Thieves,8,W,1,Haven,W,13.0,2.0,13-2,https://www.vlr.gg/488003/100-thieves-vs-furia-esports-world-cup-2025-ubqf
100 Thieves,8,W,2,Icebox,W,13.0,7.0,13-7,https://www.vlr.gg/488003/100-thieves-vs-furia-esports-world-cup-2025-ubqf
100 Thieves,9,L,1,Haven,L,4.0,13.0,4-13,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2
100 Thieves,9,L,2,Split,W,14.0,12.0,14-12,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2
100 Thieves,9,L,3,Pearl,L,14.0,16.0,14-16,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2
