team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
120,100 Thieves,1,2025/07/09,L,1:2,EDward Gaming,EWC 2025,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
120,100 Thieves,2,2025/07/08,L,0:1,FNATIC,EWC 2025,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
120,100 Thieves,3,2025/05/25,W,3:2,MIBR,EWC 2025,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
120,100 Thieves,4,2025/05/24,L,1:3,NRG,EWC 2025,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
120,100 Thieves,5,2025/05/23,W,2:0,Evil Geniuses,EWC 2025,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
120,100 Thieves,6,2025/05/18,W,2:0,Cloud9,EWC 2025,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
120,100 Thieves,7,2025/05/17,W,2:1,NRG,EWC 2025,https://www.vlr.gg/488007/100-thieves-vs-nrg-esports-world-cup-2025-ubsf
120,100 Thieves,8,2025/05/16,W,2:0,FURIA,EWC 2025,https://www.vlr.gg/488003/100-thieves-vs-furia-esports-world-cup-2025-ubqf
120,100 Thieves,9,2025/04/27,L,1:2,G2 Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2
120,100 Thieves,10,2025/04/25,W,2:0,NRG,VCT 25: AMER Stage 1,https://www.vlr.gg/475903/100-thieves-vs-nrg-esports-champions-tour-2025-americas-stage-1-lr1
120,100 Thieves,11,2025/04/24,L,0:2,MIBR,VCT 25: AMER Stage 1,https://www.vlr.gg/475897/mibr-vs-100-thieves-champions-tour-2025-americas-stage-1-ubr1
120,100 Thieves,12,2025/04/19,L,0:2,KRÜ Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459544/kr-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-w5
120,100 Thieves,13,2025/04/11,W,2:0,2Game Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459535/100-thieves-vs-2game-esports-champions-tour-2025-americas-stage-1-w4
120,100 Thieves,14,2025/04/04,W,2:1,LOUD,VCT 25: AMER Stage 1,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
120,100 Thieves,15,2025/03/29,W,2:0,Evil Geniuses,VCT 25: AMER Stage 1,https://www.vlr.gg/459525/100-thieves-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w2
120,100 Thieves,16,2025/03/23,L,1:2,Sentinels,VCT 25: AMER Stage 1,https://www.vlr.gg/459522/sentinels-vs-100-thieves-champions-tour-2025-americas-stage-1-w1
120,100 Thieves,17,2025/01/24,L,1:2,NRG,VCT 25: AMER Kickoff,https://www.vlr.gg/428005/100-thieves-vs-nrg-esports-champions-tour-2025-americas-kickoff-lr1
120,100 Thieves,18,2025/01/18,L,1:2,Sentinels,VCT 25: AMER Kickoff,https://www.vlr.gg/427996/sentinels-vs-100-thieves-champions-tour-2025-americas-kickoff-ubqf
120,100 Thieves,19,2025/01/16,W,2:0,MIBR,VCT 25: AMER Kickoff,https://www.vlr.gg/427992/mibr-vs-100-thieves-champions-tour-2025-americas-kickoff-ur1
120,100 Thieves,20,2024/11/26,L,1:2,Trust In Plug,FTWD 2024,https://www.vlr.gg/423186/100-thieves-vs-trust-in-plug-for-those-who-dare-2024-sf
120,100 Thieves,21,2024/07/19,L,1:2,KRÜ Esports,VCT 24: AMER Stage 2,https://www.vlr.gg/371272/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-2-lr1
120,100 Thieves,22,2024/07/18,L,0:2,G2 Esports,VCT 24: AMER Stage 2,https://www.vlr.gg/371269/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-2-ubsf
120,100 Thieves,23,2024/07/17,W,2:0,Sentinels,VCT 24: AMER Stage 2,https://www.vlr.gg/371267/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-2-ko
120,100 Thieves,24,2024/07/14,L,1:2,LOUD,VCT 24: AMER Stage 2,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4
120,100 Thieves,25,2024/07/08,W,2:1,Evil Geniuses,VCT 24: AMER Stage 2,https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3
120,100 Thieves,26,2024/07/03,W,2:0,MIBR,VCT 24: AMER Stage 2,https://www.vlr.gg/353190/mibr-vs-100-thieves-champions-tour-2024-americas-stage-2-w2
120,100 Thieves,27,2024/06/30,L,0:2,LEVIATÁN,VCT 24: AMER Stage 2,https://www.vlr.gg/353185/leviat-n-vs-100-thieves-champions-tour-2024-americas-stage-2-w2
120,100 Thieves,28,2024/06/23,L,0:2,FURIA,VCT 24: AMER Stage 2,https://www.vlr.gg/353179/furia-vs-100-thieves-champions-tour-2024-americas-stage-2-w1
120,100 Thieves,33,2024/05/12,W,3:0,G2 Esports,VCT 24: AMER Stage 1,https://www.vlr.gg/337412/100-thieves-vs-g2-esports-champions-tour-2024-americas-stage-1-gf
120,100 Thieves,34,2024/05/10,W,2:1,G2 Esports,VCT 24: AMER Stage 1,https://www.vlr.gg/337411/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-ubf
120,100 Thieves,35,2024/05/09,W,2:1,LEVIATÁN,VCT 24: AMER Stage 1,https://www.vlr.gg/337410/leviat-n-vs-100-thieves-champions-tour-2024-americas-stage-1-ubsf
120,100 Thieves,36,2024/05/08,W,2:0,LOUD,VCT 24: AMER Stage 1,https://www.vlr.gg/337408/100-thieves-vs-loud-champions-tour-2024-americas-stage-1-ko
120,100 Thieves,37,2024/05/04,W,2:0,NRG,VCT 24: AMER Stage 1,https://www.vlr.gg/314651/nrg-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w5
120,100 Thieves,38,2024/04/29,L,1:2,KRÜ Esports,VCT 24: AMER Stage 1,https://www.vlr.gg/314648/kr-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w4
120,100 Thieves,39,2024/04/22,W,2:0,Cloud9,VCT 24: AMER Stage 1,https://www.vlr.gg/314639/cloud9-vs-100-thieves-champions-tour-2024-americas-stage-1-w3
120,100 Thieves,40,2024/04/13,W,2:0,G2 Esports,VCT 24: AMER Stage 1,https://www.vlr.gg/314628/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w2
120,100 Thieves,41,2024/04/07,L,0:2,Sentinels,VCT 24: AMER Stage 1,https://www.vlr.gg/314625/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-1-w1
120,100 Thieves,42,2024/02/19,L,1:2,Sentinels,VCT 24: AMER Kickoff,https://www.vlr.gg/295613/sentinels-vs-100-thieves-champions-tour-2024-americas-kickoff-elim-b
120,100 Thieves,43,2024/02/17,L,1:2,LEVIATÁN,VCT 24: AMER Kickoff,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b
120,100 Thieves,44,2024/01/13,L,1:2,Cloud9,LxT Invitational 2,https://www.vlr.gg/294186/cloud9-vs-100-thieves-ludwig-x-tarik-invitational-2-lr1
120,100 Thieves,45,2024/01/13,L,0:2,Oxygen Esports,LxT Invitational 2,https://www.vlr.gg/294183/100-thieves-vs-oxygen-esports-ludwig-x-tarik-invitational-2-ubsf
120,100 Thieves,46,2023/11/04,L,0:2,DRX,Red Bull HG #4,https://www.vlr.gg/283098/drx-vs-100-thieves-red-bull-home-ground-4-qf
120,100 Thieves,47,2023/11/03,W,1:0,SCARZ,Red Bull HG #4,https://www.vlr.gg/283094/100-thieves-vs-scarz-red-bull-home-ground-4-r2
120,100 Thieves,48,2023/11/03,L,0:1,FUT Esports,Red Bull HG #4,https://www.vlr.gg/283089/fut-esports-vs-100-thieves-red-bull-home-ground-4-r1
120,100 Thieves,49,2023/07/16,L,1:2,Sentinels,VCT 2023: Americas LCQ,https://www.vlr.gg/232730/sentinels-vs-100-thieves-champions-tour-2023-americas-last-chance-qualifier-ubqf
120,100 Thieves,50,2023/05/20,L,1:2,MIBR,VCT 2023: Americas,https://www.vlr.gg/184036/mibr-vs-100-thieves-champions-tour-2023-americas-league-w8
1119,All Gamers,3,2025/04/12,L,1:2,Wolves Esports,VCT 25: CN Stage 1,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
1119,All Gamers,4,2025/04/05,L,0:2,JDG Esports,VCT 25: CN Stage 1,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
1119,All Gamers,5,2025/03/30,L,0:2,Bilibili Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
1119,All Gamers,14,2024/11/23,L,0:2,Global Esports,GE: Face Off,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
1119,All Gamers,45,2023/05/18,L,1:2,KeepBest Gaming,Spring Gauntlet '23,https://www.vlr.gg/211806/keepbest-gaming-vs-all-gamers-spring-gauntlet-2023-invitational-lr2
1119,All Gamers,46,2023/05/15,L,0:2,Nova Esports,Spring Gauntlet '23,https://www.vlr.gg/211789/nova-esports-vs-all-gamers-spring-gauntlet-2023-invitational-ro16
1119,All Gamers,47,2023/04/27,L,0:2,JiJieHao,FGC Invitational 2023: Act 2 Qualifiers,https://www.vlr.gg/202393/jijiehao-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
1119,All Gamers,48,2023/04/19,L,0:2,Kingzone,FGC Invitational 2023: Act 2 Qualifiers,https://www.vlr.gg/198830/kingzone-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
1119,All Gamers,49,2023/04/11,L,0:2,KunPeng Gaming,FGC Invitational 2023: Act 2 Qualifiers,https://www.vlr.gg/195665/kunpeng-gaming-vs-all-gamers-fgc-valorant-invitational-2023-act-2-qualifiers-play-in
1119,All Gamers,50,2023/04/05,L,0:2,JiJieHao,FGC Invitational 2023: Act 2 Qualifiers,https://www.vlr.gg/192677/all-gamers-vs-jijiehao-fgc-valorant-invitational-2023-act-2-qualifiers-ro16
11479,Apeks,1,2025/05/17,L,0:2,GIANTX,EWC 2025,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
11479,Apeks,2,2025/05/16,L,0:2,FUT Esports,EWC 2025,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
11479,Apeks,3,2025/04/23,L,0:2,GIANTX,VCT 25: EMEA Stage 1,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
11479,Apeks,4,2025/04/16,L,0:2,Team Vitality,VCT 25: EMEA Stage 1,https://www.vlr.gg/459845/team-vitality-vs-apeks-champions-tour-2025-emea-stage-1-w4
11479,Apeks,5,2025/04/11,L,0:2,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/459843/apeks-vs-fnatic-champions-tour-2025-emea-stage-1-w3
11479,Apeks,6,2025/04/02,L,1:2,Natus Vincere,VCT 25: EMEA Stage 1,https://www.vlr.gg/459833/apeks-vs-natus-vincere-champions-tour-2025-emea-stage-1-w2
11479,Apeks,7,2025/03/27,L,1:2,Team Heretics,VCT 25: EMEA Stage 1,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
