team_id,team_name,match_number_x,date,result,score,opponent,tournament,match_url,match_number_y,maps_played,map_results,our_scores,their_scores,total_maps,maps_won,maps_lost,all_players,all_player_teams,all_player_ratings
120,100 Thieves,1,2025/07/09,L,1:2,EDward Gaming,EWC 2025,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d,1.0,"['Haven', 'Sunset', 'Ascent']","['W', 'L', 'L']","[13.0, 7.0, 10.0]","[11.0, 13.0, 13.0]",3.0,1.0,2.0,"['zander', 'eeiu', 'Cryocells', 'Asuna', 'Boostio', 'ZmjjKK', 'nobody', 'CHICHOO', 'Smoggy', 'zjc', 'zander', 'eeiu', 'Cryocells', 'Asuna', 'Boostio', 'ZmjjKK', 'nobody', 'CHICHOO', 'Smoggy', 'zjc']","['100T', '100T', '100T', '100T', '100T', 'EDG', 'EDG', 'EDG', 'EDG', 'EDG', '100T', '100T', '100T', '100T', '100T', 'EDG', 'EDG', 'EDG', 'EDG', 'EDG']","[1.15, 1.06, 1.03, 1.03, 0.41, 1.45, 1.06, 1.06, 0.93, 0.87, 1.15, 1.06, 1.03, 1.03, 0.41, 1.45, 1.06, 1.06, 0.93, 0.87]"
120,100 Thieves,2,2025/07/08,L,0:1,FNATIC,EWC 2025,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d,2.0,['Icebox'],['L'],[11.0],[13.0],1.0,0.0,1.0,"['eeiu', 'zander', 'Asuna', 'Cryocells', 'Boostio', 'kaajak', 'Chronicle', 'crashies', 'Boaster', 'Alfajer', 'eeiu', 'zander', 'Asuna', 'Cryocells', 'Boostio', 'kaajak', 'Chronicle', 'crashies', 'Boaster', 'Alfajer']","['100T', '100T', '100T', '100T', '100T', 'FNC', 'FNC', 'FNC', 'FNC', 'FNC', '100T', '100T', '100T', '100T', '100T', 'FNC', 'FNC', 'FNC', 'FNC', 'FNC']","[1.33, 0.98, 0.84, 0.73, 0.57, 1.4, 1.3, 0.96, 0.83, 0.74, 1.33, 0.98, 0.84, 0.73, 0.57, 1.4, 1.3, 0.96, 0.83, 0.74]"
120,100 Thieves,3,2025/05/25,W,3:2,MIBR,EWC 2025,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider,3.0,"['Icebox', 'Split', 'Haven', 'Ascent', 'Pearl']","['L', 'L', 'W', 'W', 'W']","[9.0, 4.0, 13.0, 13.0, 13.0]","[13.0, 13.0, 3.0, 10.0, 9.0]",5.0,3.0,2.0,"['Asuna', 'Cryocells', 'eeiu', 'zander', 'Boostio', 'aspas', 'cortezia', 'Verno', 'artzin', 'xenom', 'Asuna', 'Cryocells', 'eeiu', 'zander', 'Boostio', 'aspas', 'cortezia', 'Verno', 'artzin', 'xenom']","['100T', '100T', '100T', '100T', '100T', 'MIBR', 'MIBR', 'MIBR', 'MIBR', 'MIBR', '100T', '100T', '100T', '100T', '100T', 'MIBR', 'MIBR', 'MIBR', 'MIBR', 'MIBR']","[1.13, 1.06, 1.05, 1.0, 0.68, 1.32, 1.05, 0.93, 0.88, 0.81, 1.13, 1.06, 1.05, 1.0, 0.68, 1.32, 1.05, 0.93, 0.88, 0.81]"
120,100 Thieves,4,2025/05/24,L,1:3,NRG,EWC 2025,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners,4.0,"['Pearl', 'Split', 'Haven', 'Icebox']","['L', 'W', 'L', 'L']","[5.0, 13.0, 11.0, 7.0]","[13.0, 11.0, 13.0, 13.0]",4.0,1.0,3.0,"['s0m', 'brawk', 'mada', 'skuba', 'Ethan', 'eeiu', 'zander', 'Cryocells', 'Asuna', 'Boostio', 's0m', 'brawk', 'mada', 'skuba', 'Ethan', 'eeiu', 'zander', 'Cryocells', 'Asuna', 'Boostio']","['NRG', 'NRG', 'NRG', 'NRG', 'NRG', '100T', '100T', '100T', '100T', '100T', 'NRG', 'NRG', 'NRG', 'NRG', 'NRG', '100T', '100T', '100T', '100T', '100T']","[1.31, 1.13, 1.07, 1.04, 0.97, 1.17, 1.0, 0.95, 0.66, 0.65, 1.31, 1.13, 1.07, 1.04, 0.97, 1.17, 1.0, 0.95, 0.66, 0.65]"
120,100 Thieves,5,2025/05/23,W,2:0,Evil Geniuses,EWC 2025,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening,5.0,"['Icebox', 'Pearl']","['W', 'W']","[15.0, 13.0]","[13.0, 5.0]",2.0,2.0,0.0,"['yay', 'NaturE', 'supamen', 'Derrek', 'icy', 'eeiu', 'zander', 'Cryocells', 'Boostio', 'Asuna', 'yay', 'NaturE', 'supamen', 'Derrek', 'icy', 'eeiu', 'zander', 'Cryocells', 'Boostio', 'Asuna']","['EG', 'EG', 'EG', 'EG', 'EG', '100T', '100T', '100T', '100T', '100T', 'EG', 'EG', 'EG', 'EG', 'EG', '100T', '100T', '100T', '100T', '100T']","[1.06, 0.94, 0.86, 0.75, 0.71, 1.42, 1.18, 1.13, 1.05, 0.79, 1.06, 0.94, 0.86, 0.75, 0.71, 1.42, 1.18, 1.13, 1.05, 0.79]"
120,100 Thieves,6,2025/05/18,W,2:0,Cloud9,EWC 2025,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf,6.0,"['Haven', 'Split']","['W', 'W']","[13.0, 13.0]","[9.0, 8.0]",2.0,2.0,0.0,"['Cryocells', 'Asuna', 'Boostio', 'eeiu', 'zander', 'v1c', 'OXY', 'Xeppaa', 'neT', 'mitch', 'Cryocells', 'Asuna', 'Boostio', 'eeiu', 'zander', 'v1c', 'OXY', 'Xeppaa', 'neT', 'mitch']","['100T', '100T', '100T', '100T', '100T', 'C9', 'C9', 'C9', 'C9', 'C9', '100T', '100T', '100T', '100T', '100T', 'C9', 'C9', 'C9', 'C9', 'C9']","[1.33, 1.12, 1.01, 1.0, 0.97, 1.12, 1.03, 0.96, 0.87, 0.63, 1.33, 1.12, 1.01, 1.0, 0.97, 1.12, 1.03, 0.96, 0.87, 0.63]"
120,100 Thieves,7,2025/05/17,W,2:1,NRG,EWC 2025,https://www.vlr.gg/488007/100-thieves-vs-nrg-esports-world-cup-2025-ubsf,7.0,"['Haven', 'Ascent', 'Fracture']","['L', 'W', 'W']","[7.0, 13.0, 13.0]","[13.0, 9.0, 9.0]",3.0,2.0,1.0,"['Cryocells', 'eeiu', 'zander', 'Asuna', 'Boostio', 'skuba', 'brawk', 's0m', 'Ethan', 'mada', 'Cryocells', 'eeiu', 'zander', 'Asuna', 'Boostio', 'skuba', 'brawk', 's0m', 'Ethan', 'mada']","['100T', '100T', '100T', '100T', '100T', 'NRG', 'NRG', 'NRG', 'NRG', 'NRG', '100T', '100T', '100T', '100T', '100T', 'NRG', 'NRG', 'NRG', 'NRG', 'NRG']","[1.45, 1.18, 0.91, 0.85, 0.81, 1.14, 1.12, 1.09, 0.91, 0.83, 1.45, 1.18, 0.91, 0.85, 0.81, 1.14, 1.12, 1.09, 0.91, 0.83]"
120,100 Thieves,8,2025/05/16,W,2:0,FURIA,EWC 2025,https://www.vlr.gg/488003/100-thieves-vs-furia-esports-world-cup-2025-ubqf,8.0,"['Haven', 'Icebox']","['W', 'W']","[13.0, 13.0]","[2.0, 7.0]",2.0,2.0,0.0,"['eeiu', 'Cryocells', 'zander', 'Asuna', 'Boostio', 'heat', 'Loss', 'tuyz', 'woddy', 'Urango', 'eeiu', 'Cryocells', 'zander', 'Asuna', 'Boostio', 'heat', 'Loss', 'tuyz', 'woddy', 'Urango']","['100T', '100T', '100T', '100T', '100T', 'FUR', 'FUR', 'FUR', 'FUR', 'FUR', '100T', '100T', '100T', '100T', '100T', 'FUR', 'FUR', 'FUR', 'FUR', 'FUR']","[1.42, 1.26, 1.2, 1.13, 0.89, 1.55, 0.74, 0.72, 0.57, 0.3, 1.42, 1.26, 1.2, 1.13, 0.89, 1.55, 0.74, 0.72, 0.57, 0.3]"
120,100 Thieves,9,2025/04/27,L,1:2,G2 Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2,9.0,"['Haven', 'Split', 'Pearl']","['L', 'W', 'L']","[4.0, 14.0, 14.0]","[13.0, 12.0, 16.0]",3.0,1.0,2.0,"['trent', 'leaf', 'jawgemo', 'valyn', 'JonahP', 'Cryocells', 'eeiu', 'zander', 'Asuna', 'Boostio', 'trent', 'leaf', 'jawgemo', 'valyn', 'JonahP', 'Cryocells', 'eeiu', 'zander', 'Asuna', 'Boostio']","['G2', 'G2', 'G2', 'G2', 'G2', '100T', '100T', '100T', '100T', '100T', 'G2', 'G2', 'G2', 'G2', 'G2', '100T', '100T', '100T', '100T', '100T']","[1.4, 1.12, 1.05, 1.0, 0.97, 1.06, 1.01, 1.0, 0.73, 0.71, 1.4, 1.12, 1.05, 1.0, 0.97, 1.06, 1.01, 1.0, 0.73, 0.71]"
120,100 Thieves,10,2025/04/25,W,2:0,NRG,VCT 25: AMER Stage 1,https://www.vlr.gg/475903/100-thieves-vs-nrg-esports-champions-tour-2025-americas-stage-1-lr1,10.0,"['Fracture', 'Haven']","['W', 'W']","[13.0, 13.0]","[5.0, 11.0]",2.0,2.0,0.0,"['zander', 'Cryocells', 'Asuna', 'Boostio', 'eeiu', 'mada', 'Ethan', 'brawk', 's0m', 'FiNESSE', 'zander', 'Cryocells', 'Asuna', 'Boostio', 'eeiu', 'mada', 'Ethan', 'brawk', 's0m', 'FiNESSE']","['100T', '100T', '100T', '100T', '100T', 'NRG', 'NRG', 'NRG', 'NRG', 'NRG', '100T', '100T', '100T', '100T', '100T', 'NRG', 'NRG', 'NRG', 'NRG', 'NRG']","[1.93, 1.13, 1.05, 0.92, 0.91, 0.96, 0.95, 0.88, 0.87, 0.71, 1.93, 1.13, 1.05, 0.92, 0.91, 0.96, 0.95, 0.88, 0.87, 0.71]"
