team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
All Gamers,1,L,1,Sunset,W,13,3,13-3,https://www.vlr.gg/506932/all-gamers-vs-xi-lai-gaming-vct-2025-china-stage-2-w1
All Gamers,1,L,2,Lotus,L,7,13,7-13,https://www.vlr.gg/506932/all-gamers-vs-xi-lai-gaming-vct-2025-china-stage-2-w1
All Gamers,1,L,3,Ascent,L,3,13,3-13,https://www.vlr.gg/506932/all-gamers-vs-xi-lai-gaming-vct-2025-china-stage-2-w1
All Gamers,2,L,1,Sunset,L,9,13,9-13,https://www.vlr.gg/485370/funplus-phoenix-vs-all-gamers-china-evolution-series-act-2-x-asian-champions-league-ro12
All Gamers,2,L,2,Haven,W,13,5,13-5,https://www.vlr.gg/485370/funplus-phoenix-vs-all-gamers-china-evolution-series-act-2-x-asian-champions-league-ro12
All Gamers,2,L,3,Split,W,13,1,13-1,https://www.vlr.gg/485370/funplus-phoenix-vs-all-gamers-china-evolution-series-act-2-x-asian-champions-league-ro12
All Gamers,3,L,1,Pearl,L,7,13,7-13,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
All Gamers,3,L,2,Fracture,L,7,13,7-13,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
All Gamers,3,L,3,Lotus,W,13,6,13-6,https://www.vlr.gg/450073/wolves-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w5
All Gamers,4,L,1,Split,L,12,14,12-14,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
All Gamers,4,L,2,Pearl,L,4,13,4-13,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
All Gamers,5,L,1,Pearl,L,4,13,4-13,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
All Gamers,5,L,2,Fracture,L,5,13,5-13,https://www.vlr.gg/450064/all-gamers-vs-bilibili-gaming-champions-tour-2025-china-stage-1-w3
All Gamers,6,L,1,Fracture,W,13,10,13-10,https://www.vlr.gg/450055/xi-lai-gaming-vs-all-gamers-champions-tour-2025-china-stage-1-w2
All Gamers,6,L,2,Lotus,W,13,7,13-7,https://www.vlr.gg/450055/xi-lai-gaming-vs-all-gamers-champions-tour-2025-china-stage-1-w2
All Gamers,7,L,1,Pearl,W,13,11,13-11,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
All Gamers,7,L,2,Lotus,L,11,13,11-13,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
All Gamers,7,L,3,Split,W,13,1,13-1,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
All Gamers,8,L,1,Pearl,W,13,3,13-3,https://www.vlr.gg/440530/tyloo-vs-all-gamers-china-evolution-series-act-1-ro12
All Gamers,8,L,2,Abyss,W,13,2,13-2,https://www.vlr.gg/440530/tyloo-vs-all-gamers-china-evolution-series-act-1-ro12
All Gamers,9,L,1,Abyss,L,8,13,8-13,https://www.vlr.gg/430853/xi-lai-gaming-vs-all-gamers-champions-tour-2025-china-kickoff-lr1
All Gamers,9,L,2,Bind,W,13,1,13-1,https://www.vlr.gg/430853/xi-lai-gaming-vs-all-gamers-champions-tour-2025-china-kickoff-lr1
All Gamers,9,L,3,Lotus,W,13,4,13-4,https://www.vlr.gg/430853/xi-lai-gaming-vs-all-gamers-champions-tour-2025-china-kickoff-lr1
All Gamers,10,L,1,Abyss,L,8,13,8-13,https://www.vlr.gg/430840/all-gamers-vs-nova-esports-champions-tour-2025-china-kickoff-ur1
All Gamers,10,L,2,Bind,L,3,13,3-13,https://www.vlr.gg/430840/all-gamers-vs-nova-esports-champions-tour-2025-china-kickoff-ur1
All Gamers,11,L,1,Pearl,W,13,9,13-9,https://www.vlr.gg/427176/trace-esports-vs-all-gamers-superb-cup-d4
All Gamers,11,L,2,Abyss,W,13,4,13-4,https://www.vlr.gg/427176/trace-esports-vs-all-gamers-superb-cup-d4
All Gamers,12,W,1,Pearl,L,5,13,5-13,https://www.vlr.gg/427173/tyloo-vs-all-gamers-superb-cup-d3
All Gamers,12,W,2,Split,L,7,13,7-13,https://www.vlr.gg/427173/tyloo-vs-all-gamers-superb-cup-d3
All Gamers,13,L,1,Abyss,W,13,7,13-7,https://www.vlr.gg/427171/nova-esports-vs-all-gamers-superb-cup-d2
All Gamers,13,L,2,Sunset,W,13,9,13-9,https://www.vlr.gg/427171/nova-esports-vs-all-gamers-superb-cup-d2
All Gamers,14,L,1,Sunset,L,5,13,5-13,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
All Gamers,14,L,2,Haven,L,8,13,8-13,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
All Gamers,15,L,1,Abyss,W,13,10,13-10,https://www.vlr.gg/414858/all-gamers-vs-titan-esports-club-fgc-invitational-2024-main-event-lr1
All Gamers,15,L,2,Bind,L,6,13,6-13,https://www.vlr.gg/414858/all-gamers-vs-titan-esports-club-fgc-invitational-2024-main-event-lr1
All Gamers,15,L,3,Pearl,L,5,13,5-13,https://www.vlr.gg/414858/all-gamers-vs-titan-esports-club-fgc-invitational-2024-main-event-lr1
All Gamers,16,L,1,Sunset,L,2,13,2-13,https://www.vlr.gg/414852/all-gamers-vs-nova-esports-fgc-invitational-2024-main-event-ubqf
All Gamers,16,L,2,Abyss,L,7,13,7-13,https://www.vlr.gg/414852/all-gamers-vs-nova-esports-fgc-invitational-2024-main-event-ubqf
All Gamers,17,L,1,Bind,W,13,11,13-11,https://www.vlr.gg/414701/xi-lai-gaming-vs-all-gamers-wall-e-cup-lr3
All Gamers,17,L,2,Sunset,W,13,9,13-9,https://www.vlr.gg/414701/xi-lai-gaming-vs-all-gamers-wall-e-cup-lr3
All Gamers,18,W,1,Lotus,W,13,8,13-8,https://www.vlr.gg/414700/all-gamers-vs-tyloo-wall-e-cup-lr2
All Gamers,18,W,2,Bind,L,7,13,7-13,https://www.vlr.gg/414700/all-gamers-vs-tyloo-wall-e-cup-lr2
All Gamers,18,W,3,Sunset,W,13,9,13-9,https://www.vlr.gg/414700/all-gamers-vs-tyloo-wall-e-cup-lr2
All Gamers,19,L,1,Sunset,L,2,13,2-13,https://www.vlr.gg/414693/all-gamers-vs-wolves-esports-wall-e-cup-ubsf
All Gamers,19,L,2,Bind,W,13,5,13-5,https://www.vlr.gg/414693/all-gamers-vs-wolves-esports-wall-e-cup-ubsf
All Gamers,19,L,3,Haven,L,8,13,8-13,https://www.vlr.gg/414693/all-gamers-vs-wolves-esports-wall-e-cup-ubsf
All Gamers,20,W,1,Haven,L,10,13,10-13,https://www.vlr.gg/414689/jdg-esports-vs-all-gamers-wall-e-cup-ubqf
All Gamers,20,W,2,Bind,W,13,2,13-2,https://www.vlr.gg/414689/jdg-esports-vs-all-gamers-wall-e-cup-ubqf
All Gamers,20,W,3,Sunset,L,9,13,9-13,https://www.vlr.gg/414689/jdg-esports-vs-all-gamers-wall-e-cup-ubqf
All Gamers,21,L,1,Lotus,W,13,7,13-7,https://www.vlr.gg/370723/trace-esports-vs-all-gamers-champions-tour-2024-china-stage-2-ko
All Gamers,21,L,2,Sunset,W,13,10,13-10,https://www.vlr.gg/370723/trace-esports-vs-all-gamers-champions-tour-2024-china-stage-2-ko
All Gamers,22,L,1,Haven,W,13,8,13-8,https://www.vlr.gg/359627/jdg-esports-vs-all-gamers-champions-tour-2024-china-stage-2-w4
All Gamers,22,L,2,Icebox,W,13,3,13-3,https://www.vlr.gg/359627/jdg-esports-vs-all-gamers-champions-tour-2024-china-stage-2-w4
All Gamers,23,L,1,Haven,L,6,13,6-13,https://www.vlr.gg/359621/all-gamers-vs-trace-esports-champions-tour-2024-china-stage-2-w4
All Gamers,23,L,2,Sunset,L,4,13,4-13,https://www.vlr.gg/359621/all-gamers-vs-trace-esports-champions-tour-2024-china-stage-2-w4
All Gamers,24,L,1,Sunset,L,11,13,11-13,https://www.vlr.gg/359617/all-gamers-vs-funplus-phoenix-champions-tour-2024-china-stage-2-w3
All Gamers,24,L,2,Haven,W,13,8,13-8,https://www.vlr.gg/359617/all-gamers-vs-funplus-phoenix-champions-tour-2024-china-stage-2-w3
All Gamers,24,L,3,Ascent,L,7,13,7-13,https://www.vlr.gg/359617/all-gamers-vs-funplus-phoenix-champions-tour-2024-china-stage-2-w3
All Gamers,25,W,1,Sunset,L,10,13,10-13,https://www.vlr.gg/359608/titan-esports-club-vs-all-gamers-champions-tour-2024-china-stage-2-w2
All Gamers,25,W,2,Icebox,L,6,13,6-13,https://www.vlr.gg/359608/titan-esports-club-vs-all-gamers-champions-tour-2024-china-stage-2-w2
All Gamers,26,W,1,Sunset,W,13,10,13-10,https://www.vlr.gg/359604/all-gamers-vs-tyloo-champions-tour-2024-china-stage-2-w1
