team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
BBL Esports,1,L,1,Ascent,L,3,13,3-13,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
BBL Esports,1,L,2,Haven,L,5,13,5-13,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
BBL Esports,2,W,1,Sunset,W,14,12,14-12,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
BBL Esports,2,W,2,Ascent,W,13,6,13-6,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
BBL Esports,3,W,1,Icebox,W,14,12,14-12,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
BBL Esports,4,W,1,Lotus,W,13,11,13-11,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
BBL Esports,4,W,2,Icebox,L,6,13,6-13,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
BBL Esports,4,W,3,Ascent,W,13,11,13-11,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
BBL Esports,4,W,4,Haven,W,13,11,13-11,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
BBL Esports,5,W,1,Ascent,W,13,9,13-9,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
BBL Esports,5,W,2,Haven,W,13,6,13-6,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
BBL Esports,6,L,1,Haven,L,11,13,11-13,https://www.vlr.gg/482511/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-lr3
BBL Esports,6,L,2,Split,W,13,7,13-7,https://www.vlr.gg/482511/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-lr3
BBL Esports,6,L,3,Fracture,L,8,13,8-13,https://www.vlr.gg/482511/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-lr3
BBL Esports,7,W,1,Haven,L,12,14,12-14,https://www.vlr.gg/482510/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-lr2
BBL Esports,7,W,2,Split,W,13,2,13-2,https://www.vlr.gg/482510/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-lr2
BBL Esports,7,W,3,Ascent,W,13,10,13-10,https://www.vlr.gg/482510/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-lr2
BBL Esports,8,L,1,Ascent,L,10,13,10-13,https://www.vlr.gg/482507/team-heretics-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-ubsf
BBL Esports,8,L,2,Icebox,L,12,14,12-14,https://www.vlr.gg/482507/team-heretics-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-ubsf
BBL Esports,9,W,1,Lotus,W,13,9,13-9,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
BBL Esports,9,W,2,Fracture,W,13,10,13-10,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
BBL Esports,10,W,1,Ascent,W,25,23,25-23,https://www.vlr.gg/459852/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-w5
BBL Esports,10,W,2,Icebox,W,13,11,13-11,https://www.vlr.gg/459852/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-w5
BBL Esports,11,W,1,Lotus,W,14,12,14-12,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
BBL Esports,11,W,2,Haven,W,13,2,13-2,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
BBL Esports,12,W,1,Pearl,W,13,6,13-6,https://www.vlr.gg/459839/koi-vs-bbl-esports-champions-tour-2025-emea-stage-1-w3
BBL Esports,12,W,2,Icebox,W,13,9,13-9,https://www.vlr.gg/459839/koi-vs-bbl-esports-champions-tour-2025-emea-stage-1-w3
BBL Esports,13,L,1,Fracture,L,7,13,7-13,https://www.vlr.gg/459832/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-w2
BBL Esports,13,L,2,Haven,W,13,4,13-4,https://www.vlr.gg/459832/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-w2
BBL Esports,13,L,3,Ascent,L,4,13,4-13,https://www.vlr.gg/459832/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-w2
BBL Esports,14,W,1,Icebox,L,3,13,3-13,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
BBL Esports,14,W,2,Pearl,W,13,11,13-11,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
BBL Esports,14,W,3,Fracture,W,13,8,13-8,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
BBL Esports,15,L,1,Bind,L,11,13,11-13,https://www.vlr.gg/429398/bbl-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr3
BBL Esports,15,L,2,Pearl,W,13,9,13-9,https://www.vlr.gg/429398/bbl-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr3
BBL Esports,15,L,3,Split,L,10,13,10-13,https://www.vlr.gg/429398/bbl-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr3
BBL Esports,16,L,1,Pearl,L,11,13,11-13,https://www.vlr.gg/429388/bbl-esports-vs-team-heretics-champions-tour-2025-emea-kickoff-ubsf
BBL Esports,16,L,2,Lotus,L,7,13,7-13,https://www.vlr.gg/429388/bbl-esports-vs-team-heretics-champions-tour-2025-emea-kickoff-ubsf
BBL Esports,17,W,1,Abyss,W,13,8,13-8,https://www.vlr.gg/429385/fnatic-vs-bbl-esports-champions-tour-2025-emea-kickoff-ubqf
BBL Esports,17,W,2,Fracture,L,8,13,8-13,https://www.vlr.gg/429385/fnatic-vs-bbl-esports-champions-tour-2025-emea-kickoff-ubqf
BBL Esports,17,W,3,Split,W,13,10,13-10,https://www.vlr.gg/429385/fnatic-vs-bbl-esports-champions-tour-2025-emea-kickoff-ubqf
BBL Esports,18,W,1,Lotus,W,13,9,13-9,https://www.vlr.gg/429381/bbl-esports-vs-giantx-champions-tour-2025-emea-kickoff-ur1
