team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Bilibili Gaming,1,L,1,Icebox,L,5,13,5-13,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Bilibili Gaming,1,L,2,Lotus,W,13,11,13-11,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Bilibili Gaming,1,L,3,Sunset,L,9,13,9-13,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Bilibili Gaming,2,W,1,Sunset,W,13,3,13-3,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
Bilibili Gaming,2,W,2,Pearl,L,4,13,4-13,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
Bilibili Gaming,2,W,3,Icebox,W,13,11,13-11,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
Bilibili Gaming,3,L,1,Lotus,L,14,16,14-16,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
Bilibili Gaming,4,W,1,Bind,W,13,5,13-5,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
Bilibili Gaming,4,W,2,Lotus,W,13,9,13-9,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
Bilibili Gaming,5,L,1,Ascent,L,5,13,5-13,https://www.vlr.gg/490315/bilibili-gaming-vs-wolves-esports-valorant-masters-2025-toronto-r3-1-1
Bilibili Gaming,5,L,2,Split,L,10,13,10-13,https://www.vlr.gg/490315/bilibili-gaming-vs-wolves-esports-valorant-masters-2025-toronto-r3-1-1
Bilibili Gaming,6,L,1,Icebox,W,13,9,13-9,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Bilibili Gaming,6,L,2,Sunset,L,5,13,5-13,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Bilibili Gaming,6,L,3,Lotus,L,9,13,9-13,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Bilibili Gaming,7,W,1,Icebox,W,13,10,13-10,https://www.vlr.gg/490307/bilibili-gaming-vs-team-liquid-champions-tour-2025-masters-toronto-r1
Bilibili Gaming,7,W,2,Haven,L,14,16,14-16,https://www.vlr.gg/490307/bilibili-gaming-vs-team-liquid-champions-tour-2025-masters-toronto-r1
Bilibili Gaming,7,W,3,Sunset,W,13,10,13-10,https://www.vlr.gg/490307/bilibili-gaming-vs-team-liquid-champions-tour-2025-masters-toronto-r1
Bilibili Gaming,8,L,1,Sunset,W,13,10,13-10,https://www.vlr.gg/481656/drx-vs-bilibili-gaming-hero-esports-asian-champions-league-2025-lr3
Bilibili Gaming,8,L,2,Lotus,W,13,5,13-5,https://www.vlr.gg/481656/drx-vs-bilibili-gaming-hero-esports-asian-champions-league-2025-lr3
Bilibili Gaming,9,W,1,Pearl,W,13,9,13-9,https://www.vlr.gg/481655/bilibili-gaming-vs-trace-esports-hero-esports-asian-champions-league-2025-lr2
Bilibili Gaming,9,W,2,Split,W,13,4,13-4,https://www.vlr.gg/481655/bilibili-gaming-vs-trace-esports-hero-esports-asian-champions-league-2025-lr2
Bilibili Gaming,10,L,1,Haven,L,1,13,1-13,https://www.vlr.gg/481654/bilibili-gaming-vs-drx-hero-esports-asian-champions-league-2025-lr2
Bilibili Gaming,10,L,2,Icebox,L,12,14,12-14,https://www.vlr.gg/481654/bilibili-gaming-vs-drx-hero-esports-asian-champions-league-2025-lr2
