team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Cloud9,1,L,1,Split,L,9,13,9-13,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
Cloud9,1,L,2,Icebox,L,9,13,9-13,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
Cloud9,2,L,1,Haven,L,9,13,9-13,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
Cloud9,2,L,2,Split,L,8,13,8-13,https://www.vlr.gg/488009/100-thieves-vs-cloud9-esports-world-cup-2025-ubf
Cloud9,3,W,1,Pearl,L,9,13,9-13,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
Cloud9,3,W,2,Split,W,13,7,13-7,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
Cloud9,3,W,3,Lotus,W,13,5,13-5,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
Cloud9,4,W,1,Lotus,W,13,5,13-5,https://www.vlr.gg/488005/cloud9-vs-2game-esports-esports-world-cup-2025-ubqf
Cloud9,4,W,2,Haven,W,14,12,14-12,https://www.vlr.gg/488005/cloud9-vs-2game-esports-esports-world-cup-2025-ubqf
Cloud9,5,L,1,Fracture,L,9,13,9-13,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
Cloud9,5,L,2,Icebox,L,13,15,13-15,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
Cloud9,6,L,1,Ascent,L,9,13,9-13,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
Cloud9,6,L,2,Pearl,L,9,13,9-13,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
Cloud9,7,L,1,Icebox,L,5,13,5-13,https://www.vlr.gg/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5
Cloud9,7,L,2,Haven,W,13,4,13-4,https://www.vlr.gg/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5
Cloud9,7,L,3,Pearl,L,11,13,11-13,https://www.vlr.gg/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5
Cloud9,8,W,1,Lotus,W,16,14,16-14,https://www.vlr.gg/459537/furia-vs-cloud9-champions-tour-2025-americas-stage-1-w4
Cloud9,8,W,2,Pearl,W,13,1,13-1,https://www.vlr.gg/459537/furia-vs-cloud9-champions-tour-2025-americas-stage-1-w4
Cloud9,9,L,1,Pearl,W,13,9,13-9,https://www.vlr.gg/459534/cloud9-vs-mibr-champions-tour-2025-americas-stage-1-w3
Cloud9,9,L,2,Lotus,L,13,15,13-15,https://www.vlr.gg/459534/cloud9-vs-mibr-champions-tour-2025-americas-stage-1-w3
Cloud9,9,L,3,Haven,L,11,13,11-13,https://www.vlr.gg/459534/cloud9-vs-mibr-champions-tour-2025-americas-stage-1-w3
