team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Dragon Ranger Gaming,1,W,1,Lotus,W,13,8,13-8,https://www.vlr.gg/506934/dragon-ranger-gaming-vs-nova-esports-vct-2025-china-stage-2-w1
Dragon Ranger Gaming,1,W,2,Icebox,L,12,14,12-14,https://www.vlr.gg/506934/dragon-ranger-gaming-vs-nova-esports-vct-2025-china-stage-2-w1
Dragon Ranger Gaming,1,W,3,Ascent,W,13,5,13-5,https://www.vlr.gg/506934/dragon-ranger-gaming-vs-nova-esports-vct-2025-china-stage-2-w1
Dragon Ranger Gaming,2,L,1,Sunset,L,11,13,11-13,https://www.vlr.gg/485376/dragon-ranger-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league
Dragon Ranger Gaming,2,L,2,Split,L,7,13,7-13,https://www.vlr.gg/485376/dragon-ranger-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league
Dragon Ranger Gaming,3,L,1,Lotus,L,8,13,8-13,https://www.vlr.gg/473239/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr2
Dragon Ranger Gaming,3,L,2,Split,W,13,11,13-11,https://www.vlr.gg/473239/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr2
Dragon Ranger Gaming,3,L,3,Ascent,L,8,13,8-13,https://www.vlr.gg/473239/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr2
Dragon Ranger Gaming,4,W,1,Ascent,L,1,13,1-13,https://www.vlr.gg/473235/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr1
Dragon Ranger Gaming,4,W,2,Fracture,W,14,12,14-12,https://www.vlr.gg/473235/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr1
Dragon Ranger Gaming,4,W,3,Lotus,W,18,16,18-16,https://www.vlr.gg/473235/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr1
Dragon Ranger Gaming,5,L,1,Haven,W,13,10,13-10,https://www.vlr.gg/450072/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-stage-1-w5
Dragon Ranger Gaming,5,L,2,Split,L,9,13,9-13,https://www.vlr.gg/450072/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-stage-1-w5
Dragon Ranger Gaming,5,L,3,Fracture,L,5,13,5-13,https://www.vlr.gg/450072/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-stage-1-w5
Dragon Ranger Gaming,6,W,1,Ascent,W,13,11,13-11,https://www.vlr.gg/450065/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-w4
Dragon Ranger Gaming,6,W,2,Haven,W,13,5,13-5,https://www.vlr.gg/450065/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-w4
Dragon Ranger Gaming,7,L,1,Icebox,L,2,13,2-13,https://www.vlr.gg/450062/dragon-ranger-gaming-vs-edward-gaming-champions-tour-2025-china-stage-1-w3
Dragon Ranger Gaming,7,L,2,Ascent,W,13,9,13-9,https://www.vlr.gg/450062/dragon-ranger-gaming-vs-edward-gaming-champions-tour-2025-china-stage-1-w3
Dragon Ranger Gaming,7,L,3,Pearl,L,10,13,10-13,https://www.vlr.gg/450062/dragon-ranger-gaming-vs-edward-gaming-champions-tour-2025-china-stage-1-w3
Dragon Ranger Gaming,8,L,1,Lotus,W,13,11,13-11,https://www.vlr.gg/450057/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-w2
Dragon Ranger Gaming,8,L,2,Fracture,L,9,13,9-13,https://www.vlr.gg/450057/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-w2
Dragon Ranger Gaming,8,L,3,Icebox,L,3,13,3-13,https://www.vlr.gg/450057/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-w2
Dragon Ranger Gaming,9,W,1,Fracture,W,13,6,13-6,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Dragon Ranger Gaming,9,W,2,Lotus,W,13,10,13-10,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Dragon Ranger Gaming,10,L,1,Haven,L,6,13,6-13,https://www.vlr.gg/440536/dragon-ranger-gaming-vs-wolves-esports-china-evolution-series-act-1-qf
Dragon Ranger Gaming,10,L,2,Split,W,13,11,13-11,https://www.vlr.gg/440536/dragon-ranger-gaming-vs-wolves-esports-china-evolution-series-act-1-qf
Dragon Ranger Gaming,10,L,3,Lotus,L,4,13,4-13,https://www.vlr.gg/440536/dragon-ranger-gaming-vs-wolves-esports-china-evolution-series-act-1-qf
Dragon Ranger Gaming,11,L,1,Haven,L,0,13,0-13,https://www.vlr.gg/430858/dragon-ranger-gaming-vs-edward-gaming-champions-tour-2025-china-kickoff-lr4
Dragon Ranger Gaming,11,L,2,Pearl,L,9,13,9-13,https://www.vlr.gg/430858/dragon-ranger-gaming-vs-edward-gaming-champions-tour-2025-china-kickoff-lr4
Dragon Ranger Gaming,12,W,1,Abyss,L,11,13,11-13,https://www.vlr.gg/430856/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-lr3
Dragon Ranger Gaming,12,W,2,Pearl,W,13,1,13-1,https://www.vlr.gg/430856/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-lr3
Dragon Ranger Gaming,12,W,3,Haven,L,7,13,7-13,https://www.vlr.gg/430856/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-lr3
Dragon Ranger Gaming,13,W,1,Pearl,L,8,13,8-13,https://www.vlr.gg/430854/nova-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-lr2
Dragon Ranger Gaming,13,W,2,Bind,L,7,13,7-13,https://www.vlr.gg/430854/nova-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-lr2
Dragon Ranger Gaming,14,W,1,Pearl,W,13,6,13-6,https://www.vlr.gg/430850/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-kickoff-lr1
Dragon Ranger Gaming,14,W,2,Haven,W,13,10,13-10,https://www.vlr.gg/430850/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-kickoff-lr1
Dragon Ranger Gaming,15,L,1,Pearl,W,13,8,13-8,https://www.vlr.gg/430843/trace-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ubqf
Dragon Ranger Gaming,15,L,2,Abyss,W,13,7,13-7,https://www.vlr.gg/430843/trace-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ubqf
Dragon Ranger Gaming,16,W,1,Abyss,L,5,13,5-13,https://www.vlr.gg/430839/jdg-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ur1
Dragon Ranger Gaming,16,W,2,Haven,W,15,13,15-13,https://www.vlr.gg/430839/jdg-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ur1
