team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
DRX,1,L,1,Lotus,L,7,13,7-13,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
DRX,1,L,2,Sunset,L,4,13,4-13,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
DRX,2,L,1,Sunset,L,12,14,12-14,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
DRX,2,L,2,Ascent,L,6,13,6-13,https://www.vlr.gg/510135/bbl-esports-vs-drx-esports-world-cup-2025-winners-b
DRX,3,W,1,Haven,W,13,6,13-6,https://www.vlr.gg/510134/drx-vs-xi-lai-gaming-esports-world-cup-2025-opening-b
DRX,4,L,1,Ascent,W,13,8,13-8,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
DRX,4,L,2,Sunset,L,7,13,7-13,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
DRX,4,L,3,Lotus,L,11,13,11-13,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
DRX,4,L,4,Icebox,L,6,13,6-13,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
DRX,5,W,1,Haven,W,13,10,13-10,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
DRX,5,W,2,Sunset,W,13,8,13-8,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
DRX,6,W,1,Split,W,13,4,13-4,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
DRX,7,L,1,Haven,L,11,13,11-13,https://www.vlr.gg/489430/drx-vs-nongshim-redforce-esports-world-cup-2025-pacific-x-acl-qualifier-d2
DRX,8,W,1,Icebox,W,14,12,14-12,https://www.vlr.gg/489428/drx-vs-boom-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d2
DRX,9,W,1,Split,W,14,12,14-12,https://www.vlr.gg/481652/paper-rex-vs-drx-hero-esports-asian-champions-league-2025-gf
DRX,9,W,2,Ascent,L,4,13,4-13,https://www.vlr.gg/481652/paper-rex-vs-drx-hero-esports-asian-champions-league-2025-gf
DRX,9,W,3,Lotus,L,11,13,11-13,https://www.vlr.gg/481652/paper-rex-vs-drx-hero-esports-asian-champions-league-2025-gf
