team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
EDward Gaming,1,L,1,Lotus,L,8,13,8-13,https://www.vlr.gg/510147/gen-g-vs-edward-gaming-esports-world-cup-2025-decider-d
EDward Gaming,1,L,2,Haven,L,4,13,4-13,https://www.vlr.gg/510147/gen-g-vs-edward-gaming-esports-world-cup-2025-decider-d
EDward Gaming,2,W,1,Haven,L,11,13,11-13,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
EDward Gaming,2,W,2,Sunset,W,13,7,13-7,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
EDward Gaming,2,W,3,Ascent,W,13,10,13-10,https://www.vlr.gg/510146/100-thieves-vs-edward-gaming-esports-world-cup-2025-elim-d
EDward Gaming,3,L,1,Icebox,L,4,13,4-13,https://www.vlr.gg/510144/gen-g-vs-edward-gaming-esports-world-cup-2025-opening-d
EDward Gaming,4,W,1,Sunset,W,13,9,13-9,https://www.vlr.gg/506930/edward-gaming-vs-titan-esports-club-vct-2025-china-stage-2-w1
EDward Gaming,4,W,2,Corrode,W,13,6,13-6,https://www.vlr.gg/506930/edward-gaming-vs-titan-esports-club-vct-2025-china-stage-2-w1
EDward Gaming,5,W,1,Haven,W,13,9,13-9,https://www.vlr.gg/485380/edward-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league-gf
EDward Gaming,5,W,2,Lotus,W,13,7,13-7,https://www.vlr.gg/485380/edward-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league-gf
EDward Gaming,5,W,3,Ascent,W,13,10,13-10,https://www.vlr.gg/485380/edward-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league-gf
EDward Gaming,6,W,1,Lotus,W,14,12,14-12,https://www.vlr.gg/485378/edward-gaming-vs-trace-esports-china-evolution-series-act-2-x-asian-champions-league-sf
EDward Gaming,6,W,2,Pearl,W,14,12,14-12,https://www.vlr.gg/485378/edward-gaming-vs-trace-esports-china-evolution-series-act-2-x-asian-champions-league-sf
EDward Gaming,7,W,1,Haven,W,13,11,13-11,https://www.vlr.gg/485374/edward-gaming-vs-funplus-phoenix-china-evolution-series-act-2-x-asian-champions-league-qf
EDward Gaming,7,W,2,Pearl,L,0,0,0-0,https://www.vlr.gg/485374/edward-gaming-vs-funplus-phoenix-china-evolution-series-act-2-x-asian-champions-league-qf
EDward Gaming,8,L,1,Fracture,W,13,8,13-8,https://www.vlr.gg/473242/edward-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-lr3
EDward Gaming,8,L,2,Icebox,L,8,13,8-13,https://www.vlr.gg/473242/edward-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-lr3
EDward Gaming,8,L,3,Pearl,L,11,13,11-13,https://www.vlr.gg/473242/edward-gaming-vs-bilibili-gaming-champions-tour-2025-china-stage-1-lr3
EDward Gaming,9,W,1,Lotus,W,13,8,13-8,https://www.vlr.gg/473239/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr2
EDward Gaming,9,W,2,Split,L,11,13,11-13,https://www.vlr.gg/473239/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr2
EDward Gaming,9,W,3,Ascent,W,13,8,13-8,https://www.vlr.gg/473239/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr2
EDward Gaming,10,L,1,Lotus,L,9,13,9-13,https://www.vlr.gg/473238/edward-gaming-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-ubsf
EDward Gaming,10,L,2,Haven,L,11,13,11-13,https://www.vlr.gg/473238/edward-gaming-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-ubsf
EDward Gaming,11,W,1,Split,W,13,9,13-9,https://www.vlr.gg/450076/edward-gaming-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w5
EDward Gaming,11,W,2,Fracture,W,13,7,13-7,https://www.vlr.gg/450076/edward-gaming-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w5
