team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Evil Geniuses,1,L,1,Lotus,W,13,5,13-5,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
Evil Geniuses,1,L,2,Icebox,L,12,14,12-14,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
Evil Geniuses,1,L,3,Split,L,9,13,9-13,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
Evil Geniuses,2,L,1,Icebox,L,13,15,13-15,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
Evil Geniuses,2,L,2,Pearl,L,5,13,5-13,https://www.vlr.gg/488017/evil-geniuses-vs-100-thieves-esports-world-cup-2025-opening
Evil Geniuses,3,L,1,Lotus,W,13,9,13-9,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
Evil Geniuses,3,L,2,Split,L,7,13,7-13,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
Evil Geniuses,3,L,3,Pearl,L,11,13,11-13,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
Evil Geniuses,4,W,1,Lotus,W,14,12,14-12,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
Evil Geniuses,4,W,2,Icebox,W,13,11,13-11,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
Evil Geniuses,5,W,1,Fracture,W,13,9,13-9,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
Evil Geniuses,5,W,2,Icebox,W,15,13,15-13,https://www.vlr.gg/475904/cloud9-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr1
Evil Geniuses,6,W,1,Lotus,L,11,13,11-13,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
Evil Geniuses,6,W,2,Pearl,W,14,12,14-12,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
Evil Geniuses,6,W,3,Split,W,13,11,13-11,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
Evil Geniuses,7,W,1,Lotus,W,13,4,13-4,https://www.vlr.gg/459539/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w4
Evil Geniuses,7,W,2,Pearl,W,13,7,13-7,https://www.vlr.gg/459539/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w4
Evil Geniuses,8,L,1,Haven,L,4,13,4-13,https://www.vlr.gg/459529/evil-geniuses-vs-sentinels-champions-tour-2025-americas-stage-1-w3
Evil Geniuses,8,L,2,Pearl,L,6,13,6-13,https://www.vlr.gg/459529/evil-geniuses-vs-sentinels-champions-tour-2025-americas-stage-1-w3
Evil Geniuses,9,L,1,Fracture,L,10,13,10-13,https://www.vlr.gg/459525/100-thieves-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w2
Evil Geniuses,9,L,2,Haven,L,7,13,7-13,https://www.vlr.gg/459525/100-thieves-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w2
Evil Geniuses,10,W,1,Haven,W,13,11,13-11,https://www.vlr.gg/459521/2game-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w1
Evil Geniuses,10,W,2,Lotus,W,13,8,13-8,https://www.vlr.gg/459521/2game-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w1
Evil Geniuses,11,L,1,Abyss,L,10,13,10-13,https://www.vlr.gg/428007/evil-geniuses-vs-mibr-champions-tour-2025-americas-kickoff-lr2
Evil Geniuses,11,L,2,Split,L,3,13,3-13,https://www.vlr.gg/428007/evil-geniuses-vs-mibr-champions-tour-2025-americas-kickoff-lr2
Evil Geniuses,12,W,1,Abyss,W,13,7,13-7,https://www.vlr.gg/428003/furia-vs-evil-geniuses-champions-tour-2025-americas-kickoff-lr1
Evil Geniuses,12,W,2,Fracture,W,13,7,13-7,https://www.vlr.gg/428003/furia-vs-evil-geniuses-champions-tour-2025-americas-kickoff-lr1
Evil Geniuses,13,L,1,Split,L,12,14,12-14,https://www.vlr.gg/427991/evil-geniuses-vs-loud-champions-tour-2025-americas-kickoff-ur1
Evil Geniuses,13,L,2,Pearl,L,10,13,10-13,https://www.vlr.gg/427991/evil-geniuses-vs-loud-champions-tour-2025-americas-kickoff-ur1
Evil Geniuses,14,L,1,Sunset,L,2,13,2-13,https://www.vlr.gg/417834/sentinels-vs-evil-geniuses-sen-city-classic-sf
Evil Geniuses,14,L,2,Pearl,L,13,15,13-15,https://www.vlr.gg/417834/sentinels-vs-evil-geniuses-sen-city-classic-sf
Evil Geniuses,15,W,1,Abyss,L,5,13,5-13,https://www.vlr.gg/417827/evil-geniuses-vs-cloud9-sen-city-classic-d2
Evil Geniuses,15,W,2,Pearl,W,13,11,13-11,https://www.vlr.gg/417827/evil-geniuses-vs-cloud9-sen-city-classic-d2
Evil Geniuses,15,W,3,Haven,W,13,7,13-7,https://www.vlr.gg/417827/evil-geniuses-vs-cloud9-sen-city-classic-d2
Evil Geniuses,16,L,1,Split,L,5,13,5-13,https://www.vlr.gg/417826/nrg-esports-vs-evil-geniuses-sen-city-classic-d1
Evil Geniuses,16,L,2,Abyss,W,13,6,13-6,https://www.vlr.gg/417826/nrg-esports-vs-evil-geniuses-sen-city-classic-d1
Evil Geniuses,16,L,3,Haven,L,9,13,9-13,https://www.vlr.gg/417826/nrg-esports-vs-evil-geniuses-sen-city-classic-d1
Evil Geniuses,17,L,1,Split,L,8,13,8-13,https://www.vlr.gg/417825/sentinels-vs-evil-geniuses-sen-city-classic-d1
Evil Geniuses,17,L,2,Abyss,W,13,9,13-9,https://www.vlr.gg/417825/sentinels-vs-evil-geniuses-sen-city-classic-d1
Evil Geniuses,17,L,3,Pearl,L,7,13,7-13,https://www.vlr.gg/417825/sentinels-vs-evil-geniuses-sen-city-classic-d1
Evil Geniuses,18,L,1,Bind,L,9,13,9-13,https://www.vlr.gg/353198/evil-geniuses-vs-mibr-champions-tour-2024-americas-stage-2-w4
Evil Geniuses,18,L,2,Lotus,L,2,13,2-13,https://www.vlr.gg/353198/evil-geniuses-vs-mibr-champions-tour-2024-americas-stage-2-w4
Evil Geniuses,19,L,1,Lotus,L,10,13,10-13,https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3
Evil Geniuses,19,L,2,Bind,W,13,10,13-10,https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3
Evil Geniuses,19,L,3,Ascent,L,7,13,7-13,https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3
Evil Geniuses,20,L,1,Icebox,L,5,13,5-13,https://www.vlr.gg/353188/evil-geniuses-vs-leviat-n-champions-tour-2024-americas-stage-2-w2
Evil Geniuses,20,L,2,Sunset,L,10,13,10-13,https://www.vlr.gg/353188/evil-geniuses-vs-leviat-n-champions-tour-2024-americas-stage-2-w2
Evil Geniuses,21,W,1,Bind,W,13,5,13-5,https://www.vlr.gg/353182/evil-geniuses-vs-furia-champions-tour-2024-americas-stage-2-w2
Evil Geniuses,21,W,2,Lotus,W,13,4,13-4,https://www.vlr.gg/353182/evil-geniuses-vs-furia-champions-tour-2024-americas-stage-2-w2
Evil Geniuses,22,W,1,Lotus,L,7,13,7-13,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1
Evil Geniuses,22,W,2,Sunset,W,13,6,13-6,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1
Evil Geniuses,22,W,3,Icebox,W,13,11,13-11,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1
Evil Geniuses,23,W,1,Ascent,W,13,6,13-6,https://www.vlr.gg/314647/nrg-esports-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w4
