team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
FNATIC,1,L,1,Lotus,W,13,4,13-4,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
FNATIC,1,L,2,Sunset,W,13,1,13-1,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
FNATIC,1,L,3,Icebox,L,11,13,11-13,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
FNATIC,1,L,4,Haven,L,10,13,10-13,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
FNATIC,1,L,5,Ascent,L,10,13,10-13,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
FNATIC,2,W,1,Sunset,L,10,13,10-13,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
FNATIC,2,W,2,Ascent,W,13,3,13-3,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
FNATIC,2,W,3,Split,W,13,8,13-8,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
FNATIC,3,W,1,Sunset,W,14,12,14-12,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
FNATIC,3,W,2,Ascent,W,13,7,13-7,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
FNATIC,4,W,1,Ascent,W,15,13,15-13,https://www.vlr.gg/510145/fnatic-vs-gen-g-esports-world-cup-2025-winners-d
FNATIC,4,W,2,Icebox,W,13,7,13-7,https://www.vlr.gg/510145/fnatic-vs-gen-g-esports-world-cup-2025-winners-d
FNATIC,5,W,1,Icebox,W,13,11,13-11,https://www.vlr.gg/510143/100-thieves-vs-fnatic-esports-world-cup-2025-opening-d
FNATIC,6,L,1,Sunset,L,11,13,11-13,https://www.vlr.gg/498628/paper-rex-vs-fnatic-valorant-masters-toronto-2025-gf
FNATIC,6,L,2,Icebox,W,17,15,17-15,https://www.vlr.gg/498628/paper-rex-vs-fnatic-valorant-masters-toronto-2025-gf
FNATIC,6,L,3,Pearl,L,10,13,10-13,https://www.vlr.gg/498628/paper-rex-vs-fnatic-valorant-masters-toronto-2025-gf
