team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
FunPlus Phoenix,1,L,1,Icebox,L,11,13,11-13,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
FunPlus Phoenix,1,L,2,Haven,L,9,13,9-13,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
FunPlus Phoenix,2,W,1,Pearl,L,11,13,11-13,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
FunPlus Phoenix,2,W,2,Bind,W,13,10,13-10,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
FunPlus Phoenix,2,W,3,Ascent,W,13,11,13-11,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
FunPlus Phoenix,3,W,1,Icebox,W,13,6,13-6,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
FunPlus Phoenix,3,W,2,Ascent,W,13,11,13-11,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
FunPlus Phoenix,4,L,1,Ascent,L,17,19,17-19,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
FunPlus Phoenix,4,L,2,Breeze,L,5,13,5-13,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
FunPlus Phoenix,5,W,1,Icebox,W,13,9,13-9,https://www.vlr.gg/130631/funplus-phoenix-vs-kr-esports-valorant-champions-2022-group-stage-decider-c
FunPlus Phoenix,5,W,2,Ascent,W,13,4,13-4,https://www.vlr.gg/130631/funplus-phoenix-vs-kr-esports-valorant-champions-2022-group-stage-decider-c
FunPlus Phoenix,6,L,1,Pearl,L,7,13,7-13,https://www.vlr.gg/130629/funplus-phoenix-vs-xset-valorant-champions-2022-group-stage-winners-c
FunPlus Phoenix,6,L,2,Fracture,W,13,4,13-4,https://www.vlr.gg/130629/funplus-phoenix-vs-xset-valorant-champions-2022-group-stage-winners-c
FunPlus Phoenix,6,L,3,Breeze,L,5,13,5-13,https://www.vlr.gg/130629/funplus-phoenix-vs-xset-valorant-champions-2022-group-stage-winners-c
FunPlus Phoenix,7,W,1,Icebox,W,14,12,14-12,https://www.vlr.gg/130627/funplus-phoenix-vs-kr-esports-valorant-champions-2022-group-stage-opening-c
FunPlus Phoenix,7,W,2,Bind,W,13,10,13-10,https://www.vlr.gg/130627/funplus-phoenix-vs-kr-esports-valorant-champions-2022-group-stage-opening-c
FunPlus Phoenix,8,W,1,Bind,W,13,3,13-3,https://www.vlr.gg/112327/paper-rex-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-gf
FunPlus Phoenix,8,W,2,Icebox,L,7,13,7-13,https://www.vlr.gg/112327/paper-rex-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-gf
FunPlus Phoenix,8,W,3,Fracture,W,13,7,13-7,https://www.vlr.gg/112327/paper-rex-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-gf
FunPlus Phoenix,8,W,4,Haven,L,7,13,7-13,https://www.vlr.gg/112327/paper-rex-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-gf
FunPlus Phoenix,8,W,5,Breeze,W,13,9,13-9,https://www.vlr.gg/112327/paper-rex-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-gf
FunPlus Phoenix,9,W,1,Split,W,13,6,13-6,https://www.vlr.gg/112334/optic-gaming-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-lbf
FunPlus Phoenix,9,W,2,Icebox,W,13,8,13-8,https://www.vlr.gg/112334/optic-gaming-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-lbf
FunPlus Phoenix,9,W,3,Bind,L,6,13,6-13,https://www.vlr.gg/112334/optic-gaming-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-lbf
FunPlus Phoenix,9,W,4,Fracture,W,13,7,13-7,https://www.vlr.gg/112334/optic-gaming-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-lbf
FunPlus Phoenix,10,W,1,Split,L,13,15,13-15,https://www.vlr.gg/112332/funplus-phoenix-vs-fnatic-valorant-champions-tour-stage-2-masters-copenhagen-lr3
