team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
FUT Esports,1,L,1,Ascent,L,10,13,10-13,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
FUT Esports,1,L,2,Haven,L,7,13,7-13,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
FUT Esports,2,L,1,Haven,L,6,13,6-13,https://www.vlr.gg/487998/team-liquid-vs-fut-esports-esports-world-cup-2025-opening-p2
FUT Esports,2,L,2,Split,L,9,13,9-13,https://www.vlr.gg/487998/team-liquid-vs-fut-esports-esports-world-cup-2025-opening-p2
FUT Esports,3,W,1,Pearl,W,15,13,15-13,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
FUT Esports,3,W,2,Ascent,W,13,7,13-7,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
FUT Esports,4,L,1,Lotus,L,11,13,11-13,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
FUT Esports,4,L,2,Ascent,W,13,9,13-9,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
FUT Esports,4,L,3,Haven,L,7,13,7-13,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
FUT Esports,5,W,1,Fracture,W,13,6,13-6,https://www.vlr.gg/487989/fut-esports-vs-team-vitality-esports-world-cup-2025-ubsf
FUT Esports,5,W,2,Haven,W,13,6,13-6,https://www.vlr.gg/487989/fut-esports-vs-team-vitality-esports-world-cup-2025-ubsf
FUT Esports,6,W,1,Split,W,13,11,13-11,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
FUT Esports,6,W,2,Lotus,W,13,10,13-10,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
FUT Esports,7,L,1,Haven,W,14,12,14-12,https://www.vlr.gg/482510/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-lr2
FUT Esports,7,L,2,Split,L,2,13,2-13,https://www.vlr.gg/482510/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-lr2
FUT Esports,7,L,3,Ascent,L,10,13,10-13,https://www.vlr.gg/482510/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-lr2
FUT Esports,8,W,1,Fracture,W,13,7,13-7,https://www.vlr.gg/482506/fut-esports-vs-team-vitality-champions-tour-2025-emea-stage-1-playoffs-lr1
FUT Esports,8,W,2,Split,W,13,6,13-6,https://www.vlr.gg/482506/fut-esports-vs-team-vitality-champions-tour-2025-emea-stage-1-playoffs-lr1
FUT Esports,9,L,1,Lotus,L,6,13,6-13,https://www.vlr.gg/482504/fnatic-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-ubr1
FUT Esports,9,L,2,Split,L,8,13,8-13,https://www.vlr.gg/482504/fnatic-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-ubr1
FUT Esports,10,L,1,Ascent,L,23,25,23-25,https://www.vlr.gg/459852/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-w5
FUT Esports,10,L,2,Icebox,L,11,13,11-13,https://www.vlr.gg/459852/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-w5
FUT Esports,11,W,1,Pearl,L,12,14,12-14,https://www.vlr.gg/459849/karmine-corp-vs-fut-esports-champions-tour-2025-emea-stage-1-w4
FUT Esports,11,W,2,Lotus,W,13,5,13-5,https://www.vlr.gg/459849/karmine-corp-vs-fut-esports-champions-tour-2025-emea-stage-1-w4
FUT Esports,11,W,3,Ascent,W,13,11,13-11,https://www.vlr.gg/459849/karmine-corp-vs-fut-esports-champions-tour-2025-emea-stage-1-w4
FUT Esports,12,L,1,Lotus,L,1,13,1-13,https://www.vlr.gg/459841/team-liquid-vs-fut-esports-champions-tour-2025-emea-stage-1-w3
FUT Esports,12,L,2,Split,L,9,13,9-13,https://www.vlr.gg/459841/team-liquid-vs-fut-esports-champions-tour-2025-emea-stage-1-w3
FUT Esports,13,W,1,Icebox,L,10,13,10-13,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
FUT Esports,13,W,2,Fracture,W,18,16,18-16,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
FUT Esports,13,W,3,Lotus,W,13,4,13-4,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
FUT Esports,14,W,1,Pearl,W,13,4,13-4,https://www.vlr.gg/459829/fut-esports-vs-koi-champions-tour-2025-emea-stage-1-w1
FUT Esports,14,W,2,Lotus,W,14,12,14-12,https://www.vlr.gg/459829/fut-esports-vs-koi-champions-tour-2025-emea-stage-1-w1
FUT Esports,15,L,1,Abyss,L,7,13,7-13,https://www.vlr.gg/429400/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr4
FUT Esports,15,L,2,Bind,W,13,11,13-11,https://www.vlr.gg/429400/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr4
FUT Esports,15,L,3,Haven,L,4,13,4-13,https://www.vlr.gg/429400/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr4
FUT Esports,16,W,1,Abyss,W,13,10,13-10,https://www.vlr.gg/429397/fut-esports-vs-fnatic-champions-tour-2025-emea-kickoff-lr3
FUT Esports,16,W,2,Fracture,W,13,6,13-6,https://www.vlr.gg/429397/fut-esports-vs-fnatic-champions-tour-2025-emea-kickoff-lr3
FUT Esports,17,L,1,Bind,L,7,13,7-13,https://www.vlr.gg/429387/fut-esports-vs-team-vitality-champions-tour-2025-emea-kickoff-ubsf
FUT Esports,17,L,2,Split,L,4,13,4-13,https://www.vlr.gg/429387/fut-esports-vs-team-vitality-champions-tour-2025-emea-kickoff-ubsf
FUT Esports,18,W,1,Pearl,W,13,7,13-7,https://www.vlr.gg/429383/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-ubqf
FUT Esports,18,W,2,Fracture,W,13,6,13-6,https://www.vlr.gg/429383/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-ubqf
FUT Esports,19,L,1,Bind,L,5,13,5-13,https://www.vlr.gg/424006/t1-vs-fut-esports-red-bull-home-ground-5-sf
FUT Esports,19,L,2,Pearl,W,13,3,13-3,https://www.vlr.gg/424006/t1-vs-fut-esports-red-bull-home-ground-5-sf
FUT Esports,19,L,3,Ascent,L,10,13,10-13,https://www.vlr.gg/424006/t1-vs-fut-esports-red-bull-home-ground-5-sf
FUT Esports,20,L,1,N/A,Unknown,,,,https://www.vlr.gg/424021/team-heretics-vs-fut-esports-red-bull-home-ground-5-r3
FUT Esports,20,L,2,N/A,Unknown,,,,https://www.vlr.gg/424021/team-heretics-vs-fut-esports-red-bull-home-ground-5-r3
FUT Esports,20,L,3,N/A,Unknown,,,,https://www.vlr.gg/424021/team-heretics-vs-fut-esports-red-bull-home-ground-5-r3
FUT Esports,21,W,1,Haven,W,13,5,13-5,https://www.vlr.gg/423975/fut-esports-vs-karmine-corp-red-bull-home-ground-5-r2
FUT Esports,22,L,1,Ascent,L,7,13,7-13,https://www.vlr.gg/423623/fut-esports-vs-t1-red-bull-home-ground-5-r1
FUT Esports,23,W,1,Haven,W,13,11,13-11,https://www.vlr.gg/421599/g2-esports-vs-fut-esports-red-bull-home-ground-5-ubf
FUT Esports,24,W,1,Split,W,13,5,13-5,https://www.vlr.gg/421598/permitta-unicorns-vs-fut-esports-red-bull-home-ground-5-ubsf
FUT Esports,25,W,1,Bind,W,13,2,13-2,https://www.vlr.gg/421596/zen-esports-vs-fut-esports-red-bull-home-ground-5-ubqf
FUT Esports,26,W,1,Lotus,L,12,14,12-14,https://www.vlr.gg/415801/bbl-pcific-vs-fut-esports-red-bull-home-ground-5-gf
FUT Esports,26,W,2,Icebox,L,14,16,14-16,https://www.vlr.gg/415801/bbl-pcific-vs-fut-esports-red-bull-home-ground-5-gf
FUT Esports,26,W,3,Sunset,W,13,3,13-3,https://www.vlr.gg/415801/bbl-pcific-vs-fut-esports-red-bull-home-ground-5-gf
FUT Esports,26,W,4,Haven,W,13,9,13-9,https://www.vlr.gg/415801/bbl-pcific-vs-fut-esports-red-bull-home-ground-5-gf
FUT Esports,26,W,5,Ascent,W,13,9,13-9,https://www.vlr.gg/415801/bbl-pcific-vs-fut-esports-red-bull-home-ground-5-gf
FUT Esports,27,W,1,Haven,W,13,4,13-4,https://www.vlr.gg/415800/fut-esports-vs-galatasaray-esports-red-bull-home-ground-5-sf
FUT Esports,27,W,2,Bind,W,13,4,13-4,https://www.vlr.gg/415800/fut-esports-vs-galatasaray-esports-red-bull-home-ground-5-sf
FUT Esports,28,W,1,Sunset,W,13,10,13-10,https://www.vlr.gg/415564/fut-esports-vs-eternal-fire-red-bull-home-ground-5-te
FUT Esports,29,W,1,Bind,W,13,3,13-3,https://www.vlr.gg/414542/fut-esports-vs-galakticos-red-bull-home-ground-5-d2
FUT Esports,30,L,1,Sunset,L,8,13,8-13,https://www.vlr.gg/414535/fut-esports-vs-eternal-fire-red-bull-home-ground-5-d1
FUT Esports,31,W,1,Lotus,W,13,11,13-11,https://www.vlr.gg/414529/digital-athletics-vs-fut-esports-red-bull-home-ground-5-d1
FUT Esports,32,W,1,Bind,W,13,11,13-11,https://www.vlr.gg/414525/fut-esports-vs-papara-supermassive-red-bull-home-ground-5-d1
FUT Esports,33,L,1,Sunset,L,11,13,11-13,https://www.vlr.gg/378676/fut-esports-vs-paper-rex-valorant-champions-2024-elim-d
FUT Esports,33,L,2,Bind,L,6,13,6-13,https://www.vlr.gg/378676/fut-esports-vs-paper-rex-valorant-champions-2024-elim-d
FUT Esports,35,L,1,Abyss,L,10,13,10-13,https://www.vlr.gg/371284/team-heretics-vs-fut-esports-champions-tour-2024-emea-stage-2-lr1
FUT Esports,35,L,2,Sunset,L,11,13,11-13,https://www.vlr.gg/371284/team-heretics-vs-fut-esports-champions-tour-2024-emea-stage-2-lr1
FUT Esports,36,L,1,Sunset,L,13,15,13-15,https://www.vlr.gg/371281/fut-esports-vs-fnatic-champions-tour-2024-emea-stage-2-ubsf
