team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
G2 Esports,1,L,1,Sunset,L,3,13,3-13,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
G2 Esports,1,L,2,Pearl,W,13,4,13-4,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
G2 Esports,1,L,3,Icebox,L,11,13,11-13,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
G2 Esports,2,L,1,Sunset,L,6,13,6-13,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
G2 Esports,3,L,1,Lotus,L,10,13,10-13,https://www.vlr.gg/498633/g2-esports-vs-fnatic-valorant-masters-toronto-2025-lr3
G2 Esports,3,L,2,Split,L,10,13,10-13,https://www.vlr.gg/498633/g2-esports-vs-fnatic-valorant-masters-toronto-2025-lr3
G2 Esports,4,W,1,Lotus,W,13,7,13-7,https://www.vlr.gg/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2
G2 Esports,4,W,2,Haven,L,11,13,11-13,https://www.vlr.gg/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2
G2 Esports,4,W,3,Icebox,W,13,11,13-11,https://www.vlr.gg/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2
G2 Esports,5,W,1,Icebox,W,13,3,13-3,https://www.vlr.gg/498629/xi-lai-gaming-vs-g2-esports-valorant-masters-toronto-2025-lr1
G2 Esports,5,W,2,Haven,W,13,8,13-8,https://www.vlr.gg/498629/xi-lai-gaming-vs-g2-esports-valorant-masters-toronto-2025-lr1
G2 Esports,6,L,1,Split,L,10,13,10-13,https://www.vlr.gg/498622/g2-esports-vs-paper-rex-valorant-masters-toronto-2025-ubqf
G2 Esports,6,L,2,Lotus,L,11,13,11-13,https://www.vlr.gg/498622/g2-esports-vs-paper-rex-valorant-masters-toronto-2025-ubqf
G2 Esports,7,W,1,Haven,W,13,9,13-9,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
G2 Esports,7,W,2,Split,W,13,9,13-9,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
G2 Esports,7,W,3,Pearl,L,10,13,10-13,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
G2 Esports,7,W,4,Ascent,W,13,10,13-10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
G2 Esports,8,W,1,Haven,L,10,13,10-13,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
G2 Esports,8,W,2,Lotus,W,15,13,15-13,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
G2 Esports,8,W,3,Split,W,13,10,13-10,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
G2 Esports,8,W,4,Ascent,W,13,8,13-8,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
G2 Esports,9,W,1,Lotus,L,9,13,9-13,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
G2 Esports,9,W,2,Split,W,13,7,13-7,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
G2 Esports,9,W,3,Pearl,W,13,11,13-11,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
G2 Esports,10,W,1,Haven,W,13,4,13-4,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2
G2 Esports,10,W,2,Split,L,12,14,12-14,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2
G2 Esports,10,W,3,Pearl,W,16,14,16-14,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2
G2 Esports,11,L,1,Split,W,13,5,13-5,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
G2 Esports,11,L,2,Icebox,L,11,13,11-13,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
G2 Esports,11,L,3,Ascent,L,11,13,11-13,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
G2 Esports,12,W,1,Icebox,W,13,5,13-5,https://www.vlr.gg/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5
G2 Esports,12,W,2,Haven,L,4,13,4-13,https://www.vlr.gg/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5
G2 Esports,12,W,3,Pearl,W,13,11,13-11,https://www.vlr.gg/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5
G2 Esports,13,W,1,Lotus,W,13,10,13-10,https://www.vlr.gg/459536/g2-esports-vs-leviat-n-champions-tour-2025-americas-stage-1-w4
G2 Esports,13,W,2,Fracture,L,11,13,11-13,https://www.vlr.gg/459536/g2-esports-vs-leviat-n-champions-tour-2025-americas-stage-1-w4
G2 Esports,13,W,3,Haven,W,13,7,13-7,https://www.vlr.gg/459536/g2-esports-vs-leviat-n-champions-tour-2025-americas-stage-1-w4
G2 Esports,14,W,1,Lotus,W,13,1,13-1,https://www.vlr.gg/459532/g2-esports-vs-nrg-esports-champions-tour-2025-americas-stage-1-w3
G2 Esports,14,W,2,Ascent,W,13,6,13-6,https://www.vlr.gg/459532/g2-esports-vs-nrg-esports-champions-tour-2025-americas-stage-1-w3
G2 Esports,15,W,1,Pearl,L,12,14,12-14,https://www.vlr.gg/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2
G2 Esports,15,W,2,Haven,W,13,11,13-11,https://www.vlr.gg/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2
G2 Esports,15,W,3,Ascent,W,13,8,13-8,https://www.vlr.gg/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2
G2 Esports,16,W,1,Lotus,W,13,10,13-10,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
G2 Esports,16,W,2,Ascent,W,13,7,13-7,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
G2 Esports,17,L,1,Lotus,W,13,5,13-5,https://www.vlr.gg/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf
G2 Esports,17,L,2,Haven,L,9,13,9-13,https://www.vlr.gg/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf
G2 Esports,17,L,3,Abyss,W,13,11,13-11,https://www.vlr.gg/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf
