team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Gen.G,1,W,1,Sunset,W,13,10,13-10,https://www.vlr.gg/510156/paper-rex-vs-gen-g-esports-world-cup-2025-cf
Gen.G,1,W,2,Ascent,W,13,8,13-8,https://www.vlr.gg/510156/paper-rex-vs-gen-g-esports-world-cup-2025-cf
Gen.G,2,L,1,Ascent,L,7,13,7-13,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Gen.G,2,L,2,Haven,W,13,8,13-8,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Gen.G,2,L,3,Lotus,L,14,16,14-16,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Gen.G,3,W,1,Sunset,W,13,6,13-6,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
Gen.G,3,W,2,Icebox,W,13,10,13-10,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
Gen.G,4,W,1,Lotus,W,13,8,13-8,https://www.vlr.gg/510147/gen-g-vs-edward-gaming-esports-world-cup-2025-decider-d
Gen.G,4,W,2,Haven,W,13,4,13-4,https://www.vlr.gg/510147/gen-g-vs-edward-gaming-esports-world-cup-2025-decider-d
Gen.G,5,L,1,Ascent,L,13,15,13-15,https://www.vlr.gg/510145/fnatic-vs-gen-g-esports-world-cup-2025-winners-d
Gen.G,5,L,2,Icebox,L,7,13,7-13,https://www.vlr.gg/510145/fnatic-vs-gen-g-esports-world-cup-2025-winners-d
Gen.G,6,W,1,Icebox,W,13,4,13-4,https://www.vlr.gg/510144/gen-g-vs-edward-gaming-esports-world-cup-2025-opening-d
Gen.G,7,L,1,Lotus,L,7,13,7-13,https://www.vlr.gg/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2
Gen.G,7,L,2,Haven,W,13,11,13-11,https://www.vlr.gg/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2
Gen.G,7,L,3,Icebox,L,11,13,11-13,https://www.vlr.gg/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2
Gen.G,8,L,1,Split,L,11,13,11-13,https://www.vlr.gg/498626/wolves-esports-vs-gen-g-valorant-masters-toronto-2025-ubsf
Gen.G,8,L,2,Sunset,L,9,13,9-13,https://www.vlr.gg/498626/wolves-esports-vs-gen-g-valorant-masters-toronto-2025-ubsf
Gen.G,9,W,1,Haven,W,13,11,13-11,https://www.vlr.gg/498624/fnatic-vs-gen-g-valorant-masters-toronto-2025-ubqf
Gen.G,9,W,2,Split,L,12,14,12-14,https://www.vlr.gg/498624/fnatic-vs-gen-g-valorant-masters-toronto-2025-ubqf
Gen.G,9,W,3,Sunset,W,13,6,13-6,https://www.vlr.gg/498624/fnatic-vs-gen-g-valorant-masters-toronto-2025-ubqf
Gen.G,10,W,1,Ascent,W,13,11,13-11,https://www.vlr.gg/490310/paper-rex-vs-gen-g-champions-tour-2025-masters-toronto-r2-1-0
Gen.G,10,W,2,Icebox,W,13,3,13-3,https://www.vlr.gg/490310/paper-rex-vs-gen-g-champions-tour-2025-masters-toronto-r2-1-0
Gen.G,11,W,1,Sunset,W,13,5,13-5,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
Gen.G,11,W,2,Haven,W,13,1,13-1,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
Gen.G,12,L,1,Haven,W,13,8,13-8,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
Gen.G,12,L,2,Ascent,L,11,13,11-13,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
Gen.G,12,L,3,Lotus,L,9,13,9-13,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
Gen.G,12,L,4,Icebox,L,11,13,11-13,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
Gen.G,13,W,1,Lotus,W,13,5,13-5,https://www.vlr.gg/473841/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-ubf
Gen.G,13,W,2,Icebox,W,13,8,13-8,https://www.vlr.gg/473841/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-ubf
Gen.G,14,W,1,Split,W,13,8,13-8,https://www.vlr.gg/473837/boom-esports-vs-gen-g-champions-tour-2025-pacific-stage-1-ubsf
Gen.G,14,W,2,Ascent,W,13,6,13-6,https://www.vlr.gg/473837/boom-esports-vs-gen-g-champions-tour-2025-pacific-stage-1-ubsf
Gen.G,15,W,1,Haven,L,6,13,6-13,https://www.vlr.gg/473833/talon-vs-gen-g-champions-tour-2025-pacific-stage-1-ur1
Gen.G,15,W,2,Icebox,W,13,6,13-6,https://www.vlr.gg/473833/talon-vs-gen-g-champions-tour-2025-pacific-stage-1-ur1
Gen.G,15,W,3,Pearl,W,13,3,13-3,https://www.vlr.gg/473833/talon-vs-gen-g-champions-tour-2025-pacific-stage-1-ur1
Gen.G,16,L,1,Lotus,W,13,8,13-8,https://www.vlr.gg/458832/drx-vs-gen-g-champions-tour-2025-pacific-stage-1-w5
Gen.G,16,L,2,Split,L,10,13,10-13,https://www.vlr.gg/458832/drx-vs-gen-g-champions-tour-2025-pacific-stage-1-w5
Gen.G,16,L,3,Ascent,L,9,13,9-13,https://www.vlr.gg/458832/drx-vs-gen-g-champions-tour-2025-pacific-stage-1-w5
Gen.G,17,W,1,Haven,W,13,5,13-5,https://www.vlr.gg/458826/gen-g-vs-global-esports-champions-tour-2025-pacific-stage-1-w4
Gen.G,17,W,2,Pearl,W,13,7,13-7,https://www.vlr.gg/458826/gen-g-vs-global-esports-champions-tour-2025-pacific-stage-1-w4
Gen.G,18,W,1,Lotus,W,13,2,13-2,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Gen.G,18,W,2,Fracture,W,13,4,13-4,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
Gen.G,19,W,1,Lotus,W,13,10,13-10,https://www.vlr.gg/458813/gen-g-vs-paper-rex-champions-tour-2025-pacific-stage-1-w2
Gen.G,19,W,2,Fracture,L,6,13,6-13,https://www.vlr.gg/458813/gen-g-vs-paper-rex-champions-tour-2025-pacific-stage-1-w2
Gen.G,19,W,3,Haven,W,13,4,13-4,https://www.vlr.gg/458813/gen-g-vs-paper-rex-champions-tour-2025-pacific-stage-1-w2
Gen.G,20,L,1,Ascent,L,8,13,8-13,https://www.vlr.gg/458809/gen-g-vs-boom-esports-champions-tour-2025-pacific-stage-1-w1
Gen.G,20,L,2,Haven,L,15,17,15-17,https://www.vlr.gg/458809/gen-g-vs-boom-esports-champions-tour-2025-pacific-stage-1-w1
Gen.G,21,L,1,Pearl,L,8,13,8-13,https://www.vlr.gg/430535/t1-vs-gen-g-champions-tour-2025-pacific-kickoff-lbf
Gen.G,21,L,2,Lotus,L,8,13,8-13,https://www.vlr.gg/430535/t1-vs-gen-g-champions-tour-2025-pacific-kickoff-lbf
Gen.G,21,L,3,Haven,W,13,5,13-5,https://www.vlr.gg/430535/t1-vs-gen-g-champions-tour-2025-pacific-kickoff-lbf
Gen.G,21,L,4,Split,W,17,15,17-15,https://www.vlr.gg/430535/t1-vs-gen-g-champions-tour-2025-pacific-kickoff-lbf
Gen.G,21,L,5,Bind,L,10,13,10-13,https://www.vlr.gg/430535/t1-vs-gen-g-champions-tour-2025-pacific-kickoff-lbf
Gen.G,22,W,1,Bind,W,13,7,13-7,https://www.vlr.gg/430534/talon-vs-gen-g-champions-tour-2025-pacific-kickoff-lr4
Gen.G,22,W,2,Lotus,W,13,2,13-2,https://www.vlr.gg/430534/talon-vs-gen-g-champions-tour-2025-pacific-kickoff-lr4
Gen.G,23,W,1,Abyss,W,13,6,13-6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Gen.G,23,W,2,Lotus,W,13,6,13-6,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
Gen.G,24,L,1,Abyss,L,9,13,9-13,https://www.vlr.gg/430523/gen-g-vs-drx-champions-tour-2025-pacific-kickoff-ubsf
Gen.G,24,L,2,Bind,L,13,15,13-15,https://www.vlr.gg/430523/gen-g-vs-drx-champions-tour-2025-pacific-kickoff-ubsf
Gen.G,25,W,1,Fracture,L,6,13,6-13,https://www.vlr.gg/430520/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ubqf
Gen.G,25,W,2,Lotus,W,13,8,13-8,https://www.vlr.gg/430520/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ubqf
Gen.G,25,W,3,Haven,W,14,12,14-12,https://www.vlr.gg/430520/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ubqf
Gen.G,26,L,1,Abyss,L,4,13,4-13,https://www.vlr.gg/425355/nrg-esports-vs-gen-g-soop-valorant-league-gf
Gen.G,26,L,2,Haven,L,11,13,11-13,https://www.vlr.gg/425355/nrg-esports-vs-gen-g-soop-valorant-league-gf
Gen.G,26,L,3,Ascent,L,4,13,4-13,https://www.vlr.gg/425355/nrg-esports-vs-gen-g-soop-valorant-league-gf
Gen.G,27,W,1,Pearl,W,13,3,13-3,https://www.vlr.gg/425354/drx-vs-gen-g-soop-valorant-league-sf
Gen.G,27,W,2,Bind,W,13,9,13-9,https://www.vlr.gg/425354/drx-vs-gen-g-soop-valorant-league-sf
Gen.G,28,W,1,Haven,W,13,11,13-11,https://www.vlr.gg/425339/sentinels-vs-gen-g-soop-valorant-league-decider-a
Gen.G,28,W,2,Pearl,W,13,10,13-10,https://www.vlr.gg/425339/sentinels-vs-gen-g-soop-valorant-league-decider-a
Gen.G,29,W,1,Pearl,W,13,1,13-1,https://www.vlr.gg/425338/gen-g-vs-talon-soop-valorant-league-elim-a
Gen.G,29,W,2,Split,W,13,9,13-9,https://www.vlr.gg/425338/gen-g-vs-talon-soop-valorant-league-elim-a
Gen.G,30,L,1,Pearl,L,9,13,9-13,https://www.vlr.gg/425335/sentinels-vs-gen-g-soop-valorant-league-opening-a
Gen.G,30,L,2,Abyss,L,13,15,13-15,https://www.vlr.gg/425335/sentinels-vs-gen-g-soop-valorant-league-opening-a
Gen.G,31,L,1,Ascent,W,13,7,13-7,https://www.vlr.gg/418813/trace-esports-vs-gen-g-valorant-radiant-asia-invitational-r3
Gen.G,31,L,2,Sunset,W,14,12,14-12,https://www.vlr.gg/418813/trace-esports-vs-gen-g-valorant-radiant-asia-invitational-r3
Gen.G,32,L,1,Sunset,L,8,13,8-13,https://www.vlr.gg/418808/gen-g-vs-drx-valorant-radiant-asia-invitational-r2-1-0
Gen.G,32,L,2,Ascent,W,13,9,13-9,https://www.vlr.gg/418808/gen-g-vs-drx-valorant-radiant-asia-invitational-r2-1-0
Gen.G,32,L,3,Haven,L,11,13,11-13,https://www.vlr.gg/418808/gen-g-vs-drx-valorant-radiant-asia-invitational-r2-1-0
Gen.G,33,W,1,Haven,L,12,14,12-14,https://www.vlr.gg/418805/paper-rex-vs-gen-g-valorant-radiant-asia-invitational-r1
Gen.G,33,W,2,Abyss,W,15,13,15-13,https://www.vlr.gg/418805/paper-rex-vs-gen-g-valorant-radiant-asia-invitational-r1
Gen.G,33,W,3,Split,L,16,18,16-18,https://www.vlr.gg/418805/paper-rex-vs-gen-g-valorant-radiant-asia-invitational-r1
Gen.G,34,W,1,Pearl,W,13,6,13-6,https://www.vlr.gg/414310/gen-g-vs-edward-gaming-gwangju-esports-series-asia-2024-d2
Gen.G,34,W,2,Ascent,W,13,3,13-3,https://www.vlr.gg/414310/gen-g-vs-edward-gaming-gwangju-esports-series-asia-2024-d2
Gen.G,35,W,1,Ascent,W,13,10,13-10,https://www.vlr.gg/414306/gen-g-vs-trace-esports-gwangju-esports-series-asia-2024-d1
Gen.G,35,W,2,Abyss,W,13,10,13-10,https://www.vlr.gg/414306/gen-g-vs-trace-esports-gwangju-esports-series-asia-2024-d1
Gen.G,36,W,1,Abyss,W,13,7,13-7,https://www.vlr.gg/415860/gen-g-vs-talon-esports-ten-valorant-asia-invitational-gf
Gen.G,36,W,2,Bind,L,10,13,10-13,https://www.vlr.gg/415860/gen-g-vs-talon-esports-ten-valorant-asia-invitational-gf
Gen.G,36,W,3,Lotus,W,13,2,13-2,https://www.vlr.gg/415860/gen-g-vs-talon-esports-ten-valorant-asia-invitational-gf
Gen.G,37,L,1,Ascent,L,11,13,11-13,https://www.vlr.gg/415856/gen-g-vs-drx-ten-valorant-asia-invitational-rr
Gen.G,38,W,1,Bind,W,13,8,13-8,https://www.vlr.gg/415855/gen-g-vs-talon-esports-ten-valorant-asia-invitational-rr
Gen.G,39,W,1,Ascent,W,13,7,13-7,https://www.vlr.gg/415852/gen-g-vs-funplus-phoenix-ten-valorant-asia-invitational-rr
Gen.G,40,L,1,Lotus,L,9,13,9-13,https://www.vlr.gg/378666/gen-g-vs-sentinels-valorant-champions-2024-decider-b
Gen.G,40,L,2,Icebox,L,6,13,6-13,https://www.vlr.gg/378666/gen-g-vs-sentinels-valorant-champions-2024-decider-b
Gen.G,41,L,1,Abyss,W,13,11,13-11,https://www.vlr.gg/378664/gen-g-vs-team-heretics-valorant-champions-2024-winners-b
Gen.G,41,L,2,Lotus,L,11,13,11-13,https://www.vlr.gg/378664/gen-g-vs-team-heretics-valorant-champions-2024-winners-b
Gen.G,41,L,3,Bind,L,10,13,10-13,https://www.vlr.gg/378664/gen-g-vs-team-heretics-valorant-champions-2024-winners-b
Gen.G,42,W,1,Haven,W,13,8,13-8,https://www.vlr.gg/378662/gen-g-vs-sentinels-valorant-champions-2024-opening-b
Gen.G,42,W,2,Ascent,W,13,7,13-7,https://www.vlr.gg/378662/gen-g-vs-sentinels-valorant-champions-2024-opening-b
Gen.G,43,W,1,Haven,L,6,13,6-13,https://www.vlr.gg/365321/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-gf
Gen.G,43,W,2,Bind,W,18,16,18-16,https://www.vlr.gg/365321/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-gf
Gen.G,43,W,3,Lotus,W,14,12,14-12,https://www.vlr.gg/365321/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-gf
Gen.G,43,W,4,Icebox,W,13,6,13-6,https://www.vlr.gg/365321/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-gf
Gen.G,44,W,1,Haven,W,13,9,13-9,https://www.vlr.gg/365320/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-ubf
Gen.G,44,W,2,Sunset,L,10,13,10-13,https://www.vlr.gg/365320/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-ubf
Gen.G,44,W,3,Bind,W,13,6,13-6,https://www.vlr.gg/365320/gen-g-vs-drx-champions-tour-2024-pacific-stage-2-ubf
Gen.G,45,W,1,Ascent,W,13,10,13-10,https://www.vlr.gg/365318/paper-rex-vs-gen-g-champions-tour-2024-pacific-stage-2-ubsf
Gen.G,45,W,2,Icebox,W,13,5,13-5,https://www.vlr.gg/365318/paper-rex-vs-gen-g-champions-tour-2024-pacific-stage-2-ubsf
Gen.G,46,W,1,Haven,W,13,8,13-8,https://www.vlr.gg/365316/gen-g-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-ko
Gen.G,46,W,2,Bind,W,13,11,13-11,https://www.vlr.gg/365316/gen-g-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-ko
Gen.G,47,L,1,Sunset,L,6,13,6-13,https://www.vlr.gg/314362/gen-g-vs-team-secret-champions-tour-2024-pacific-stage-2-w4
Gen.G,47,L,2,Lotus,W,13,7,13-7,https://www.vlr.gg/314362/gen-g-vs-team-secret-champions-tour-2024-pacific-stage-2-w4
Gen.G,47,L,3,Split,L,12,14,12-14,https://www.vlr.gg/314362/gen-g-vs-team-secret-champions-tour-2024-pacific-stage-2-w4
Gen.G,48,W,1,Lotus,W,13,1,13-1,https://www.vlr.gg/314359/gen-g-vs-global-esports-champions-tour-2024-pacific-stage-2-w4
Gen.G,48,W,2,Ascent,W,13,6,13-6,https://www.vlr.gg/314359/gen-g-vs-global-esports-champions-tour-2024-pacific-stage-2-w4
Gen.G,49,W,1,Ascent,W,13,6,13-6,https://www.vlr.gg/314355/bleed-vs-gen-g-champions-tour-2024-pacific-stage-2-w3
Gen.G,49,W,2,Sunset,L,10,13,10-13,https://www.vlr.gg/314355/bleed-vs-gen-g-champions-tour-2024-pacific-stage-2-w3
Gen.G,49,W,3,Icebox,W,13,11,13-11,https://www.vlr.gg/314355/bleed-vs-gen-g-champions-tour-2024-pacific-stage-2-w3
Gen.G,50,W,1,Split,W,15,13,15-13,https://www.vlr.gg/314342/t1-vs-gen-g-champions-tour-2024-pacific-stage-2-w1
Gen.G,50,W,2,Lotus,L,5,13,5-13,https://www.vlr.gg/314342/t1-vs-gen-g-champions-tour-2024-pacific-stage-2-w1
Gen.G,50,W,3,Sunset,W,13,9,13-9,https://www.vlr.gg/314342/t1-vs-gen-g-champions-tour-2024-pacific-stage-2-w1
