team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Gentle Mates,1,W,1,Icebox,L,9,13,9-13,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Gentle Mates,1,W,2,Lotus,W,13,8,13-8,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Gentle Mates,1,W,3,Haven,W,13,7,13-7,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Gentle Mates,1,W,4,Sunset,W,13,6,13-6,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Gentle Mates,2,W,1,Lotus,W,13,7,13-7,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Gentle Mates,2,W,2,Haven,L,11,13,11-13,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Gentle Mates,2,W,3,Sunset,W,13,11,13-11,https://www.vlr.gg/509287/gentle-mates-vs-bbl-pcific-btcturk-gamefest-main-event-sf
Gentle Mates,3,L,1,Fracture,W,13,10,13-10,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Gentle Mates,3,L,2,Ascent,L,10,13,10-13,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Gentle Mates,3,L,3,Icebox,L,4,13,4-13,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Gentle Mates,4,W,1,Split,W,20,18,20-18,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Gentle Mates,4,W,2,Icebox,L,6,13,6-13,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Gentle Mates,4,W,3,Haven,W,13,5,13-5,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Gentle Mates,5,W,1,Haven,W,13,8,13-8,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
Gentle Mates,5,W,2,Ascent,W,13,10,13-10,https://www.vlr.gg/487993/gentle-mates-vs-koi-esports-world-cup-2025-lr1
Gentle Mates,6,L,1,Fracture,L,8,13,8-13,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Gentle Mates,6,L,2,Icebox,L,11,13,11-13,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Gentle Mates,7,L,1,Split,W,13,11,13-11,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
Gentle Mates,7,L,2,Icebox,L,6,13,6-13,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
Gentle Mates,7,L,3,Fracture,L,9,13,9-13,https://www.vlr.gg/459854/gentle-mates-vs-koi-champions-tour-2025-emea-stage-1-w5
Gentle Mates,8,L,1,Lotus,L,12,14,12-14,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
Gentle Mates,8,L,2,Haven,L,2,13,2-13,https://www.vlr.gg/459847/gentle-mates-vs-bbl-esports-champions-tour-2025-emea-stage-1-w4
Gentle Mates,9,L,1,Haven,L,12,14,12-14,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
Gentle Mates,9,L,2,Pearl,L,2,13,2-13,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
Gentle Mates,10,L,1,Icebox,W,13,10,13-10,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
Gentle Mates,10,L,2,Fracture,L,16,18,16-18,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
Gentle Mates,10,L,3,Lotus,L,4,13,4-13,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
Gentle Mates,11,W,1,Split,L,6,13,6-13,https://www.vlr.gg/459831/team-liquid-vs-gentle-mates-champions-tour-2025-emea-stage-1-w1
