team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Global Esports,1,L,1,Corrode,L,,,,https://www.vlr.gg/508366/global-esports-vs-team-secret-global-esports-face-off-corrode-m1
Global Esports,2,L,1,Haven,L,10,13,10-13,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Global Esports,2,L,2,Sunset,L,8,13,8-13,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Global Esports,3,L,1,Icebox,L,8,13,8-13,https://www.vlr.gg/489426/paper-rex-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Global Esports,4,W,1,Ascent,W,13,10,13-10,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Global Esports,5,W,1,Ascent,W,13,7,13-7,https://www.vlr.gg/489423/t1-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
Global Esports,6,L,1,Split,L,5,13,5-13,https://www.vlr.gg/458830/paper-rex-vs-global-esports-champions-tour-2025-pacific-stage-1-w5
Global Esports,6,L,2,Lotus,L,9,13,9-13,https://www.vlr.gg/458830/paper-rex-vs-global-esports-champions-tour-2025-pacific-stage-1-w5
Global Esports,7,L,1,Haven,L,5,13,5-13,https://www.vlr.gg/458826/gen-g-vs-global-esports-champions-tour-2025-pacific-stage-1-w4
Global Esports,7,L,2,Pearl,L,7,13,7-13,https://www.vlr.gg/458826/gen-g-vs-global-esports-champions-tour-2025-pacific-stage-1-w4
Global Esports,8,L,1,Ascent,L,3,13,3-13,https://www.vlr.gg/458821/drx-vs-global-esports-champions-tour-2025-pacific-stage-1-w3
Global Esports,8,L,2,Split,L,10,13,10-13,https://www.vlr.gg/458821/drx-vs-global-esports-champions-tour-2025-pacific-stage-1-w3
