team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
JDG Esports,1,L,1,Icebox,L,7,13,7-13,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
JDG Esports,1,L,2,Lotus,W,13,4,13-4,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
JDG Esports,1,L,3,Haven,L,4,13,4-13,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
JDG Esports,2,L,1,Sunset,L,7,13,7-13,https://www.vlr.gg/485373/jdg-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-ro12
JDG Esports,2,L,2,Split,L,8,13,8-13,https://www.vlr.gg/485373/jdg-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-ro12
JDG Esports,3,L,1,Lotus,L,6,13,6-13,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
JDG Esports,3,L,2,Icebox,W,13,11,13-11,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
JDG Esports,3,L,3,Fracture,L,6,13,6-13,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
JDG Esports,4,W,1,Split,W,14,12,14-12,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
JDG Esports,4,W,2,Pearl,W,13,4,13-4,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
JDG Esports,5,L,1,Lotus,L,7,13,7-13,https://www.vlr.gg/450059/jdg-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w3
JDG Esports,5,L,2,Haven,L,11,13,11-13,https://www.vlr.gg/450059/jdg-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w3
JDG Esports,6,L,1,Pearl,L,10,13,10-13,https://www.vlr.gg/450058/bilibili-gaming-vs-jdg-esports-champions-tour-2025-china-stage-1-w2
JDG Esports,6,L,2,Icebox,W,13,5,13-5,https://www.vlr.gg/450058/bilibili-gaming-vs-jdg-esports-champions-tour-2025-china-stage-1-w2
JDG Esports,6,L,3,Fracture,L,8,13,8-13,https://www.vlr.gg/450058/bilibili-gaming-vs-jdg-esports-champions-tour-2025-china-stage-1-w2
JDG Esports,7,L,1,Pearl,L,9,13,9-13,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
JDG Esports,7,L,2,Haven,L,11,13,11-13,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
JDG Esports,8,L,1,Abyss,W,13,9,13-9,https://www.vlr.gg/440541/bilibili-gaming-vs-jdg-esports-china-evolution-series-act-1-cf
JDG Esports,8,L,2,Pearl,W,13,3,13-3,https://www.vlr.gg/440541/bilibili-gaming-vs-jdg-esports-china-evolution-series-act-1-cf
JDG Esports,8,L,3,Lotus,W,13,11,13-11,https://www.vlr.gg/440541/bilibili-gaming-vs-jdg-esports-china-evolution-series-act-1-cf
JDG Esports,9,L,1,Abyss,W,13,5,13-5,https://www.vlr.gg/440539/wolves-esports-vs-jdg-esports-china-evolution-series-act-1-sf
JDG Esports,9,L,2,Haven,W,13,11,13-11,https://www.vlr.gg/440539/wolves-esports-vs-jdg-esports-china-evolution-series-act-1-sf
JDG Esports,10,W,1,Abyss,L,14,16,14-16,https://www.vlr.gg/440537/xi-lai-gaming-vs-jdg-esports-china-evolution-series-act-1-qf
JDG Esports,10,W,2,Lotus,L,5,13,5-13,https://www.vlr.gg/440537/xi-lai-gaming-vs-jdg-esports-china-evolution-series-act-1-qf
JDG Esports,11,W,1,Pearl,W,13,4,13-4,https://www.vlr.gg/440533/jdg-esports-vs-edward-gaming-china-evolution-series-act-1-ro12
JDG Esports,11,W,2,Split,W,13,7,13-7,https://www.vlr.gg/440533/jdg-esports-vs-edward-gaming-china-evolution-series-act-1-ro12
JDG Esports,12,L,1,Pearl,W,13,9,13-9,https://www.vlr.gg/430855/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-kickoff-lr2
JDG Esports,12,L,2,Bind,L,4,13,4-13,https://www.vlr.gg/430855/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-kickoff-lr2
JDG Esports,12,L,3,Haven,L,6,13,6-13,https://www.vlr.gg/430855/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-kickoff-lr2
JDG Esports,13,W,1,Fracture,L,9,13,9-13,https://www.vlr.gg/430851/titan-esports-club-vs-jdg-esports-champions-tour-2025-china-kickoff-lr1
JDG Esports,13,W,2,Abyss,L,3,13,3-13,https://www.vlr.gg/430851/titan-esports-club-vs-jdg-esports-champions-tour-2025-china-kickoff-lr1
JDG Esports,14,L,1,Abyss,L,5,13,5-13,https://www.vlr.gg/430839/jdg-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ur1
JDG Esports,14,L,2,Haven,W,15,13,15-13,https://www.vlr.gg/430839/jdg-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ur1
JDG Esports,14,L,3,Bind,L,7,13,7-13,https://www.vlr.gg/430839/jdg-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ur1
JDG Esports,15,W,1,Bind,W,13,5,13-5,https://www.vlr.gg/427172/jdg-esports-vs-titan-esports-club-superb-cup-d3
JDG Esports,15,W,2,Abyss,W,13,1,13-1,https://www.vlr.gg/427172/jdg-esports-vs-titan-esports-club-superb-cup-d3
