team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Karmine Corp,1,L,1,Sunset,L,12,14,12-14,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Karmine Corp,1,L,2,Ascent,L,7,13,7-13,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
Karmine Corp,2,W,1,Icebox,W,13,5,13-5,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Karmine Corp,2,W,2,Lotus,L,11,13,11-13,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Karmine Corp,2,W,3,Sunset,W,13,9,13-9,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
Karmine Corp,3,L,1,Lotus,L,10,13,10-13,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
Karmine Corp,3,L,2,Icebox,L,5,13,5-13,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
Karmine Corp,4,W,1,Sunset,W,13,6,13-6,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
Karmine Corp,5,W,1,Split,L,7,13,7-13,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Karmine Corp,5,W,2,Icebox,W,13,5,13-5,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Karmine Corp,5,W,3,Lotus,W,13,10,13-10,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Karmine Corp,5,W,4,Haven,W,13,9,13-9,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Karmine Corp,6,W,1,Ascent,W,13,10,13-10,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
Karmine Corp,6,W,2,Haven,W,13,7,13-7,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
Karmine Corp,7,L,1,Ascent,L,9,13,9-13,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
Karmine Corp,7,L,2,Haven,L,6,13,6-13,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
Karmine Corp,8,W,1,Lotus,W,13,11,13-11,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
Karmine Corp,8,W,2,Ascent,L,9,13,9-13,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
Karmine Corp,8,W,3,Haven,W,13,7,13-7,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
Karmine Corp,9,W,1,Haven,W,13,7,13-7,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Karmine Corp,9,W,2,Icebox,W,16,14,16-14,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Karmine Corp,10,W,1,Ascent,W,17,15,17-15,https://www.vlr.gg/487988/karmine-corp-vs-koi-esports-world-cup-2025-ubqf
Karmine Corp,10,W,2,Haven,W,13,9,13-9,https://www.vlr.gg/487988/karmine-corp-vs-koi-esports-world-cup-2025-ubqf
Karmine Corp,11,L,1,Icebox,W,14,12,14-12,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
Karmine Corp,11,L,2,Split,L,11,13,11-13,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
