team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
KRÜ Esports,1,L,1,Sunset,W,13,11,13-11,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
KRÜ Esports,1,L,2,Lotus,L,12,14,12-14,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
KRÜ Esports,1,L,3,Bind,L,12,14,12-14,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
KRÜ Esports,1,L,4,Icebox,W,13,5,13-5,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
KRÜ Esports,1,L,5,Ascent,L,6,13,6-13,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
KRÜ Esports,2,W,1,Sunset,L,10,13,10-13,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
KRÜ Esports,2,W,2,Haven,W,13,11,13-11,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
KRÜ Esports,2,W,3,Corrode,W,13,4,13-4,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
KRÜ Esports,3,L,1,Haven,L,8,13,8-13,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
KRÜ Esports,4,W,1,Sunset,W,13,8,13-8,https://www.vlr.gg/510615/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
KRÜ Esports,5,L,1,Icebox,L,7,13,7-13,https://www.vlr.gg/510613/furia-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
KRÜ Esports,6,L,1,Lotus,L,10,13,10-13,https://www.vlr.gg/488014/kr-esports-vs-nrg-esports-world-cup-2025-lr3
KRÜ Esports,6,L,2,Icebox,L,4,13,4-13,https://www.vlr.gg/488014/kr-esports-vs-nrg-esports-world-cup-2025-lr3
KRÜ Esports,7,W,1,Haven,W,14,12,14-12,https://www.vlr.gg/488012/kr-esports-vs-leviat-n-esports-world-cup-2025-lr2
KRÜ Esports,7,W,2,Pearl,W,13,5,13-5,https://www.vlr.gg/488012/kr-esports-vs-leviat-n-esports-world-cup-2025-lr2
KRÜ Esports,8,L,1,Pearl,W,13,9,13-9,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
KRÜ Esports,8,L,2,Split,L,7,13,7-13,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
KRÜ Esports,8,L,3,Lotus,L,5,13,5-13,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
KRÜ Esports,9,L,1,Lotus,L,12,14,12-14,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
KRÜ Esports,9,L,2,Icebox,L,11,13,11-13,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
KRÜ Esports,10,L,1,Lotus,L,8,13,8-13,https://www.vlr.gg/475899/kr-esports-vs-mibr-champions-tour-2025-americas-stage-1-ubsf
KRÜ Esports,10,L,2,Icebox,L,5,13,5-13,https://www.vlr.gg/475899/kr-esports-vs-mibr-champions-tour-2025-americas-stage-1-ubsf
KRÜ Esports,11,W,1,Fracture,W,13,10,13-10,https://www.vlr.gg/459544/kr-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-w5
KRÜ Esports,11,W,2,Icebox,W,13,9,13-9,https://www.vlr.gg/459544/kr-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-w5
KRÜ Esports,12,L,1,Lotus,L,4,13,4-13,https://www.vlr.gg/459539/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w4
KRÜ Esports,12,L,2,Pearl,L,7,13,7-13,https://www.vlr.gg/459539/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w4
