team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
LEVIATÁN,1,W,1,Sunset,L,11,13,11-13,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
LEVIATÁN,1,W,2,Lotus,W,14,12,14-12,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
LEVIATÁN,1,W,3,Bind,W,14,12,14-12,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
LEVIATÁN,1,W,4,Icebox,L,5,13,5-13,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
LEVIATÁN,1,W,5,Ascent,W,13,6,13-6,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
LEVIATÁN,2,W,1,Haven,W,13,8,13-8,https://www.vlr.gg/511522/furia-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-sf
LEVIATÁN,2,W,2,Icebox,W,13,7,13-7,https://www.vlr.gg/511522/furia-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-sf
LEVIATÁN,3,W,1,Haven,W,13,8,13-8,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
LEVIATÁN,4,L,1,Icebox,L,11,13,11-13,https://www.vlr.gg/510614/furia-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
LEVIATÁN,5,L,1,Lotus,L,13,15,13-15,https://www.vlr.gg/510612/leviat-n-vs-2game-esports-tixinha-sacy-invitational-by-bonoxs-rr
LEVIATÁN,6,L,1,Haven,L,12,14,12-14,https://www.vlr.gg/488012/kr-esports-vs-leviat-n-esports-world-cup-2025-lr2
LEVIATÁN,6,L,2,Pearl,L,5,13,5-13,https://www.vlr.gg/488012/kr-esports-vs-leviat-n-esports-world-cup-2025-lr2
LEVIATÁN,7,W,1,Icebox,W,13,7,13-7,https://www.vlr.gg/488010/furia-vs-leviat-n-esports-world-cup-2025-lr1
LEVIATÁN,7,W,2,Lotus,W,13,11,13-11,https://www.vlr.gg/488010/furia-vs-leviat-n-esports-world-cup-2025-lr1
LEVIATÁN,8,L,1,Pearl,L,13,15,13-15,https://www.vlr.gg/488004/leviat-n-vs-nrg-esports-world-cup-2025-ubqf
LEVIATÁN,8,L,2,Icebox,L,8,13,8-13,https://www.vlr.gg/488004/leviat-n-vs-nrg-esports-world-cup-2025-ubqf
LEVIATÁN,9,L,1,Fracture,L,13,15,13-15,https://www.vlr.gg/459546/leviat-n-vs-nrg-esports-champions-tour-2025-americas-stage-1-w5
LEVIATÁN,9,L,2,Icebox,L,8,13,8-13,https://www.vlr.gg/459546/leviat-n-vs-nrg-esports-champions-tour-2025-americas-stage-1-w5
