team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
LOUD,1,L,1,Lotus,W,13,11,13-11,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
LOUD,1,L,2,Pearl,L,12,14,12-14,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
LOUD,1,L,3,Split,L,11,13,11-13,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
LOUD,2,L,1,Split,L,10,13,10-13,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
LOUD,2,L,2,Lotus,W,13,11,13-11,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
LOUD,2,L,3,Haven,L,5,13,5-13,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
LOUD,3,L,1,Haven,W,13,6,13-6,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
LOUD,3,L,2,Icebox,L,11,13,11-13,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
LOUD,3,L,3,Split,L,8,13,8-13,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
LOUD,4,L,1,Lotus,L,12,14,12-14,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
LOUD,4,L,2,Pearl,L,11,13,11-13,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
LOUD,5,L,1,Fracture,W,13,3,13-3,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
LOUD,5,L,2,Haven,L,2,13,2-13,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
LOUD,5,L,3,Split,L,10,13,10-13,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
LOUD,6,L,1,Bind,L,5,13,5-13,https://www.vlr.gg/428010/loud-vs-kr-esports-champions-tour-2025-americas-kickoff-lr3
LOUD,6,L,2,Haven,L,11,13,11-13,https://www.vlr.gg/428010/loud-vs-kr-esports-champions-tour-2025-americas-kickoff-lr3
LOUD,7,L,1,Lotus,W,13,11,13-11,https://www.vlr.gg/427999/loud-vs-sentinels-champions-tour-2025-americas-kickoff-ubsf
LOUD,7,L,2,Pearl,L,11,13,11-13,https://www.vlr.gg/427999/loud-vs-sentinels-champions-tour-2025-americas-kickoff-ubsf
LOUD,7,L,3,Split,L,9,13,9-13,https://www.vlr.gg/427999/loud-vs-sentinels-champions-tour-2025-americas-kickoff-ubsf
LOUD,8,W,1,Haven,W,13,7,13-7,https://www.vlr.gg/427995/kr-esports-vs-loud-champions-tour-2025-americas-kickoff-ubqf
LOUD,8,W,2,Split,W,13,10,13-10,https://www.vlr.gg/427995/kr-esports-vs-loud-champions-tour-2025-americas-kickoff-ubqf
LOUD,9,W,1,Split,W,14,12,14-12,https://www.vlr.gg/427991/evil-geniuses-vs-loud-champions-tour-2025-americas-kickoff-ur1
LOUD,9,W,2,Pearl,W,13,10,13-10,https://www.vlr.gg/427991/evil-geniuses-vs-loud-champions-tour-2025-americas-kickoff-ur1
LOUD,10,L,1,Bind,L,9,13,9-13,https://www.vlr.gg/425936/loud-vs-mibr-tixinha-invitational-by-bonoxs-r3
LOUD,10,L,2,Haven,L,6,13,6-13,https://www.vlr.gg/425936/loud-vs-mibr-tixinha-invitational-by-bonoxs-r3
LOUD,11,L,1,Abyss,L,6,13,6-13,https://www.vlr.gg/425932/loud-vs-2game-esports-tixinha-invitational-by-bonoxs-r2
LOUD,11,L,2,Haven,W,13,7,13-7,https://www.vlr.gg/425932/loud-vs-2game-esports-tixinha-invitational-by-bonoxs-r2
LOUD,11,L,3,Ascent,L,4,13,4-13,https://www.vlr.gg/425932/loud-vs-2game-esports-tixinha-invitational-by-bonoxs-r2
LOUD,12,W,1,Haven,W,13,9,13-9,https://www.vlr.gg/425966/loud-vs-the-7-tixinha-invitational-by-bonoxs-r1
LOUD,12,W,2,Sunset,W,13,4,13-4,https://www.vlr.gg/425966/loud-vs-the-7-tixinha-invitational-by-bonoxs-r1
LOUD,13,W,1,Ascent,L,1,13,1-13,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4
LOUD,13,W,2,Bind,W,13,8,13-8,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4
LOUD,13,W,3,Lotus,W,13,10,13-10,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4
LOUD,14,L,1,Lotus,L,11,13,11-13,https://www.vlr.gg/353193/loud-vs-leviat-n-champions-tour-2024-americas-stage-2-w3
LOUD,14,L,2,Icebox,L,6,13,6-13,https://www.vlr.gg/353193/loud-vs-leviat-n-champions-tour-2024-americas-stage-2-w3
LOUD,15,L,1,Haven,W,13,11,13-11,https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2
LOUD,15,L,2,Icebox,L,10,13,10-13,https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2
LOUD,15,L,3,Bind,L,9,13,9-13,https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2
LOUD,16,W,1,Ascent,W,13,7,13-7,https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2
LOUD,16,W,2,Lotus,L,11,13,11-13,https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2
LOUD,16,W,3,Sunset,W,13,9,13-9,https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2
LOUD,17,L,1,Lotus,W,13,7,13-7,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1
LOUD,17,L,2,Sunset,L,6,13,6-13,https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1
