team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
MIBR,1,L,1,Icebox,L,6,13,6-13,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
MIBR,1,L,2,Sunset,L,7,13,7-13,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
MIBR,2,L,1,Sunset,L,5,13,5-13,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
MIBR,2,L,2,Haven,L,1,13,1-13,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
MIBR,3,L,1,Icebox,W,13,9,13-9,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
MIBR,3,L,2,Split,W,13,4,13-4,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
MIBR,3,L,3,Haven,L,3,13,3-13,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
MIBR,3,L,4,Ascent,L,10,13,10-13,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
MIBR,3,L,5,Pearl,L,9,13,9-13,https://www.vlr.gg/488020/100-thieves-vs-mibr-esports-world-cup-2025-decider
MIBR,4,W,1,Lotus,L,5,13,5-13,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
MIBR,4,W,2,Icebox,W,14,12,14-12,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
MIBR,4,W,3,Split,W,13,9,13-9,https://www.vlr.gg/488019/mibr-vs-evil-geniuses-esports-world-cup-2025-elim
MIBR,5,L,1,Split,L,10,13,10-13,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
MIBR,5,L,2,Icebox,L,13,15,13-15,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
MIBR,6,L,1,Haven,W,13,10,13-10,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
MIBR,6,L,2,Lotus,L,13,15,13-15,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
MIBR,6,L,3,Split,L,10,13,10-13,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
MIBR,6,L,4,Ascent,L,8,13,8-13,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
MIBR,7,L,1,Lotus,L,7,13,7-13,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
MIBR,7,L,2,Split,L,11,13,11-13,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
MIBR,8,W,1,Lotus,W,13,8,13-8,https://www.vlr.gg/475899/kr-esports-vs-mibr-champions-tour-2025-americas-stage-1-ubsf
MIBR,8,W,2,Icebox,W,13,5,13-5,https://www.vlr.gg/475899/kr-esports-vs-mibr-champions-tour-2025-americas-stage-1-ubsf
MIBR,9,W,1,Split,W,13,10,13-10,https://www.vlr.gg/475897/mibr-vs-100-thieves-champions-tour-2025-americas-stage-1-ubr1
MIBR,9,W,2,Icebox,W,13,4,13-4,https://www.vlr.gg/475897/mibr-vs-100-thieves-champions-tour-2025-americas-stage-1-ubr1
MIBR,10,W,1,Icebox,W,13,3,13-3,https://www.vlr.gg/459542/mibr-vs-furia-champions-tour-2025-americas-stage-1-w5
MIBR,10,W,2,Ascent,L,9,13,9-13,https://www.vlr.gg/459542/mibr-vs-furia-champions-tour-2025-americas-stage-1-w5
MIBR,10,W,3,Split,W,13,8,13-8,https://www.vlr.gg/459542/mibr-vs-furia-champions-tour-2025-americas-stage-1-w5
MIBR,11,W,1,Haven,W,13,6,13-6,https://www.vlr.gg/459540/nrg-esports-vs-mibr-champions-tour-2025-americas-stage-1-w4
MIBR,11,W,2,Icebox,W,13,5,13-5,https://www.vlr.gg/459540/nrg-esports-vs-mibr-champions-tour-2025-americas-stage-1-w4
MIBR,12,W,1,Pearl,L,9,13,9-13,https://www.vlr.gg/459534/cloud9-vs-mibr-champions-tour-2025-americas-stage-1-w3
MIBR,12,W,2,Lotus,W,15,13,15-13,https://www.vlr.gg/459534/cloud9-vs-mibr-champions-tour-2025-americas-stage-1-w3
MIBR,12,W,3,Haven,W,13,11,13-11,https://www.vlr.gg/459534/cloud9-vs-mibr-champions-tour-2025-americas-stage-1-w3
MIBR,13,L,1,Pearl,W,14,12,14-12,https://www.vlr.gg/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2
MIBR,13,L,2,Haven,L,11,13,11-13,https://www.vlr.gg/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2
MIBR,13,L,3,Ascent,L,8,13,8-13,https://www.vlr.gg/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2
MIBR,14,W,1,Split,W,13,7,13-7,https://www.vlr.gg/459520/mibr-vs-leviat-n-champions-tour-2025-americas-stage-1-w1
MIBR,14,W,2,Icebox,W,13,8,13-8,https://www.vlr.gg/459520/mibr-vs-leviat-n-champions-tour-2025-americas-stage-1-w1
MIBR,15,L,1,Lotus,L,7,13,7-13,https://www.vlr.gg/428012/sentinels-vs-mibr-champions-tour-2025-americas-kickoff-lbf
MIBR,15,L,2,Abyss,L,5,13,5-13,https://www.vlr.gg/428012/sentinels-vs-mibr-champions-tour-2025-americas-kickoff-lbf
MIBR,15,L,3,Pearl,W,21,19,21-19,https://www.vlr.gg/428012/sentinels-vs-mibr-champions-tour-2025-americas-kickoff-lbf
MIBR,15,L,4,Split,L,7,13,7-13,https://www.vlr.gg/428012/sentinels-vs-mibr-champions-tour-2025-americas-kickoff-lbf
MIBR,16,W,1,Bind,L,8,13,8-13,https://www.vlr.gg/428011/mibr-vs-kr-esports-champions-tour-2025-americas-kickoff-lr4
MIBR,16,W,2,Abyss,W,13,8,13-8,https://www.vlr.gg/428011/mibr-vs-kr-esports-champions-tour-2025-americas-kickoff-lr4
MIBR,16,W,3,Split,W,13,11,13-11,https://www.vlr.gg/428011/mibr-vs-kr-esports-champions-tour-2025-americas-kickoff-lr4
MIBR,17,W,1,Lotus,L,7,13,7-13,https://www.vlr.gg/428009/leviat-n-vs-mibr-champions-tour-2025-americas-kickoff-lr3
MIBR,17,W,2,Pearl,W,13,9,13-9,https://www.vlr.gg/428009/leviat-n-vs-mibr-champions-tour-2025-americas-kickoff-lr3
MIBR,17,W,3,Split,W,14,12,14-12,https://www.vlr.gg/428009/leviat-n-vs-mibr-champions-tour-2025-americas-kickoff-lr3
MIBR,18,W,1,Abyss,W,13,10,13-10,https://www.vlr.gg/428007/evil-geniuses-vs-mibr-champions-tour-2025-americas-kickoff-lr2
