team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Natus Vincere,1,L,1,Icebox,W,13,9,13-9,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Natus Vincere,1,L,2,Lotus,L,8,13,8-13,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Natus Vincere,1,L,3,Haven,L,7,13,7-13,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Natus Vincere,1,L,4,Sunset,L,6,13,6-13,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
Natus Vincere,2,W,1,Sunset,W,13,3,13-3,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
Natus Vincere,2,W,2,Icebox,W,13,7,13-7,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
Natus Vincere,3,L,1,Pearl,L,13,15,13-15,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
Natus Vincere,3,L,2,Ascent,L,7,13,7-13,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
Natus Vincere,4,W,1,Fracture,L,10,13,10-13,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Natus Vincere,4,W,2,Ascent,W,13,10,13-10,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Natus Vincere,4,W,3,Icebox,W,13,4,13-4,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
Natus Vincere,5,W,1,Ascent,W,13,7,13-7,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
Natus Vincere,5,W,2,Pearl,W,13,8,13-8,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
Natus Vincere,6,L,1,Haven,L,7,13,7-13,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Natus Vincere,6,L,2,Icebox,L,14,16,14-16,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
Natus Vincere,7,W,1,Fracture,W,13,8,13-8,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Natus Vincere,7,W,2,Icebox,W,13,11,13-11,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
Natus Vincere,8,L,1,Icebox,W,13,11,13-11,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
Natus Vincere,8,L,2,Split,L,4,13,4-13,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
Natus Vincere,8,L,3,Ascent,L,8,13,8-13,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
Natus Vincere,9,W,1,Icebox,L,12,14,12-14,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
Natus Vincere,9,W,2,Split,W,13,11,13-11,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
Natus Vincere,9,W,3,Ascent,W,13,11,13-11,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
Natus Vincere,10,L,1,Lotus,L,9,13,9-13,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
Natus Vincere,10,L,2,Fracture,L,10,13,10-13,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
Natus Vincere,11,W,1,Haven,W,13,5,13-5,https://www.vlr.gg/459855/team-vitality-vs-natus-vincere-champions-tour-2025-emea-stage-1-w5
Natus Vincere,11,W,2,Icebox,W,13,11,13-11,https://www.vlr.gg/459855/team-vitality-vs-natus-vincere-champions-tour-2025-emea-stage-1-w5
Natus Vincere,12,L,1,Haven,L,3,13,3-13,https://www.vlr.gg/459850/natus-vincere-vs-team-heretics-champions-tour-2025-emea-stage-1-w4
Natus Vincere,12,L,2,Pearl,L,8,13,8-13,https://www.vlr.gg/459850/natus-vincere-vs-team-heretics-champions-tour-2025-emea-stage-1-w4
Natus Vincere,13,W,1,Fracture,L,9,13,9-13,https://www.vlr.gg/459840/natus-vincere-vs-giantx-champions-tour-2025-emea-stage-1-w3
Natus Vincere,13,W,2,Pearl,W,13,7,13-7,https://www.vlr.gg/459840/natus-vincere-vs-giantx-champions-tour-2025-emea-stage-1-w3
Natus Vincere,13,W,3,Split,W,13,0,13-0,https://www.vlr.gg/459840/natus-vincere-vs-giantx-champions-tour-2025-emea-stage-1-w3
Natus Vincere,14,W,1,Lotus,L,10,13,10-13,https://www.vlr.gg/459833/apeks-vs-natus-vincere-champions-tour-2025-emea-stage-1-w2
