team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Nova Esports,1,L,1,Lotus,L,8,13,8-13,https://www.vlr.gg/506934/dragon-ranger-gaming-vs-nova-esports-vct-2025-china-stage-2-w1
Nova Esports,1,L,2,Icebox,W,14,12,14-12,https://www.vlr.gg/506934/dragon-ranger-gaming-vs-nova-esports-vct-2025-china-stage-2-w1
Nova Esports,1,L,3,Ascent,L,5,13,5-13,https://www.vlr.gg/506934/dragon-ranger-gaming-vs-nova-esports-vct-2025-china-stage-2-w1
Nova Esports,2,L,1,Haven,L,11,13,11-13,https://www.vlr.gg/485375/trace-esports-vs-nova-esports-china-evolution-series-act-2-x-asian-champions-league-qf
Nova Esports,2,L,2,Sunset,W,13,7,13-7,https://www.vlr.gg/485375/trace-esports-vs-nova-esports-china-evolution-series-act-2-x-asian-champions-league-qf
Nova Esports,2,L,3,Split,W,13,5,13-5,https://www.vlr.gg/485375/trace-esports-vs-nova-esports-china-evolution-series-act-2-x-asian-champions-league-qf
Nova Esports,3,W,1,Sunset,W,13,2,13-2,https://www.vlr.gg/485371/nova-esports-vs-xi-lai-gaming-china-evolution-series-act-2-x-asian-champions-league-ro12
Nova Esports,3,W,2,Lotus,L,10,13,10-13,https://www.vlr.gg/485371/nova-esports-vs-xi-lai-gaming-china-evolution-series-act-2-x-asian-champions-league-ro12
Nova Esports,3,W,3,Haven,W,13,5,13-5,https://www.vlr.gg/485371/nova-esports-vs-xi-lai-gaming-china-evolution-series-act-2-x-asian-champions-league-ro12
Nova Esports,4,L,1,Split,L,9,13,9-13,https://www.vlr.gg/473236/nova-esports-vs-trace-esports-champions-tour-2025-china-stage-1-lr1
Nova Esports,4,L,2,Lotus,L,4,13,4-13,https://www.vlr.gg/473236/nova-esports-vs-trace-esports-champions-tour-2025-china-stage-1-lr1
Nova Esports,5,L,1,Lotus,L,6,13,6-13,https://www.vlr.gg/473234/xi-lai-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-ur1
Nova Esports,5,L,2,Ascent,L,2,13,2-13,https://www.vlr.gg/473234/xi-lai-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-ur1
Nova Esports,6,L,1,Fracture,W,13,9,13-9,https://www.vlr.gg/450075/titan-esports-club-vs-nova-esports-champions-tour-2025-china-stage-1-w5
Nova Esports,6,L,2,Split,W,13,3,13-3,https://www.vlr.gg/450075/titan-esports-club-vs-nova-esports-champions-tour-2025-china-stage-1-w5
Nova Esports,7,W,1,Split,W,13,11,13-11,https://www.vlr.gg/450069/nova-esports-vs-tyloo-champions-tour-2025-china-stage-1-w4
Nova Esports,7,W,2,Icebox,L,3,13,3-13,https://www.vlr.gg/450069/nova-esports-vs-tyloo-champions-tour-2025-china-stage-1-w4
Nova Esports,7,W,3,Pearl,W,13,5,13-5,https://www.vlr.gg/450069/nova-esports-vs-tyloo-champions-tour-2025-china-stage-1-w4
Nova Esports,8,W,1,Icebox,W,13,11,13-11,https://www.vlr.gg/450063/nova-esports-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w3
Nova Esports,8,W,2,Split,W,13,10,13-10,https://www.vlr.gg/450063/nova-esports-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w3
Nova Esports,9,W,1,Ascent,W,13,11,13-11,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Nova Esports,9,W,2,Fracture,W,13,8,13-8,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Nova Esports,10,L,1,Fracture,W,13,6,13-6,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Nova Esports,10,L,2,Lotus,W,13,10,13-10,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Nova Esports,11,W,1,Abyss,W,13,2,13-2,https://www.vlr.gg/440540/nova-esports-vs-wolves-esports-china-evolution-series-act-1-gf
