team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
NRG,1,L,1,Sunset,L,6,13,6-13,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
NRG,1,L,2,Icebox,L,10,13,10-13,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
NRG,2,W,1,Split,W,13,7,13-7,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
NRG,2,W,2,Pearl,W,13,8,13-8,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
NRG,3,W,1,Lotus,W,13,4,13-4,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
NRG,4,W,1,Pearl,W,13,5,13-5,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
NRG,4,W,2,Split,L,11,13,11-13,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
NRG,4,W,3,Haven,W,13,11,13-11,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
NRG,4,W,4,Icebox,W,13,7,13-7,https://www.vlr.gg/488018/nrg-vs-100-thieves-esports-world-cup-2025-winners
NRG,5,W,1,Split,W,13,10,13-10,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
NRG,5,W,2,Icebox,W,15,13,15-13,https://www.vlr.gg/488016/mibr-vs-nrg-esports-world-cup-2025-opening
NRG,6,W,1,Split,W,13,9,13-9,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
NRG,6,W,2,Icebox,W,13,9,13-9,https://www.vlr.gg/488015/cloud9-vs-nrg-esports-world-cup-2025-lbf
NRG,7,W,1,Lotus,W,13,10,13-10,https://www.vlr.gg/488014/kr-esports-vs-nrg-esports-world-cup-2025-lr3
NRG,7,W,2,Icebox,W,13,4,13-4,https://www.vlr.gg/488014/kr-esports-vs-nrg-esports-world-cup-2025-lr3
NRG,8,W,1,Pearl,W,13,4,13-4,https://www.vlr.gg/488013/nrg-vs-2game-esports-esports-world-cup-2025-lr2
NRG,8,W,2,Haven,W,13,7,13-7,https://www.vlr.gg/488013/nrg-vs-2game-esports-esports-world-cup-2025-lr2
NRG,9,L,1,Haven,W,13,7,13-7,https://www.vlr.gg/488007/100-thieves-vs-nrg-esports-world-cup-2025-ubsf
NRG,9,L,2,Ascent,L,9,13,9-13,https://www.vlr.gg/488007/100-thieves-vs-nrg-esports-world-cup-2025-ubsf
NRG,9,L,3,Fracture,L,9,13,9-13,https://www.vlr.gg/488007/100-thieves-vs-nrg-esports-world-cup-2025-ubsf
NRG,10,W,1,Pearl,W,15,13,15-13,https://www.vlr.gg/488004/leviat-n-vs-nrg-esports-world-cup-2025-ubqf
NRG,10,W,2,Icebox,W,13,8,13-8,https://www.vlr.gg/488004/leviat-n-vs-nrg-esports-world-cup-2025-ubqf
NRG,11,L,1,Fracture,L,5,13,5-13,https://www.vlr.gg/475903/100-thieves-vs-nrg-esports-champions-tour-2025-americas-stage-1-lr1
