team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Paper Rex,1,L,1,Sunset,L,10,13,10-13,https://www.vlr.gg/510156/paper-rex-vs-gen-g-esports-world-cup-2025-cf
Paper Rex,1,L,2,Ascent,L,8,13,8-13,https://www.vlr.gg/510156/paper-rex-vs-gen-g-esports-world-cup-2025-cf
Paper Rex,2,L,1,Sunset,W,13,10,13-10,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
Paper Rex,2,L,2,Ascent,L,3,13,3-13,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
Paper Rex,2,L,3,Split,L,8,13,8-13,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
Paper Rex,3,W,1,Icebox,W,13,3,13-3,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
Paper Rex,3,W,2,Sunset,W,13,9,13-9,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
Paper Rex,4,W,1,Lotus,W,13,10,13-10,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
Paper Rex,4,W,2,Icebox,W,13,5,13-5,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
Paper Rex,5,W,1,Lotus,W,16,14,16-14,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
Paper Rex,6,W,1,Sunset,W,13,11,13-11,https://www.vlr.gg/498628/paper-rex-vs-fnatic-valorant-masters-toronto-2025-gf
Paper Rex,6,W,2,Icebox,L,15,17,15-17,https://www.vlr.gg/498628/paper-rex-vs-fnatic-valorant-masters-toronto-2025-gf
Paper Rex,6,W,3,Pearl,W,13,10,13-10,https://www.vlr.gg/498628/paper-rex-vs-fnatic-valorant-masters-toronto-2025-gf
Paper Rex,6,W,4,Lotus,W,14,12,14-12,https://www.vlr.gg/498628/paper-rex-vs-fnatic-valorant-masters-toronto-2025-gf
Paper Rex,7,W,1,Lotus,W,14,12,14-12,https://www.vlr.gg/498627/paper-rex-vs-wolves-esports-valorant-masters-toronto-2025-ubf
Paper Rex,7,W,2,Ascent,W,13,8,13-8,https://www.vlr.gg/498627/paper-rex-vs-wolves-esports-valorant-masters-toronto-2025-ubf
Paper Rex,8,W,1,Split,W,13,3,13-3,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
Paper Rex,8,W,2,Sunset,W,13,11,13-11,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
Paper Rex,9,W,1,Split,W,13,10,13-10,https://www.vlr.gg/498622/g2-esports-vs-paper-rex-valorant-masters-toronto-2025-ubqf
Paper Rex,9,W,2,Lotus,W,13,11,13-11,https://www.vlr.gg/498622/g2-esports-vs-paper-rex-valorant-masters-toronto-2025-ubqf
Paper Rex,10,W,1,Split,L,13,15,13-15,https://www.vlr.gg/490314/paper-rex-vs-team-liquid-valorant-masters-toronto-2025-r3-1-1
Paper Rex,10,W,2,Sunset,W,13,5,13-5,https://www.vlr.gg/490314/paper-rex-vs-team-liquid-valorant-masters-toronto-2025-r3-1-1
Paper Rex,10,W,3,Lotus,W,14,12,14-12,https://www.vlr.gg/490314/paper-rex-vs-team-liquid-valorant-masters-toronto-2025-r3-1-1
Paper Rex,11,L,1,Ascent,L,11,13,11-13,https://www.vlr.gg/490310/paper-rex-vs-gen-g-champions-tour-2025-masters-toronto-r2-1-0
Paper Rex,11,L,2,Icebox,L,3,13,3-13,https://www.vlr.gg/490310/paper-rex-vs-gen-g-champions-tour-2025-masters-toronto-r2-1-0
Paper Rex,12,W,1,Pearl,W,13,1,13-1,https://www.vlr.gg/490309/team-heretics-vs-paper-rex-champions-tour-2025-masters-toronto-r1
Paper Rex,12,W,2,Icebox,W,13,9,13-9,https://www.vlr.gg/490309/team-heretics-vs-paper-rex-champions-tour-2025-masters-toronto-r1
Paper Rex,13,W,1,Ascent,L,8,13,8-13,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
Paper Rex,13,W,2,Sunset,W,13,7,13-7,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
Paper Rex,13,W,3,Lotus,W,13,11,13-11,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
Paper Rex,13,W,4,Icebox,W,13,6,13-6,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
