team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Rare Atom,1,W,1,Bind,L,0,0,0-0,https://www.vlr.gg/504808/chosen-clique-gaming-vs-rare-atom-valorant-china-national-competition-season-4-playoffs-qf
Rare Atom,1,W,2,Haven,L,0,0,0-0,https://www.vlr.gg/504808/chosen-clique-gaming-vs-rare-atom-valorant-china-national-competition-season-4-playoffs-qf
Rare Atom,2,W,1,Split,W,13,4,13-4,https://www.vlr.gg/502761/rare-atom-vs-temperature-x-valorant-china-national-competition-season-4-qualifier-quarterfinals
Rare Atom,2,W,2,Lotus,W,13,11,13-11,https://www.vlr.gg/502761/rare-atom-vs-temperature-x-valorant-china-national-competition-season-4-qualifier-quarterfinals
Rare Atom,3,W,1,Lotus,W,13,10,13-10,https://www.vlr.gg/502754/rare-atom-vs-octagonal-disposition-valorant-china-national-competition-season-4-qualifier-ro16
Rare Atom,3,W,2,Haven,L,14,16,14-16,https://www.vlr.gg/502754/rare-atom-vs-octagonal-disposition-valorant-china-national-competition-season-4-qualifier-ro16
Rare Atom,3,W,3,Split,W,13,6,13-6,https://www.vlr.gg/502754/rare-atom-vs-octagonal-disposition-valorant-china-national-competition-season-4-qualifier-ro16
Rare Atom,4,L,1,Pearl,L,5,13,5-13,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
Rare Atom,4,L,2,Icebox,L,11,13,11-13,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
Rare Atom,5,W,1,Icebox,W,13,3,13-3,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
Rare Atom,5,W,2,Lotus,W,13,3,13-3,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
Rare Atom,6,L,1,Ascent,L,1,13,1-13,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
Rare Atom,6,L,2,Split,L,5,13,5-13,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
Rare Atom,7,L,1,Bind,L,5,13,5-13,https://www.vlr.gg/400164/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-gf
Rare Atom,7,L,2,Sunset,L,5,13,5-13,https://www.vlr.gg/400164/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-gf
Rare Atom,7,L,3,Lotus,L,7,13,7-13,https://www.vlr.gg/400164/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-gf
Rare Atom,8,W,1,Sunset,L,10,13,10-13,https://www.vlr.gg/400163/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-ubf
Rare Atom,8,W,2,Bind,W,13,5,13-5,https://www.vlr.gg/400163/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-ubf
Rare Atom,8,W,3,Ascent,W,14,12,14-12,https://www.vlr.gg/400163/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-ubf
Rare Atom,9,W,1,Haven,W,13,3,13-3,https://www.vlr.gg/400161/rare-atom-vs-ambitious-legend-gaming-champions-tour-2024-china-ascension-ubsf
Rare Atom,9,W,2,Sunset,W,13,1,13-1,https://www.vlr.gg/400161/rare-atom-vs-ambitious-legend-gaming-champions-tour-2024-china-ascension-ubsf
Rare Atom,10,W,1,Lotus,W,13,7,13-7,https://www.vlr.gg/400153/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-winners-a
Rare Atom,10,W,2,Sunset,W,13,6,13-6,https://www.vlr.gg/400153/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-winners-a
Rare Atom,11,W,1,Lotus,L,7,13,7-13,https://www.vlr.gg/398826/zy-gaming-vs-rare-atom-champions-tour-2024-china-ascension-opening-a
Rare Atom,11,W,2,Haven,L,9,13,9-13,https://www.vlr.gg/398826/zy-gaming-vs-rare-atom-champions-tour-2024-china-ascension-opening-a
Rare Atom,12,L,1,Sunset,L,1,13,1-13,https://www.vlr.gg/366175/rare-atom-vs-kulin-esports-valorant-china-national-competition-season-2-qf
Rare Atom,12,L,2,Split,W,13,10,13-10,https://www.vlr.gg/366175/rare-atom-vs-kulin-esports-valorant-china-national-competition-season-2-qf
Rare Atom,12,L,3,Ascent,L,7,13,7-13,https://www.vlr.gg/366175/rare-atom-vs-kulin-esports-valorant-china-national-competition-season-2-qf
Rare Atom,13,W,1,Lotus,L,2,13,2-13,https://www.vlr.gg/365652/kulin-esports-vs-rare-atom-valorant-china-national-competition-season-2-r2
Rare Atom,13,W,2,Split,L,14,16,14-16,https://www.vlr.gg/365652/kulin-esports-vs-rare-atom-valorant-china-national-competition-season-2-r2
Rare Atom,14,L,1,Split,L,7,13,7-13,https://www.vlr.gg/292033/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-gf
Rare Atom,14,L,2,Ascent,L,12,14,12-14,https://www.vlr.gg/292033/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-gf
Rare Atom,14,L,3,Lotus,W,13,0,13-0,https://www.vlr.gg/292033/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-gf
Rare Atom,14,L,4,Bind,L,11,13,11-13,https://www.vlr.gg/292033/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-gf
Rare Atom,15,W,1,Split,L,7,13,7-13,https://www.vlr.gg/292032/attacking-soul-esports-vs-rare-atom-champions-tour-2023-china-ascension-uf
Rare Atom,15,W,2,Sunset,L,1,13,1-13,https://www.vlr.gg/292032/attacking-soul-esports-vs-rare-atom-champions-tour-2023-china-ascension-uf
Rare Atom,16,W,1,Split,W,13,2,13-2,https://www.vlr.gg/292031/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-ubsf
Rare Atom,16,W,2,Haven,W,13,10,13-10,https://www.vlr.gg/292031/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-ubsf
Rare Atom,17,W,1,Split,L,6,13,6-13,https://www.vlr.gg/292022/night-wings-gaming-vs-rare-atom-champions-tour-2023-china-ascension-winners-a
Rare Atom,17,W,2,Bind,L,11,13,11-13,https://www.vlr.gg/292022/night-wings-gaming-vs-rare-atom-champions-tour-2023-china-ascension-winners-a
Rare Atom,18,W,1,Lotus,W,13,11,13-11,https://www.vlr.gg/292021/rare-atom-vs-keepbest-gaming-champions-tour-2023-china-ascension-opening-a
Rare Atom,18,W,2,Ascent,W,13,3,13-3,https://www.vlr.gg/292021/rare-atom-vs-keepbest-gaming-champions-tour-2023-china-ascension-opening-a
Rare Atom,19,L,1,Bind,L,11,13,11-13,https://www.vlr.gg/285020/rare-atom-vs-edward-gaming-china-evolution-series-act-3-heritability-gf
Rare Atom,19,L,2,Lotus,L,9,13,9-13,https://www.vlr.gg/285020/rare-atom-vs-edward-gaming-china-evolution-series-act-3-heritability-gf
Rare Atom,19,L,3,Split,L,9,13,9-13,https://www.vlr.gg/285020/rare-atom-vs-edward-gaming-china-evolution-series-act-3-heritability-gf
Rare Atom,20,W,1,Lotus,W,14,12,14-12,https://www.vlr.gg/285019/rare-atom-vs-edward-gaming-china-evolution-series-act-3-heritability-uf
Rare Atom,20,W,2,Sunset,W,13,6,13-6,https://www.vlr.gg/285019/rare-atom-vs-edward-gaming-china-evolution-series-act-3-heritability-uf
Rare Atom,21,W,1,Lotus,W,13,9,13-9,https://www.vlr.gg/285017/trace-esports-vs-rare-atom-china-evolution-series-act-3-heritability-ubsf
Rare Atom,21,W,2,Ascent,L,10,13,10-13,https://www.vlr.gg/285017/trace-esports-vs-rare-atom-china-evolution-series-act-3-heritability-ubsf
