team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Rex Regum Qeon,1,L,1,Sunset,L,3,13,3-13,https://www.vlr.gg/510142/rex-regum-qeon-vs-team-heretics-esports-world-cup-2025-decider-c
Rex Regum Qeon,1,L,2,Icebox,L,13,15,13-15,https://www.vlr.gg/510142/rex-regum-qeon-vs-team-heretics-esports-world-cup-2025-decider-c
Rex Regum Qeon,2,L,1,Split,L,7,13,7-13,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
Rex Regum Qeon,2,L,2,Pearl,L,8,13,8-13,https://www.vlr.gg/510140/nrg-vs-rex-regum-qeon-esports-world-cup-2025-winners-c
Rex Regum Qeon,3,W,1,Sunset,W,13,6,13-6,https://www.vlr.gg/510139/rex-regum-qeon-vs-titan-esports-club-esports-world-cup-2025-opening-c
Rex Regum Qeon,4,L,1,Lotus,L,5,13,5-13,https://www.vlr.gg/498630/rex-regum-qeon-vs-fnatic-valorant-masters-toronto-2025-lr1
Rex Regum Qeon,4,L,2,Haven,W,13,6,13-6,https://www.vlr.gg/498630/rex-regum-qeon-vs-fnatic-valorant-masters-toronto-2025-lr1
Rex Regum Qeon,4,L,3,Ascent,L,5,13,5-13,https://www.vlr.gg/498630/rex-regum-qeon-vs-fnatic-valorant-masters-toronto-2025-lr1
Rex Regum Qeon,5,L,1,Ascent,L,11,13,11-13,https://www.vlr.gg/498623/rex-regum-qeon-vs-wolves-esports-valorant-masters-toronto-2025-ubqf
Rex Regum Qeon,5,L,2,Icebox,L,8,13,8-13,https://www.vlr.gg/498623/rex-regum-qeon-vs-wolves-esports-valorant-masters-toronto-2025-ubqf
Rex Regum Qeon,6,W,1,Haven,L,8,13,8-13,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
Rex Regum Qeon,6,W,2,Ascent,W,13,11,13-11,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
Rex Regum Qeon,6,W,3,Lotus,W,13,9,13-9,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
Rex Regum Qeon,6,W,4,Icebox,W,13,11,13-11,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
Rex Regum Qeon,7,W,1,Fracture,L,2,13,2-13,https://www.vlr.gg/473843/rex-regum-qeon-vs-paper-rex-champions-tour-2025-pacific-stage-1-lbf
Rex Regum Qeon,7,W,2,Split,W,14,12,14-12,https://www.vlr.gg/473843/rex-regum-qeon-vs-paper-rex-champions-tour-2025-pacific-stage-1-lbf
Rex Regum Qeon,7,W,3,Pearl,W,14,12,14-12,https://www.vlr.gg/473843/rex-regum-qeon-vs-paper-rex-champions-tour-2025-pacific-stage-1-lbf
Rex Regum Qeon,7,W,4,Icebox,L,3,13,3-13,https://www.vlr.gg/473843/rex-regum-qeon-vs-paper-rex-champions-tour-2025-pacific-stage-1-lbf
Rex Regum Qeon,7,W,5,Ascent,W,13,6,13-6,https://www.vlr.gg/473843/rex-regum-qeon-vs-paper-rex-champions-tour-2025-pacific-stage-1-lbf
Rex Regum Qeon,8,L,1,Lotus,L,5,13,5-13,https://www.vlr.gg/473841/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-ubf
Rex Regum Qeon,8,L,2,Icebox,L,8,13,8-13,https://www.vlr.gg/473841/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-ubf
Rex Regum Qeon,9,W,1,Fracture,L,11,13,11-13,https://www.vlr.gg/473838/rex-regum-qeon-vs-drx-champions-tour-2025-pacific-stage-1-ubsf
Rex Regum Qeon,9,W,2,Icebox,W,13,4,13-4,https://www.vlr.gg/473838/rex-regum-qeon-vs-drx-champions-tour-2025-pacific-stage-1-ubsf
Rex Regum Qeon,9,W,3,Lotus,W,14,12,14-12,https://www.vlr.gg/473838/rex-regum-qeon-vs-drx-champions-tour-2025-pacific-stage-1-ubsf
Rex Regum Qeon,10,L,1,Haven,W,15,13,15-13,https://www.vlr.gg/458835/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-stage-1-w5
