team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Sentinels,1,L,1,Icebox,L,3,13,3-13,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
Sentinels,1,L,2,Sunset,L,9,13,9-13,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
Sentinels,2,W,1,Lotus,W,13,7,13-7,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
Sentinels,2,W,2,Sunset,W,13,4,13-4,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
Sentinels,3,W,1,Lotus,W,13,9,13-9,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
Sentinels,3,W,2,Sunset,L,8,13,8-13,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
Sentinels,3,W,3,Haven,W,13,9,13-9,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
Sentinels,4,L,1,Icebox,L,12,14,12-14,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
Sentinels,5,L,1,Sunset,W,13,9,13-9,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
Sentinels,5,L,2,Ascent,L,7,13,7-13,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
Sentinels,5,L,3,Icebox,L,9,13,9-13,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
Sentinels,6,L,1,Split,L,3,13,3-13,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
Sentinels,6,L,2,Sunset,L,11,13,11-13,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
Sentinels,7,W,1,Sunset,W,13,6,13-6,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
Sentinels,7,W,2,Lotus,W,13,6,13-6,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
Sentinels,8,W,1,Icebox,L,9,13,9-13,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Sentinels,8,W,2,Sunset,W,13,5,13-5,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Sentinels,8,W,3,Lotus,W,13,9,13-9,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
Sentinels,9,W,1,Split,W,13,11,13-11,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Sentinels,9,W,2,Lotus,W,13,8,13-8,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Sentinels,10,L,1,Haven,L,9,13,9-13,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
Sentinels,10,L,2,Split,L,9,13,9-13,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
Sentinels,10,L,3,Pearl,W,13,10,13-10,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
Sentinels,10,L,4,Ascent,L,10,13,10-13,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
Sentinels,11,W,1,Lotus,W,13,7,13-7,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
Sentinels,11,W,2,Split,W,13,11,13-11,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
Sentinels,12,W,1,Split,L,5,13,5-13,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
Sentinels,12,W,2,Icebox,W,13,11,13-11,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
Sentinels,12,W,3,Ascent,W,13,11,13-11,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
Sentinels,13,W,1,Ascent,W,13,9,13-9,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
Sentinels,13,W,2,Pearl,W,13,9,13-9,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
Sentinels,14,W,1,Haven,W,13,4,13-4,https://www.vlr.gg/459543/sentinels-vs-2game-esports-champions-tour-2025-americas-stage-1-w5
Sentinels,14,W,2,Pearl,W,13,5,13-5,https://www.vlr.gg/459543/sentinels-vs-2game-esports-champions-tour-2025-americas-stage-1-w5
Sentinels,15,W,1,Split,W,13,10,13-10,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
Sentinels,15,W,2,Lotus,L,11,13,11-13,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
Sentinels,15,W,3,Haven,W,13,5,13-5,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
Sentinels,16,W,1,Haven,W,13,4,13-4,https://www.vlr.gg/459529/evil-geniuses-vs-sentinels-champions-tour-2025-americas-stage-1-w3
Sentinels,16,W,2,Pearl,W,13,6,13-6,https://www.vlr.gg/459529/evil-geniuses-vs-sentinels-champions-tour-2025-americas-stage-1-w3
Sentinels,17,L,1,Lotus,L,7,13,7-13,https://www.vlr.gg/459524/sentinels-vs-kr-esports-champions-tour-2025-americas-stage-1-w2
Sentinels,17,L,2,Icebox,L,8,13,8-13,https://www.vlr.gg/459524/sentinels-vs-kr-esports-champions-tour-2025-americas-stage-1-w2
Sentinels,18,W,1,Pearl,W,13,5,13-5,https://www.vlr.gg/459522/sentinels-vs-100-thieves-champions-tour-2025-americas-stage-1-w1
Sentinels,18,W,2,Haven,L,9,13,9-13,https://www.vlr.gg/459522/sentinels-vs-100-thieves-champions-tour-2025-americas-stage-1-w1
