team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
T1,1,W,1,Sunset,W,13,7,13-7,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
T1,2,L,1,Lotus,L,8,13,8-13,https://www.vlr.gg/489424/paper-rex-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
T1,3,L,1,Ascent,L,7,13,7-13,https://www.vlr.gg/489423/t1-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
T1,4,L,1,Fracture,W,13,3,13-3,https://www.vlr.gg/473836/t1-vs-paper-rex-champions-tour-2025-pacific-stage-1-lr1
T1,4,L,2,Ascent,L,4,13,4-13,https://www.vlr.gg/473836/t1-vs-paper-rex-champions-tour-2025-pacific-stage-1-lr1
T1,4,L,3,Lotus,L,2,13,2-13,https://www.vlr.gg/473836/t1-vs-paper-rex-champions-tour-2025-pacific-stage-1-lr1
T1,5,L,1,Lotus,L,13,15,13-15,https://www.vlr.gg/473834/drx-vs-t1-champions-tour-2025-pacific-stage-1-ur1
T1,5,L,2,Fracture,L,12,14,12-14,https://www.vlr.gg/473834/drx-vs-t1-champions-tour-2025-pacific-stage-1-ur1
T1,6,L,1,Icebox,L,6,13,6-13,https://www.vlr.gg/458831/t1-vs-talon-champions-tour-2025-pacific-stage-1-w5
T1,6,L,2,Haven,L,7,13,7-13,https://www.vlr.gg/458831/t1-vs-talon-champions-tour-2025-pacific-stage-1-w5
T1,7,L,1,Pearl,W,13,10,13-10,https://www.vlr.gg/458825/t1-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-w4
T1,7,L,2,Icebox,L,10,13,10-13,https://www.vlr.gg/458825/t1-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-w4
T1,7,L,3,Lotus,L,5,13,5-13,https://www.vlr.gg/458825/t1-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-w4
T1,8,W,1,Haven,W,13,6,13-6,https://www.vlr.gg/458822/t1-vs-team-secret-champions-tour-2025-pacific-stage-1-w3
T1,8,W,2,Icebox,L,9,13,9-13,https://www.vlr.gg/458822/t1-vs-team-secret-champions-tour-2025-pacific-stage-1-w3
T1,8,W,3,Lotus,W,13,8,13-8,https://www.vlr.gg/458822/t1-vs-team-secret-champions-tour-2025-pacific-stage-1-w3
T1,9,W,1,Icebox,W,13,10,13-10,https://www.vlr.gg/458812/t1-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-w2
