team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
TALON,1,L,1,Sunset,L,7,13,7-13,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
TALON,2,L,1,Ascent,L,10,13,10-13,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
TALON,3,L,1,Sunset,L,9,13,9-13,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
TALON,4,L,1,Icebox,L,4,13,4-13,https://www.vlr.gg/473839/drx-vs-talon-champions-tour-2025-pacific-stage-1-lr2
TALON,4,L,2,Fracture,L,12,14,12-14,https://www.vlr.gg/473839/drx-vs-talon-champions-tour-2025-pacific-stage-1-lr2
TALON,5,W,1,Haven,W,13,9,13-9,https://www.vlr.gg/473835/talon-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-lr1
TALON,5,W,2,Pearl,L,7,13,7-13,https://www.vlr.gg/473835/talon-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-lr1
TALON,5,W,3,Ascent,W,13,9,13-9,https://www.vlr.gg/473835/talon-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-lr1
TALON,6,L,1,Haven,W,13,6,13-6,https://www.vlr.gg/473833/talon-vs-gen-g-champions-tour-2025-pacific-stage-1-ur1
TALON,6,L,2,Icebox,L,6,13,6-13,https://www.vlr.gg/473833/talon-vs-gen-g-champions-tour-2025-pacific-stage-1-ur1
TALON,6,L,3,Pearl,L,3,13,3-13,https://www.vlr.gg/473833/talon-vs-gen-g-champions-tour-2025-pacific-stage-1-ur1
TALON,7,W,1,Icebox,W,13,6,13-6,https://www.vlr.gg/458831/t1-vs-talon-champions-tour-2025-pacific-stage-1-w5
TALON,7,W,2,Haven,W,13,7,13-7,https://www.vlr.gg/458831/t1-vs-talon-champions-tour-2025-pacific-stage-1-w5
TALON,8,L,1,Lotus,L,4,13,4-13,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
TALON,8,L,2,Split,L,10,13,10-13,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
TALON,9,W,1,Haven,L,5,13,5-13,https://www.vlr.gg/458820/talon-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-w3
TALON,9,W,2,Lotus,W,13,8,13-8,https://www.vlr.gg/458820/talon-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-w3
TALON,9,W,3,Fracture,W,13,6,13-6,https://www.vlr.gg/458820/talon-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-w3
TALON,10,L,1,Lotus,L,8,13,8-13,https://www.vlr.gg/458815/talon-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-w2
TALON,10,L,2,Ascent,L,5,13,5-13,https://www.vlr.gg/458815/talon-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-w2
TALON,11,W,1,Pearl,L,5,13,5-13,https://www.vlr.gg/458808/talon-vs-team-secret-champions-tour-2025-pacific-stage-1-w1
TALON,11,W,2,Fracture,W,13,2,13-2,https://www.vlr.gg/458808/talon-vs-team-secret-champions-tour-2025-pacific-stage-1-w1
TALON,11,W,3,Haven,W,13,9,13-9,https://www.vlr.gg/458808/talon-vs-team-secret-champions-tour-2025-pacific-stage-1-w1
TALON,12,L,1,Bind,L,7,13,7-13,https://www.vlr.gg/430534/talon-vs-gen-g-champions-tour-2025-pacific-kickoff-lr4
TALON,12,L,2,Lotus,L,2,13,2-13,https://www.vlr.gg/430534/talon-vs-gen-g-champions-tour-2025-pacific-kickoff-lr4
TALON,13,W,1,Lotus,L,9,13,9-13,https://www.vlr.gg/430532/talon-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-lr3
TALON,13,W,2,Bind,W,13,10,13-10,https://www.vlr.gg/430532/talon-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-lr3
TALON,13,W,3,Split,W,13,5,13-5,https://www.vlr.gg/430532/talon-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-lr3
