team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Team Heretics,1,W,1,Lotus,L,4,13,4-13,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Team Heretics,1,W,2,Sunset,L,1,13,1-13,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Team Heretics,1,W,3,Icebox,W,13,11,13-11,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Team Heretics,1,W,4,Haven,W,13,10,13-10,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Team Heretics,1,W,5,Ascent,W,13,10,13-10,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
Team Heretics,2,W,1,Ascent,W,13,7,13-7,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Team Heretics,2,W,2,Haven,L,8,13,8-13,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Team Heretics,2,W,3,Lotus,W,16,14,16-14,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
Team Heretics,3,W,1,Ascent,W,13,3,13-3,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
Team Heretics,3,W,2,Haven,W,13,5,13-5,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
Team Heretics,4,W,1,Sunset,W,13,3,13-3,https://www.vlr.gg/510142/rex-regum-qeon-vs-team-heretics-esports-world-cup-2025-decider-c
Team Heretics,4,W,2,Icebox,W,15,13,15-13,https://www.vlr.gg/510142/rex-regum-qeon-vs-team-heretics-esports-world-cup-2025-decider-c
Team Heretics,5,W,1,Icebox,L,10,13,10-13,https://www.vlr.gg/510141/team-heretics-vs-titan-esports-club-esports-world-cup-2025-elim-c
Team Heretics,5,W,2,Haven,W,14,12,14-12,https://www.vlr.gg/510141/team-heretics-vs-titan-esports-club-esports-world-cup-2025-elim-c
Team Heretics,5,W,3,Sunset,W,13,6,13-6,https://www.vlr.gg/510141/team-heretics-vs-titan-esports-club-esports-world-cup-2025-elim-c
Team Heretics,6,L,1,Lotus,L,4,13,4-13,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
Team Heretics,7,L,1,Pearl,L,10,13,10-13,https://www.vlr.gg/490312/team-heretics-vs-wolves-esports-valorant-masters-2025-toronto-r2-0-1
Team Heretics,7,L,2,Lotus,L,9,13,9-13,https://www.vlr.gg/490312/team-heretics-vs-wolves-esports-valorant-masters-2025-toronto-r2-0-1
Team Heretics,8,L,1,Pearl,L,1,13,1-13,https://www.vlr.gg/490309/team-heretics-vs-paper-rex-champions-tour-2025-masters-toronto-r1
Team Heretics,8,L,2,Icebox,L,9,13,9-13,https://www.vlr.gg/490309/team-heretics-vs-paper-rex-champions-tour-2025-masters-toronto-r1
Team Heretics,9,L,1,Split,L,4,13,4-13,https://www.vlr.gg/482513/fnatic-vs-team-heretics-champions-tour-2025-emea-stage-1-playoffs-gf
Team Heretics,9,L,2,Icebox,L,9,13,9-13,https://www.vlr.gg/482513/fnatic-vs-team-heretics-champions-tour-2025-emea-stage-1-playoffs-gf
Team Heretics,9,L,3,Fracture,L,12,14,12-14,https://www.vlr.gg/482513/fnatic-vs-team-heretics-champions-tour-2025-emea-stage-1-playoffs-gf
Team Heretics,10,W,1,Haven,W,13,3,13-3,https://www.vlr.gg/482512/team-heretics-vs-team-liquid-champions-tour-2025-emea-stage-1-playoffs-lbf
Team Heretics,10,W,2,Ascent,W,13,10,13-10,https://www.vlr.gg/482512/team-heretics-vs-team-liquid-champions-tour-2025-emea-stage-1-playoffs-lbf
Team Heretics,10,W,3,Icebox,W,13,2,13-2,https://www.vlr.gg/482512/team-heretics-vs-team-liquid-champions-tour-2025-emea-stage-1-playoffs-lbf
Team Heretics,11,L,1,Fracture,L,6,13,6-13,https://www.vlr.gg/482515/team-heretics-vs-fnatic-champions-tour-2025-emea-stage-1-playoffs-ubf
Team Heretics,11,L,2,Icebox,L,8,13,8-13,https://www.vlr.gg/482515/team-heretics-vs-fnatic-champions-tour-2025-emea-stage-1-playoffs-ubf
Team Heretics,12,W,1,Ascent,W,13,10,13-10,https://www.vlr.gg/482507/team-heretics-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-ubsf
Team Heretics,12,W,2,Icebox,W,14,12,14-12,https://www.vlr.gg/482507/team-heretics-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-ubsf
Team Heretics,13,W,1,Lotus,W,13,10,13-10,https://www.vlr.gg/459857/fnatic-vs-team-heretics-champions-tour-2025-emea-stage-1-w5
Team Heretics,13,W,2,Haven,W,13,5,13-5,https://www.vlr.gg/459857/fnatic-vs-team-heretics-champions-tour-2025-emea-stage-1-w5
Team Heretics,14,W,1,Haven,W,13,3,13-3,https://www.vlr.gg/459850/natus-vincere-vs-team-heretics-champions-tour-2025-emea-stage-1-w4
Team Heretics,14,W,2,Pearl,W,13,8,13-8,https://www.vlr.gg/459850/natus-vincere-vs-team-heretics-champions-tour-2025-emea-stage-1-w4
Team Heretics,15,W,1,Haven,W,13,10,13-10,https://www.vlr.gg/459842/team-vitality-vs-team-heretics-champions-tour-2025-emea-stage-1-w3
Team Heretics,15,W,2,Icebox,W,13,6,13-6,https://www.vlr.gg/459842/team-vitality-vs-team-heretics-champions-tour-2025-emea-stage-1-w3
Team Heretics,16,W,1,Haven,W,13,3,13-3,https://www.vlr.gg/459835/team-heretics-vs-giantx-champions-tour-2025-emea-stage-1-w2
Team Heretics,16,W,2,Split,L,11,13,11-13,https://www.vlr.gg/459835/team-heretics-vs-giantx-champions-tour-2025-emea-stage-1-w2
Team Heretics,16,W,3,Lotus,W,13,8,13-8,https://www.vlr.gg/459835/team-heretics-vs-giantx-champions-tour-2025-emea-stage-1-w2
Team Heretics,17,W,1,Ascent,L,5,13,5-13,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
Team Heretics,17,W,2,Split,W,13,8,13-8,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
Team Heretics,17,W,3,Icebox,W,13,6,13-6,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
Team Heretics,18,L,1,Lotus,L,4,13,4-13,https://www.vlr.gg/429401/team-heretics-vs-team-liquid-champions-tour-2025-emea-kickoff-lbf
Team Heretics,18,L,2,Abyss,L,4,13,4-13,https://www.vlr.gg/429401/team-heretics-vs-team-liquid-champions-tour-2025-emea-kickoff-lbf
Team Heretics,18,L,3,Fracture,L,7,13,7-13,https://www.vlr.gg/429401/team-heretics-vs-team-liquid-champions-tour-2025-emea-kickoff-lbf
Team Heretics,19,L,1,Haven,L,10,13,10-13,https://www.vlr.gg/429389/team-vitality-vs-team-heretics-champions-tour-2025-emea-kickoff-ubf
Team Heretics,19,L,2,Abyss,L,1,13,1-13,https://www.vlr.gg/429389/team-vitality-vs-team-heretics-champions-tour-2025-emea-kickoff-ubf
Team Heretics,20,W,1,Pearl,W,13,11,13-11,https://www.vlr.gg/429388/bbl-esports-vs-team-heretics-champions-tour-2025-emea-kickoff-ubsf
Team Heretics,20,W,2,Lotus,W,13,7,13-7,https://www.vlr.gg/429388/bbl-esports-vs-team-heretics-champions-tour-2025-emea-kickoff-ubsf
Team Heretics,21,W,1,Abyss,L,4,13,4-13,https://www.vlr.gg/429386/team-heretics-vs-gentle-mates-champions-tour-2025-emea-kickoff-ubqf
Team Heretics,21,W,2,Fracture,W,13,3,13-3,https://www.vlr.gg/429386/team-heretics-vs-gentle-mates-champions-tour-2025-emea-kickoff-ubqf
Team Heretics,21,W,3,Pearl,W,13,8,13-8,https://www.vlr.gg/429386/team-heretics-vs-gentle-mates-champions-tour-2025-emea-kickoff-ubqf
Team Heretics,22,L,1,Haven,Unknown,,,,https://www.vlr.gg/427254/team-heretics-vs-gentle-mates-hereticsxp-2-main-event
Team Heretics,22,L,2,Abyss,Unknown,,,,https://www.vlr.gg/427254/team-heretics-vs-gentle-mates-hereticsxp-2-main-event
Team Heretics,22,L,3,N/A,Unknown,,,,https://www.vlr.gg/427254/team-heretics-vs-gentle-mates-hereticsxp-2-main-event
Team Heretics,23,L,1,N/A,Unknown,,,,https://www.vlr.gg/424021/team-heretics-vs-fut-esports-red-bull-home-ground-5-r3
Team Heretics,23,L,2,N/A,Unknown,,,,https://www.vlr.gg/424021/team-heretics-vs-fut-esports-red-bull-home-ground-5-r3
Team Heretics,23,L,3,N/A,Unknown,,,,https://www.vlr.gg/424021/team-heretics-vs-fut-esports-red-bull-home-ground-5-r3
Team Heretics,24,L,1,Abyss,L,11,13,11-13,https://www.vlr.gg/423972/team-heretics-vs-cloud9-red-bull-home-ground-5-r2
Team Heretics,25,W,1,Split,W,13,11,13-11,https://www.vlr.gg/423620/team-heretics-vs-fokus-red-bull-home-ground-5-r1
Team Heretics,26,L,1,Haven,W,13,6,13-6,https://www.vlr.gg/378829/edward-gaming-vs-team-heretics-valorant-champions-2024-gf
Team Heretics,26,L,2,Sunset,L,4,13,4-13,https://www.vlr.gg/378829/edward-gaming-vs-team-heretics-valorant-champions-2024-gf
Team Heretics,26,L,3,Lotus,L,9,13,9-13,https://www.vlr.gg/378829/edward-gaming-vs-team-heretics-valorant-champions-2024-gf
Team Heretics,26,L,4,Bind,W,13,11,13-11,https://www.vlr.gg/378829/edward-gaming-vs-team-heretics-valorant-champions-2024-gf
Team Heretics,26,L,5,Abyss,L,9,13,9-13,https://www.vlr.gg/378829/edward-gaming-vs-team-heretics-valorant-champions-2024-gf
Team Heretics,28,W,1,Haven,L,8,13,8-13,https://www.vlr.gg/378835/team-heretics-vs-sentinels-valorant-champions-2024-lr3
Team Heretics,28,W,2,Icebox,W,13,9,13-9,https://www.vlr.gg/378835/team-heretics-vs-sentinels-valorant-champions-2024-lr3
Team Heretics,28,W,3,Abyss,W,13,7,13-7,https://www.vlr.gg/378835/team-heretics-vs-sentinels-valorant-champions-2024-lr3
Team Heretics,29,W,1,Abyss,L,5,13,5-13,https://www.vlr.gg/378833/team-heretics-vs-drx-valorant-champions-2024-lr2
