team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Team Liquid,1,L,1,Split,W,15,13,15-13,https://www.vlr.gg/490314/paper-rex-vs-team-liquid-valorant-masters-toronto-2025-r3-1-1
Team Liquid,1,L,2,Sunset,L,5,13,5-13,https://www.vlr.gg/490314/paper-rex-vs-team-liquid-valorant-masters-toronto-2025-r3-1-1
Team Liquid,1,L,3,Lotus,L,12,14,12-14,https://www.vlr.gg/490314/paper-rex-vs-team-liquid-valorant-masters-toronto-2025-r3-1-1
Team Liquid,2,W,1,Icebox,W,13,6,13-6,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
Team Liquid,2,W,2,Sunset,W,13,7,13-7,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
Team Liquid,3,L,1,Icebox,L,10,13,10-13,https://www.vlr.gg/490307/bilibili-gaming-vs-team-liquid-champions-tour-2025-masters-toronto-r1
Team Liquid,3,L,2,Haven,W,16,14,16-14,https://www.vlr.gg/490307/bilibili-gaming-vs-team-liquid-champions-tour-2025-masters-toronto-r1
Team Liquid,3,L,3,Sunset,L,10,13,10-13,https://www.vlr.gg/490307/bilibili-gaming-vs-team-liquid-champions-tour-2025-masters-toronto-r1
Team Liquid,4,L,1,Split,W,13,7,13-7,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Team Liquid,4,L,2,Icebox,L,5,13,5-13,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Team Liquid,4,L,3,Lotus,L,10,13,10-13,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Team Liquid,4,L,4,Haven,L,9,13,9-13,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
Team Liquid,5,L,1,Lotus,L,11,13,11-13,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
Team Liquid,5,L,2,Icebox,W,13,6,13-6,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
Team Liquid,5,L,3,Ascent,L,11,13,11-13,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
Team Liquid,5,L,4,Haven,L,11,13,11-13,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
Team Liquid,6,W,1,Haven,W,13,6,13-6,https://www.vlr.gg/487998/team-liquid-vs-fut-esports-esports-world-cup-2025-opening-p2
Team Liquid,6,W,2,Split,W,13,9,13-9,https://www.vlr.gg/487998/team-liquid-vs-fut-esports-esports-world-cup-2025-opening-p2
Team Liquid,7,L,1,Haven,L,3,13,3-13,https://www.vlr.gg/482512/team-heretics-vs-team-liquid-champions-tour-2025-emea-stage-1-playoffs-lbf
