team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Team Secret,1,W,1,Corrode,W,,,,https://www.vlr.gg/508366/global-esports-vs-team-secret-global-esports-face-off-corrode-m1
Team Secret,2,L,1,Pearl,L,5,13,5-13,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Team Secret,2,L,2,Split,L,11,13,11-13,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
Team Secret,3,L,1,Split,L,4,13,4-13,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
Team Secret,4,W,1,Lotus,W,13,11,13-11,https://www.vlr.gg/489431/boom-esports-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
Team Secret,5,W,1,Pearl,W,13,9,13-9,https://www.vlr.gg/489429/nongshim-redforce-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
Team Secret,6,W,1,Haven,L,13,15,13-15,https://www.vlr.gg/458835/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-stage-1-w5
Team Secret,6,W,2,Ascent,W,13,5,13-5,https://www.vlr.gg/458835/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-stage-1-w5
Team Secret,6,W,3,Lotus,W,13,9,13-9,https://www.vlr.gg/458835/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-stage-1-w5
Team Secret,7,L,1,Pearl,L,10,13,10-13,https://www.vlr.gg/458823/nongshim-redforce-vs-team-secret-champions-tour-2025-pacific-stage-1-w4
Team Secret,7,L,2,Split,L,3,13,3-13,https://www.vlr.gg/458823/nongshim-redforce-vs-team-secret-champions-tour-2025-pacific-stage-1-w4
Team Secret,8,L,1,Haven,L,6,13,6-13,https://www.vlr.gg/458822/t1-vs-team-secret-champions-tour-2025-pacific-stage-1-w3
Team Secret,8,L,2,Icebox,W,13,9,13-9,https://www.vlr.gg/458822/t1-vs-team-secret-champions-tour-2025-pacific-stage-1-w3
Team Secret,8,L,3,Lotus,L,8,13,8-13,https://www.vlr.gg/458822/t1-vs-team-secret-champions-tour-2025-pacific-stage-1-w3
Team Secret,9,L,1,Lotus,L,11,13,11-13,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
Team Secret,9,L,2,Icebox,L,10,13,10-13,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
Team Secret,10,L,1,Pearl,W,13,5,13-5,https://www.vlr.gg/458808/talon-vs-team-secret-champions-tour-2025-pacific-stage-1-w1
Team Secret,10,L,2,Fracture,L,2,13,2-13,https://www.vlr.gg/458808/talon-vs-team-secret-champions-tour-2025-pacific-stage-1-w1
Team Secret,10,L,3,Haven,L,9,13,9-13,https://www.vlr.gg/458808/talon-vs-team-secret-champions-tour-2025-pacific-stage-1-w1
Team Secret,11,L,1,Lotus,W,13,9,13-9,https://www.vlr.gg/430527/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-kickoff-lr1
Team Secret,11,L,2,Pearl,L,4,13,4-13,https://www.vlr.gg/430527/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-kickoff-lr1
