team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Team Vitality,1,L,1,Split,L,18,20,18-20,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Team Vitality,1,L,2,Icebox,W,13,6,13-6,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Team Vitality,1,L,3,Haven,L,5,13,5-13,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
Team Vitality,2,L,1,Fracture,L,6,13,6-13,https://www.vlr.gg/487989/fut-esports-vs-team-vitality-esports-world-cup-2025-ubsf
Team Vitality,2,L,2,Haven,L,6,13,6-13,https://www.vlr.gg/487989/fut-esports-vs-team-vitality-esports-world-cup-2025-ubsf
Team Vitality,3,W,1,Ascent,W,13,7,13-7,https://www.vlr.gg/487986/team-vitality-vs-giantx-esports-world-cup-2025-ubqf
Team Vitality,3,W,2,Lotus,L,8,13,8-13,https://www.vlr.gg/487986/team-vitality-vs-giantx-esports-world-cup-2025-ubqf
Team Vitality,3,W,3,Haven,W,13,3,13-3,https://www.vlr.gg/487986/team-vitality-vs-giantx-esports-world-cup-2025-ubqf
Team Vitality,4,L,1,Fracture,L,7,13,7-13,https://www.vlr.gg/482506/fut-esports-vs-team-vitality-champions-tour-2025-emea-stage-1-playoffs-lr1
Team Vitality,4,L,2,Split,L,6,13,6-13,https://www.vlr.gg/482506/fut-esports-vs-team-vitality-champions-tour-2025-emea-stage-1-playoffs-lr1
Team Vitality,5,L,1,Haven,L,5,13,5-13,https://www.vlr.gg/459855/team-vitality-vs-natus-vincere-champions-tour-2025-emea-stage-1-w5
Team Vitality,5,L,2,Icebox,L,11,13,11-13,https://www.vlr.gg/459855/team-vitality-vs-natus-vincere-champions-tour-2025-emea-stage-1-w5
Team Vitality,6,W,1,Ascent,W,13,5,13-5,https://www.vlr.gg/459845/team-vitality-vs-apeks-champions-tour-2025-emea-stage-1-w4
Team Vitality,6,W,2,Lotus,W,13,10,13-10,https://www.vlr.gg/459845/team-vitality-vs-apeks-champions-tour-2025-emea-stage-1-w4
Team Vitality,7,L,1,Haven,L,10,13,10-13,https://www.vlr.gg/459842/team-vitality-vs-team-heretics-champions-tour-2025-emea-stage-1-w3
Team Vitality,7,L,2,Icebox,L,6,13,6-13,https://www.vlr.gg/459842/team-vitality-vs-team-heretics-champions-tour-2025-emea-stage-1-w3
