team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Titan Esports Club,1,L,1,Icebox,W,13,10,13-10,https://www.vlr.gg/510141/team-heretics-vs-titan-esports-club-esports-world-cup-2025-elim-c
Titan Esports Club,1,L,2,Haven,L,12,14,12-14,https://www.vlr.gg/510141/team-heretics-vs-titan-esports-club-esports-world-cup-2025-elim-c
Titan Esports Club,1,L,3,Sunset,L,6,13,6-13,https://www.vlr.gg/510141/team-heretics-vs-titan-esports-club-esports-world-cup-2025-elim-c
Titan Esports Club,2,L,1,Sunset,L,6,13,6-13,https://www.vlr.gg/510139/rex-regum-qeon-vs-titan-esports-club-esports-world-cup-2025-opening-c
Titan Esports Club,3,L,1,Sunset,L,9,13,9-13,https://www.vlr.gg/506930/edward-gaming-vs-titan-esports-club-vct-2025-china-stage-2-w1
Titan Esports Club,3,L,2,Corrode,L,6,13,6-13,https://www.vlr.gg/506930/edward-gaming-vs-titan-esports-club-vct-2025-china-stage-2-w1
Titan Esports Club,4,L,1,Haven,W,13,9,13-9,https://www.vlr.gg/485380/edward-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league-gf
Titan Esports Club,4,L,2,Lotus,W,13,7,13-7,https://www.vlr.gg/485380/edward-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league-gf
Titan Esports Club,4,L,3,Ascent,W,13,10,13-10,https://www.vlr.gg/485380/edward-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league-gf
Titan Esports Club,5,W,1,Haven,W,14,12,14-12,https://www.vlr.gg/485379/titan-esports-club-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-sf
Titan Esports Club,5,W,2,Split,L,7,13,7-13,https://www.vlr.gg/485379/titan-esports-club-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-sf
Titan Esports Club,5,W,3,Lotus,W,13,8,13-8,https://www.vlr.gg/485379/titan-esports-club-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-sf
Titan Esports Club,6,W,1,Sunset,L,11,13,11-13,https://www.vlr.gg/485376/dragon-ranger-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league
Titan Esports Club,6,W,2,Split,L,7,13,7-13,https://www.vlr.gg/485376/dragon-ranger-gaming-vs-titan-esports-club-china-evolution-series-act-2-x-asian-champions-league
Titan Esports Club,7,W,1,Haven,W,13,2,13-2,https://www.vlr.gg/485372/titan-esports-club-vs-bilibili-gaming-china-evolution-series-act-2-x-asian-champions-league-ro12
Titan Esports Club,7,W,2,Icebox,W,13,4,13-4,https://www.vlr.gg/485372/titan-esports-club-vs-bilibili-gaming-china-evolution-series-act-2-x-asian-champions-league-ro12
Titan Esports Club,8,L,1,Ascent,W,13,1,13-1,https://www.vlr.gg/473235/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr1
Titan Esports Club,8,L,2,Fracture,L,12,14,12-14,https://www.vlr.gg/473235/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr1
Titan Esports Club,8,L,3,Lotus,L,16,18,16-18,https://www.vlr.gg/473235/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-lr1
Titan Esports Club,9,L,1,Haven,L,11,13,11-13,https://www.vlr.gg/473233/titan-esports-club-vs-wolves-esports-champions-tour-2025-china-stage-1-ur1
Titan Esports Club,9,L,2,Icebox,L,10,13,10-13,https://www.vlr.gg/473233/titan-esports-club-vs-wolves-esports-champions-tour-2025-china-stage-1-ur1
Titan Esports Club,10,W,1,Fracture,W,13,9,13-9,https://www.vlr.gg/450075/titan-esports-club-vs-nova-esports-champions-tour-2025-china-stage-1-w5
Titan Esports Club,10,W,2,Split,W,13,3,13-3,https://www.vlr.gg/450075/titan-esports-club-vs-nova-esports-champions-tour-2025-china-stage-1-w5
Titan Esports Club,11,L,1,Lotus,W,13,8,13-8,https://www.vlr.gg/450068/edward-gaming-vs-titan-esports-club-champions-tour-2025-china-stage-1-w4
Titan Esports Club,11,L,2,Icebox,L,9,13,9-13,https://www.vlr.gg/450068/edward-gaming-vs-titan-esports-club-champions-tour-2025-china-stage-1-w4
Titan Esports Club,11,L,3,Haven,L,5,13,5-13,https://www.vlr.gg/450068/edward-gaming-vs-titan-esports-club-champions-tour-2025-china-stage-1-w4
Titan Esports Club,12,W,1,Fracture,L,10,13,10-13,https://www.vlr.gg/450061/tyloo-vs-titan-esports-club-champions-tour-2025-china-stage-1-w3
Titan Esports Club,12,W,2,Icebox,W,13,8,13-8,https://www.vlr.gg/450061/tyloo-vs-titan-esports-club-champions-tour-2025-china-stage-1-w3
Titan Esports Club,12,W,3,Split,W,13,7,13-7,https://www.vlr.gg/450061/tyloo-vs-titan-esports-club-champions-tour-2025-china-stage-1-w3
Titan Esports Club,13,W,1,Lotus,L,11,13,11-13,https://www.vlr.gg/450057/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-w2
Titan Esports Club,13,W,2,Fracture,W,13,9,13-9,https://www.vlr.gg/450057/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-w2
Titan Esports Club,13,W,3,Icebox,W,13,3,13-3,https://www.vlr.gg/450057/titan-esports-club-vs-dragon-ranger-gaming-champions-tour-2025-china-stage-1-w2
Titan Esports Club,14,L,1,Icebox,W,13,5,13-5,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Titan Esports Club,14,L,2,Haven,W,13,6,13-6,https://www.vlr.gg/450052/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-stage-1-w1
Titan Esports Club,15,L,1,Pearl,W,13,8,13-8,https://www.vlr.gg/440532/wolves-esports-vs-titan-esports-club-china-evolution-series-act-1-ro12
Titan Esports Club,15,L,2,Fracture,W,13,10,13-10,https://www.vlr.gg/440532/wolves-esports-vs-titan-esports-club-china-evolution-series-act-1-ro12
Titan Esports Club,16,L,1,Fracture,L,9,13,9-13,https://www.vlr.gg/430851/titan-esports-club-vs-jdg-esports-champions-tour-2025-china-kickoff-lr1
Titan Esports Club,16,L,2,Abyss,L,3,13,3-13,https://www.vlr.gg/430851/titan-esports-club-vs-jdg-esports-champions-tour-2025-china-kickoff-lr1
Titan Esports Club,17,L,1,Abyss,L,11,13,11-13,https://www.vlr.gg/430842/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-kickoff-ubqf
Titan Esports Club,17,L,2,Fracture,W,13,7,13-7,https://www.vlr.gg/430842/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-kickoff-ubqf
Titan Esports Club,17,L,3,Pearl,W,13,6,13-6,https://www.vlr.gg/430842/funplus-phoenix-vs-titan-esports-club-champions-tour-2025-china-kickoff-ubqf
Titan Esports Club,18,W,1,Fracture,L,11,13,11-13,https://www.vlr.gg/430838/tyloo-vs-titan-esports-club-champions-tour-2025-china-kickoff-ur1
Titan Esports Club,18,W,2,Abyss,L,10,13,10-13,https://www.vlr.gg/430838/tyloo-vs-titan-esports-club-champions-tour-2025-china-kickoff-ur1
Titan Esports Club,19,L,1,Bind,W,13,5,13-5,https://www.vlr.gg/427172/jdg-esports-vs-titan-esports-club-superb-cup-d3
Titan Esports Club,19,L,2,Abyss,W,13,1,13-1,https://www.vlr.gg/427172/jdg-esports-vs-titan-esports-club-superb-cup-d3
Titan Esports Club,20,W,1,Abyss,L,4,13,4-13,https://www.vlr.gg/427169/xi-lai-gaming-vs-titan-esports-club-superb-cup-d2
Titan Esports Club,20,W,2,Pearl,L,6,13,6-13,https://www.vlr.gg/427169/xi-lai-gaming-vs-titan-esports-club-superb-cup-d2
Titan Esports Club,21,L,1,Ascent,W,13,7,13-7,https://www.vlr.gg/427168/edward-gaming-vs-titan-esports-club-superb-cup-d1
Titan Esports Club,21,L,2,Abyss,W,13,6,13-6,https://www.vlr.gg/427168/edward-gaming-vs-titan-esports-club-superb-cup-d1
Titan Esports Club,22,L,1,Pearl,W,13,7,13-7,https://www.vlr.gg/414860/xi-lai-gaming-vs-titan-esports-club-fgc-invitational-2024-main-event-lr2
Titan Esports Club,22,L,2,Ascent,W,13,8,13-8,https://www.vlr.gg/414860/xi-lai-gaming-vs-titan-esports-club-fgc-invitational-2024-main-event-lr2
Titan Esports Club,23,W,1,Abyss,W,13,10,13-10,https://www.vlr.gg/414858/all-gamers-vs-titan-esports-club-fgc-invitational-2024-main-event-lr1
Titan Esports Club,23,W,2,Bind,L,6,13,6-13,https://www.vlr.gg/414858/all-gamers-vs-titan-esports-club-fgc-invitational-2024-main-event-lr1
Titan Esports Club,23,W,3,Pearl,L,5,13,5-13,https://www.vlr.gg/414858/all-gamers-vs-titan-esports-club-fgc-invitational-2024-main-event-lr1
Titan Esports Club,24,L,1,Ascent,L,7,13,7-13,https://www.vlr.gg/414847/titan-esports-club-vs-wolves-esports-fgc-invitational-2024-main-event-ur1
Titan Esports Club,24,L,2,Abyss,L,5,13,5-13,https://www.vlr.gg/414847/titan-esports-club-vs-wolves-esports-fgc-invitational-2024-main-event-ur1
Titan Esports Club,25,L,1,Sunset,W,13,8,13-8,https://www.vlr.gg/414698/tyloo-vs-titan-esports-club-wall-e-cup-lr1
Titan Esports Club,25,L,2,Haven,L,6,13,6-13,https://www.vlr.gg/414698/tyloo-vs-titan-esports-club-wall-e-cup-lr1
Titan Esports Club,25,L,3,Lotus,W,13,4,13-4,https://www.vlr.gg/414698/tyloo-vs-titan-esports-club-wall-e-cup-lr1
Titan Esports Club,26,L,1,Sunset,W,15,13,15-13,https://www.vlr.gg/414692/titan-esports-club-vs-nova-esports-wall-e-cup-ubqf
Titan Esports Club,26,L,2,Haven,L,5,13,5-13,https://www.vlr.gg/414692/titan-esports-club-vs-nova-esports-wall-e-cup-ubqf
