team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Trace Esports,1,W,1,Icebox,W,13,7,13-7,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Trace Esports,1,W,2,Lotus,L,4,13,4-13,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Trace Esports,1,W,3,Haven,W,13,4,13-4,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
Trace Esports,2,L,1,Pearl,W,13,9,13-9,https://www.vlr.gg/481655/bilibili-gaming-vs-trace-esports-hero-esports-asian-champions-league-2025-lr2
Trace Esports,2,L,2,Split,W,13,4,13-4,https://www.vlr.gg/481655/bilibili-gaming-vs-trace-esports-hero-esports-asian-champions-league-2025-lr2
Trace Esports,3,W,1,Haven,L,7,13,7-13,https://www.vlr.gg/481653/trace-esports-vs-zeta-division-hero-esports-asian-champions-league-2025-lr1
Trace Esports,3,W,2,Lotus,W,13,9,13-9,https://www.vlr.gg/481653/trace-esports-vs-zeta-division-hero-esports-asian-champions-league-2025-lr1
Trace Esports,3,W,3,Ascent,W,13,5,13-5,https://www.vlr.gg/481653/trace-esports-vs-zeta-division-hero-esports-asian-champions-league-2025-lr1
Trace Esports,4,W,1,Ascent,W,13,11,13-11,https://www.vlr.gg/485381/trace-esports-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-cf
Trace Esports,4,W,2,Haven,W,13,11,13-11,https://www.vlr.gg/485381/trace-esports-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-cf
Trace Esports,4,W,3,Pearl,W,13,9,13-9,https://www.vlr.gg/485381/trace-esports-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-cf
Trace Esports,5,L,1,Lotus,W,14,12,14-12,https://www.vlr.gg/485378/edward-gaming-vs-trace-esports-china-evolution-series-act-2-x-asian-champions-league-sf
Trace Esports,5,L,2,Pearl,W,14,12,14-12,https://www.vlr.gg/485378/edward-gaming-vs-trace-esports-china-evolution-series-act-2-x-asian-champions-league-sf
Trace Esports,6,W,1,Haven,L,11,13,11-13,https://www.vlr.gg/485375/trace-esports-vs-nova-esports-china-evolution-series-act-2-x-asian-champions-league-qf
Trace Esports,6,W,2,Sunset,W,13,7,13-7,https://www.vlr.gg/485375/trace-esports-vs-nova-esports-china-evolution-series-act-2-x-asian-champions-league-qf
Trace Esports,6,W,3,Split,W,13,5,13-5,https://www.vlr.gg/485375/trace-esports-vs-nova-esports-china-evolution-series-act-2-x-asian-champions-league-qf
Trace Esports,7,L,1,Fracture,L,8,13,8-13,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
Trace Esports,7,L,2,Lotus,L,4,13,4-13,https://www.vlr.gg/473240/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-lr2
Trace Esports,8,W,1,Split,W,13,9,13-9,https://www.vlr.gg/473236/nova-esports-vs-trace-esports-champions-tour-2025-china-stage-1-lr1
Trace Esports,8,W,2,Lotus,W,13,4,13-4,https://www.vlr.gg/473236/nova-esports-vs-trace-esports-champions-tour-2025-china-stage-1-lr1
Trace Esports,9,W,1,Haven,L,4,13,4-13,https://www.vlr.gg/450074/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-w5
Trace Esports,9,W,2,Ascent,W,13,5,13-5,https://www.vlr.gg/450074/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-w5
Trace Esports,9,W,3,Split,L,1,13,1-13,https://www.vlr.gg/450074/bilibili-gaming-vs-trace-esports-champions-tour-2025-china-stage-1-w5
Trace Esports,10,L,1,Split,L,7,13,7-13,https://www.vlr.gg/450070/trace-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w4
Trace Esports,10,L,2,Lotus,W,13,10,13-10,https://www.vlr.gg/450070/trace-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w4
Trace Esports,10,L,3,Pearl,L,11,13,11-13,https://www.vlr.gg/450070/trace-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w4
Trace Esports,11,W,1,Lotus,W,13,7,13-7,https://www.vlr.gg/450059/jdg-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w3
Trace Esports,11,W,2,Haven,W,13,11,13-11,https://www.vlr.gg/450059/jdg-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w3
Trace Esports,12,L,1,Fracture,W,15,13,15-13,https://www.vlr.gg/450056/wolves-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w2
