team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
TYLOO,1,L,1,Bind,L,5,13,5-13,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
TYLOO,1,L,2,Lotus,L,9,13,9-13,https://www.vlr.gg/506931/bilibili-gaming-vs-tyloo-vct-2025-china-stage-2-w1
TYLOO,2,L,1,Lotus,L,5,13,5-13,https://www.vlr.gg/485377/wolves-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-qf
TYLOO,2,L,2,Icebox,W,13,3,13-3,https://www.vlr.gg/485377/wolves-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-qf
TYLOO,2,L,3,Pearl,W,13,10,13-10,https://www.vlr.gg/485377/wolves-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-qf
TYLOO,3,W,1,Sunset,L,7,13,7-13,https://www.vlr.gg/485373/jdg-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-ro12
TYLOO,3,W,2,Split,L,8,13,8-13,https://www.vlr.gg/485373/jdg-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-ro12
TYLOO,4,W,1,Haven,L,10,13,10-13,https://www.vlr.gg/450072/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-stage-1-w5
TYLOO,4,W,2,Split,W,13,9,13-9,https://www.vlr.gg/450072/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-stage-1-w5
TYLOO,4,W,3,Fracture,W,13,5,13-5,https://www.vlr.gg/450072/dragon-ranger-gaming-vs-tyloo-champions-tour-2025-china-stage-1-w5
TYLOO,5,L,1,Split,L,11,13,11-13,https://www.vlr.gg/450069/nova-esports-vs-tyloo-champions-tour-2025-china-stage-1-w4
TYLOO,5,L,2,Icebox,W,13,3,13-3,https://www.vlr.gg/450069/nova-esports-vs-tyloo-champions-tour-2025-china-stage-1-w4
TYLOO,5,L,3,Pearl,L,5,13,5-13,https://www.vlr.gg/450069/nova-esports-vs-tyloo-champions-tour-2025-china-stage-1-w4
TYLOO,6,L,1,Fracture,W,13,10,13-10,https://www.vlr.gg/450061/tyloo-vs-titan-esports-club-champions-tour-2025-china-stage-1-w3
TYLOO,6,L,2,Icebox,L,8,13,8-13,https://www.vlr.gg/450061/tyloo-vs-titan-esports-club-champions-tour-2025-china-stage-1-w3
TYLOO,6,L,3,Split,L,7,13,7-13,https://www.vlr.gg/450061/tyloo-vs-titan-esports-club-champions-tour-2025-china-stage-1-w3
TYLOO,7,L,1,Pearl,L,8,13,8-13,https://www.vlr.gg/450054/tyloo-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w2
TYLOO,7,L,2,Icebox,W,13,6,13-6,https://www.vlr.gg/450054/tyloo-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w2
