team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
Wolves Esports,1,L,1,Sunset,L,5,13,5-13,https://www.vlr.gg/506933/wolves-esports-vs-funplus-phoenix-vct-2025-china-stage-2-w1
Wolves Esports,1,L,2,Corrode,L,7,13,7-13,https://www.vlr.gg/506933/wolves-esports-vs-funplus-phoenix-vct-2025-china-stage-2-w1
Wolves Esports,2,L,1,Split,L,9,13,9-13,https://www.vlr.gg/498634/wolves-esports-vs-fnatic-valorant-masters-toronto-2025-lbf
Wolves Esports,2,L,2,Icebox,L,4,13,4-13,https://www.vlr.gg/498634/wolves-esports-vs-fnatic-valorant-masters-toronto-2025-lbf
Wolves Esports,2,L,3,Lotus,W,13,10,13-10,https://www.vlr.gg/498634/wolves-esports-vs-fnatic-valorant-masters-toronto-2025-lbf
Wolves Esports,2,L,4,Ascent,L,5,13,5-13,https://www.vlr.gg/498634/wolves-esports-vs-fnatic-valorant-masters-toronto-2025-lbf
Wolves Esports,3,L,1,Lotus,L,12,14,12-14,https://www.vlr.gg/498627/paper-rex-vs-wolves-esports-valorant-masters-toronto-2025-ubf
Wolves Esports,3,L,2,Ascent,L,8,13,8-13,https://www.vlr.gg/498627/paper-rex-vs-wolves-esports-valorant-masters-toronto-2025-ubf
Wolves Esports,4,W,1,Split,W,13,11,13-11,https://www.vlr.gg/498626/wolves-esports-vs-gen-g-valorant-masters-toronto-2025-ubsf
Wolves Esports,4,W,2,Sunset,W,13,9,13-9,https://www.vlr.gg/498626/wolves-esports-vs-gen-g-valorant-masters-toronto-2025-ubsf
Wolves Esports,5,W,1,Ascent,W,13,11,13-11,https://www.vlr.gg/498623/rex-regum-qeon-vs-wolves-esports-valorant-masters-toronto-2025-ubqf
Wolves Esports,5,W,2,Icebox,W,13,8,13-8,https://www.vlr.gg/498623/rex-regum-qeon-vs-wolves-esports-valorant-masters-toronto-2025-ubqf
Wolves Esports,6,W,1,Ascent,W,13,5,13-5,https://www.vlr.gg/490315/bilibili-gaming-vs-wolves-esports-valorant-masters-2025-toronto-r3-1-1
Wolves Esports,6,W,2,Split,W,13,10,13-10,https://www.vlr.gg/490315/bilibili-gaming-vs-wolves-esports-valorant-masters-2025-toronto-r3-1-1
Wolves Esports,7,W,1,Pearl,W,13,10,13-10,https://www.vlr.gg/490312/team-heretics-vs-wolves-esports-valorant-masters-2025-toronto-r2-0-1
Wolves Esports,7,W,2,Lotus,W,13,9,13-9,https://www.vlr.gg/490312/team-heretics-vs-wolves-esports-valorant-masters-2025-toronto-r2-0-1
Wolves Esports,8,L,1,Split,L,11,13,11-13,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Wolves Esports,8,L,2,Lotus,L,8,13,8-13,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
Wolves Esports,9,L,1,Ascent,W,13,11,13-11,https://www.vlr.gg/485381/trace-esports-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-cf
Wolves Esports,9,L,2,Haven,W,13,11,13-11,https://www.vlr.gg/485381/trace-esports-vs-wolves-esports-china-evolution-series-act-2-x-asian-champions-league-cf
