team_name,match_number,overall_match_result,map_number,map_name,map_result,our_score,their_score,map_score,match_url
ZETA DIVISION,1,L,1,Haven,L,7,13,7-13,https://www.vlr.gg/481653/trace-esports-vs-zeta-division-hero-esports-asian-champions-league-2025-lr1
ZETA DIVISION,1,L,2,Lotus,W,13,9,13-9,https://www.vlr.gg/481653/trace-esports-vs-zeta-division-hero-esports-asian-champions-league-2025-lr1
ZETA DIVISION,1,L,3,Ascent,W,13,5,13-5,https://www.vlr.gg/481653/trace-esports-vs-zeta-division-hero-esports-asian-champions-league-2025-lr1
ZETA DIVISION,2,L,1,Lotus,L,6,13,6-13,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
ZETA DIVISION,2,L,2,Pearl,W,13,11,13-11,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
ZETA DIVISION,2,L,3,Split,L,7,13,7-13,https://www.vlr.gg/458833/nongshim-redforce-vs-zeta-division-champions-tour-2025-pacific-stage-1-w5
ZETA DIVISION,3,W,1,Lotus,W,13,4,13-4,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
ZETA DIVISION,3,W,2,Split,W,13,10,13-10,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
ZETA DIVISION,4,L,1,Split,L,6,13,6-13,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
ZETA DIVISION,4,L,2,Haven,L,9,13,9-13,https://www.vlr.gg/458818/rex-regum-qeon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w3
ZETA DIVISION,5,W,1,Lotus,W,13,11,13-11,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
ZETA DIVISION,5,W,2,Icebox,W,13,10,13-10,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
ZETA DIVISION,6,L,1,Fracture,L,7,13,7-13,https://www.vlr.gg/458806/t1-vs-zeta-division-champions-tour-2025-pacific-stage-1-w1
ZETA DIVISION,6,L,2,Split,W,14,12,14-12,https://www.vlr.gg/458806/t1-vs-zeta-division-champions-tour-2025-pacific-stage-1-w1
ZETA DIVISION,6,L,3,Haven,L,5,13,5-13,https://www.vlr.gg/458806/t1-vs-zeta-division-champions-tour-2025-pacific-stage-1-w1
ZETA DIVISION,7,L,1,Lotus,L,5,13,5-13,https://www.vlr.gg/430529/paper-rex-vs-zeta-division-champions-tour-2025-pacific-kickoff-lr1
ZETA DIVISION,7,L,2,Fracture,L,8,13,8-13,https://www.vlr.gg/430529/paper-rex-vs-zeta-division-champions-tour-2025-pacific-kickoff-lr1
ZETA DIVISION,8,L,1,Split,L,9,13,9-13,https://www.vlr.gg/430515/zeta-division-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-ur1
ZETA DIVISION,8,L,2,Haven,L,9,13,9-13,https://www.vlr.gg/430515/zeta-division-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-ur1
ZETA DIVISION,9,W,1,Haven,W,13,4,13-4,https://www.vlr.gg/423497/zeta-division-vs-detonation-focusme-riot-games-one-2024-d2
ZETA DIVISION,10,L,1,Pearl,L,2,13,2-13,https://www.vlr.gg/423494/fnatic-vs-zeta-division-riot-games-one-2024-d1
ZETA DIVISION,11,W,1,Split,W,13,7,13-7,https://www.vlr.gg/423493/leviat-n-vs-zeta-division-riot-games-one-2024-d1
ZETA DIVISION,12,L,1,Haven,L,10,13,10-13,https://www.vlr.gg/414241/t1-vs-zeta-division-red-bull-home-ground-5-gf
ZETA DIVISION,12,L,2,Ascent,L,5,13,5-13,https://www.vlr.gg/414241/t1-vs-zeta-division-red-bull-home-ground-5-gf
ZETA DIVISION,12,L,3,Sunset,W,13,7,13-7,https://www.vlr.gg/414241/t1-vs-zeta-division-red-bull-home-ground-5-gf
ZETA DIVISION,12,L,4,Bind,L,3,13,3-13,https://www.vlr.gg/414241/t1-vs-zeta-division-red-bull-home-ground-5-gf
ZETA DIVISION,13,W,1,Ascent,L,7,13,7-13,https://www.vlr.gg/414239/zeta-division-vs-detonation-focusme-red-bull-home-ground-5-sf
ZETA DIVISION,13,W,2,Sunset,W,13,6,13-6,https://www.vlr.gg/414239/zeta-division-vs-detonation-focusme-red-bull-home-ground-5-sf
ZETA DIVISION,13,W,3,Haven,W,15,13,15-13,https://www.vlr.gg/414239/zeta-division-vs-detonation-focusme-red-bull-home-ground-5-sf
ZETA DIVISION,14,W,1,Lotus,W,13,7,13-7,https://www.vlr.gg/414235/zeta-division-vs-t1-red-bull-home-ground-5-g2
ZETA DIVISION,15,W,1,Haven,W,13,8,13-8,https://www.vlr.gg/414234/zeta-division-vs-crest-gaming-zst-red-bull-home-ground-5-g2
ZETA DIVISION,16,L,1,Haven,W,13,8,13-8,https://www.vlr.gg/371661/riddle-order-vs-fennel-challengers-league-2024-japan-split-2-gf
ZETA DIVISION,16,L,2,Sunset,W,13,8,13-8,https://www.vlr.gg/371661/riddle-order-vs-fennel-challengers-league-2024-japan-split-2-gf
ZETA DIVISION,16,L,3,Bind,L,11,13,11-13,https://www.vlr.gg/371661/riddle-order-vs-fennel-challengers-league-2024-japan-split-2-gf
ZETA DIVISION,16,L,4,Ascent,L,12,14,12-14,https://www.vlr.gg/371661/riddle-order-vs-fennel-challengers-league-2024-japan-split-2-gf
ZETA DIVISION,16,L,5,Icebox,L,9,13,9-13,https://www.vlr.gg/371661/riddle-order-vs-fennel-challengers-league-2024-japan-split-2-gf
ZETA DIVISION,17,W,1,Ascent,W,13,9,13-9,https://www.vlr.gg/371659/sengoku-gaming-vs-fennel-challengers-league-2024-japan-split-2-lbf
ZETA DIVISION,17,W,2,Abyss,L,9,13,9-13,https://www.vlr.gg/371659/sengoku-gaming-vs-fennel-challengers-league-2024-japan-split-2-lbf
ZETA DIVISION,17,W,3,Lotus,W,13,6,13-6,https://www.vlr.gg/371659/sengoku-gaming-vs-fennel-challengers-league-2024-japan-split-2-lbf
ZETA DIVISION,17,W,4,Sunset,W,13,8,13-8,https://www.vlr.gg/371659/sengoku-gaming-vs-fennel-challengers-league-2024-japan-split-2-lbf
ZETA DIVISION,18,W,1,Ascent,W,13,8,13-8,https://www.vlr.gg/371658/murash-gaming-vs-fennel-challengers-league-2024-japan-split-2-lr2
ZETA DIVISION,18,W,2,Lotus,W,15,13,15-13,https://www.vlr.gg/371658/murash-gaming-vs-fennel-challengers-league-2024-japan-split-2-lr2
ZETA DIVISION,19,W,1,Lotus,L,7,13,7-13,https://www.vlr.gg/371657/varrel-vs-fennel-challengers-league-2024-japan-split-2-lr1
ZETA DIVISION,19,W,2,Sunset,W,13,6,13-6,https://www.vlr.gg/371657/varrel-vs-fennel-challengers-league-2024-japan-split-2-lr1
ZETA DIVISION,19,W,3,Bind,W,13,7,13-7,https://www.vlr.gg/371657/varrel-vs-fennel-challengers-league-2024-japan-split-2-lr1
ZETA DIVISION,20,L,1,Ascent,W,13,9,13-9,https://www.vlr.gg/314363/paper-rex-vs-zeta-division-champions-tour-2024-pacific-stage-2-w4
ZETA DIVISION,20,L,2,Lotus,L,8,13,8-13,https://www.vlr.gg/314363/paper-rex-vs-zeta-division-champions-tour-2024-pacific-stage-2-w4
ZETA DIVISION,20,L,3,Sunset,L,4,13,4-13,https://www.vlr.gg/314363/paper-rex-vs-zeta-division-champions-tour-2024-pacific-stage-2-w4
ZETA DIVISION,21,W,1,Ascent,W,13,6,13-6,https://www.vlr.gg/314361/zeta-division-vs-talon-esports-champions-tour-2024-pacific-stage-2-w4
ZETA DIVISION,21,W,2,Lotus,L,8,13,8-13,https://www.vlr.gg/314361/zeta-division-vs-talon-esports-champions-tour-2024-pacific-stage-2-w4
ZETA DIVISION,21,W,3,Haven,W,13,8,13-8,https://www.vlr.gg/314361/zeta-division-vs-talon-esports-champions-tour-2024-pacific-stage-2-w4
ZETA DIVISION,22,L,1,Split,L,8,13,8-13,https://www.vlr.gg/314353/zeta-division-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-w3
ZETA DIVISION,22,L,2,Sunset,L,10,13,10-13,https://www.vlr.gg/314353/zeta-division-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-2-w3
ZETA DIVISION,23,W,1,Sunset,W,13,5,13-5,https://www.vlr.gg/349906/reject-vs-fennel-challengers-league-2024-japan-split-2-w5
ZETA DIVISION,23,W,2,Ascent,W,13,7,13-7,https://www.vlr.gg/349906/reject-vs-fennel-challengers-league-2024-japan-split-2-w5
ZETA DIVISION,24,L,1,Haven,W,13,7,13-7,https://www.vlr.gg/314349/detonation-focusme-vs-zeta-division-champions-tour-2024-pacific-stage-2-w2
ZETA DIVISION,24,L,2,Sunset,L,9,13,9-13,https://www.vlr.gg/314349/detonation-focusme-vs-zeta-division-champions-tour-2024-pacific-stage-2-w2
ZETA DIVISION,24,L,3,Ascent,L,10,13,10-13,https://www.vlr.gg/314349/detonation-focusme-vs-zeta-division-champions-tour-2024-pacific-stage-2-w2
ZETA DIVISION,25,L,1,Lotus,L,10,13,10-13,https://www.vlr.gg/349902/scarz-vs-fennel-challengers-league-2024-japan-split-2-w4
ZETA DIVISION,25,L,2,Bind,W,13,7,13-7,https://www.vlr.gg/349902/scarz-vs-fennel-challengers-league-2024-japan-split-2-w4
ZETA DIVISION,25,L,3,Sunset,L,12,14,12-14,https://www.vlr.gg/349902/scarz-vs-fennel-challengers-league-2024-japan-split-2-w4
ZETA DIVISION,26,L,1,Icebox,L,0,13,0-13,https://www.vlr.gg/314340/zeta-division-vs-drx-champions-tour-2024-pacific-stage-2-w1
ZETA DIVISION,26,L,2,Sunset,W,13,11,13-11,https://www.vlr.gg/314340/zeta-division-vs-drx-champions-tour-2024-pacific-stage-2-w1
ZETA DIVISION,26,L,3,Breeze,L,4,13,4-13,https://www.vlr.gg/314340/zeta-division-vs-drx-champions-tour-2024-pacific-stage-2-w1
ZETA DIVISION,27,L,1,Sunset,L,9,13,9-13,https://www.vlr.gg/349896/sengoku-gaming-vs-fennel-challengers-league-2024-japan-split-2-w3
ZETA DIVISION,27,L,2,Bind,L,8,13,8-13,https://www.vlr.gg/349896/sengoku-gaming-vs-fennel-challengers-league-2024-japan-split-2-w3
ZETA DIVISION,28,W,1,Sunset,W,13,5,13-5,https://www.vlr.gg/349893/northeption-vs-fennel-challengers-league-2024-japan-split-2-w3
ZETA DIVISION,28,W,2,Ascent,W,13,5,13-5,https://www.vlr.gg/349893/northeption-vs-fennel-challengers-league-2024-japan-split-2-w3
