team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
11479,Apeks,1,2025/05/17,L,0:2,GIANTX,EWC 2025,https://www.vlr.gg/487992/apeks-vs-giantx-esports-world-cup-2025-lr1
11479,Apeks,2,2025/05/16,L,0:2,FUT Esports,EWC 2025,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
11479,Apeks,3,2025/04/23,L,0:2,GIANTX,VCT 25: EMEA Stage 1,https://www.vlr.gg/459853/giantx-vs-apeks-champions-tour-2025-emea-stage-1-w5
11479,Apeks,4,2025/04/16,L,0:2,Team Vitality,VCT 25: EMEA Stage 1,https://www.vlr.gg/459845/team-vitality-vs-apeks-champions-tour-2025-emea-stage-1-w4
11479,Apeks,5,2025/04/11,L,0:2,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/459843/apeks-vs-fnatic-champions-tour-2025-emea-stage-1-w3
11479,Apeks,6,2025/04/02,L,1:2,Natus Vincere,VCT 25: EMEA Stage 1,https://www.vlr.gg/459833/apeks-vs-natus-vincere-champions-tour-2025-emea-stage-1-w2
11479,Apeks,7,2025/03/27,L,1:2,Team Heretics,VCT 25: EMEA Stage 1,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
11479,Apeks,8,2025/01/24,L,1:2,Team Liquid,VCT 25: EMEA Kickoff,https://www.vlr.gg/429394/team-liquid-vs-apeks-champions-tour-2025-emea-kickoff-lr1
11479,Apeks,9,2025/01/16,L,0:2,Gentle Mates,VCT 25: EMEA Kickoff,https://www.vlr.gg/429382/apeks-vs-gentle-mates-champions-tour-2025-emea-kickoff-ur1
11479,Apeks,10,2024/10/26,L,0:1,UCAM Esports Club,Red Bull HG #5 Qualifiers,https://www.vlr.gg/417105/apeks-vs-ucam-esports-club-red-bull-home-ground-5-lr3
11479,Apeks,11,2024/10/26,W,1:0,Team RA'AD,Red Bull HG #5 Qualifiers,https://www.vlr.gg/417101/apeks-vs-team-raad-red-bull-home-ground-5-lr2
11479,Apeks,12,2024/10/26,L,0:1,Eintracht Frankfurt,Red Bull HG #5 Qualifiers,https://www.vlr.gg/417092/eintracht-frankfurt-vs-apeks-red-bull-home-ground-5-ubqf
11479,Apeks,13,2024/10/26,W,1:0,PULSE Esports,Red Bull HG #5 Qualifiers,https://www.vlr.gg/417088/pulse-vs-apeks-red-bull-home-ground-5-uro16
11479,Apeks,14,2024/09/15,W,3:2,PCIFIC Espor,VCT 24 EMEA: Ascension,https://www.vlr.gg/399777/apeks-vs-pcific-espor-champions-tour-2024-emea-ascension-gf
11479,Apeks,15,2024/09/08,W,2:0,CGN Esports,VCT 24 EMEA: Ascension,https://www.vlr.gg/399776/apeks-vs-cgn-esports-champions-tour-2024-emea-ascension-ubf
11479,Apeks,16,2024/09/07,W,2:0,The Ultimates,VCT 24 EMEA: Ascension,https://www.vlr.gg/399774/apeks-vs-the-ultimates-champions-tour-2024-emea-ascension-ubsf
11479,Apeks,17,2024/09/04,W,2:1,Barça eSports,VCT 24 EMEA: Ascension,https://www.vlr.gg/398800/apeks-vs-bar-a-esports-champions-tour-2024-emea-ascension-r5
11479,Apeks,18,2024/09/02,W,2:0,DSYRE,VCT 24 EMEA: Ascension,https://www.vlr.gg/398792/apeks-vs-dsyre-champions-tour-2024-emea-ascension-r3
11479,Apeks,19,2024/09/01,W,2:1,CGN Esports,VCT 24 EMEA: Ascension,https://www.vlr.gg/398786/apeks-vs-cgn-esports-champions-tour-2024-emea-ascension-r2
11479,Apeks,20,2024/08/31,L,1:2,GoNext Esports,VCT 24 EMEA: Ascension,https://www.vlr.gg/398782/apeks-vs-gonext-esports-champions-tour-2024-emea-ascension-r1
11479,Apeks,21,2024/07/26,W,3:0,SweetNsour,VCL 24 North Polaris: Split 2,https://www.vlr.gg/370336/apeks-vs-sweetnsour-challengers-league-2024-north-polaris-split-2-playoffs-gf
11479,Apeks,22,2024/07/24,W,2:0,Requiem,VCL 24 North Polaris: Split 2,https://www.vlr.gg/370335/apeks-vs-requiem-challengers-league-2024-north-polaris-split-2-playoffs-ubf
11479,Apeks,23,2024/07/23,W,2:0,OnlyFins,VCL 24 North Polaris: Split 2,https://www.vlr.gg/370333/apeks-vs-onlyfins-challengers-league-2024-north-polaris-split-2-playoffs-ubsf
11479,Apeks,24,2024/07/01,W,2:0,Metizport,VCL 24 North Polaris: Split 2,https://www.vlr.gg/344479/metizport-vs-apeks-challengers-league-2024-north-polaris-split-2-regular-season-w6
11479,Apeks,25,2024/06/29,W,2:0,OnlyFins,VCL 24 North Polaris: Split 2,https://www.vlr.gg/344474/onlyfins-vs-apeks-challengers-league-2024-north-polaris-split-2-regular-season-w6
11479,Apeks,26,2024/06/14,L,0:2,SweetNsour,VCL 24 North Polaris: Split 2,https://www.vlr.gg/344470/sweetnsour-vs-apeks-challengers-league-2024-north-polaris-split-2-regular-season-w5
11479,Apeks,27,2024/06/05,W,2:1,Formulation Gaming,VCL 24 North Polaris: Split 2,https://www.vlr.gg/344466/formulation-gaming-vs-apeks-challengers-league-2024-north-polaris-split-2-regular-season-w4
11479,Apeks,28,2024/06/01,W,2:0,NXT,VCL 24 North Polaris: Split 2,https://www.vlr.gg/344461/nxt-vs-apeks-challengers-league-2024-north-polaris-split-2-regular-season-w3
11479,Apeks,29,2024/05/23,W,2:0,apinaorkesteri,VCL 24 North Polaris: Split 2,https://www.vlr.gg/344454/apinaorkesteri-vs-apeks-challengers-league-2024-north-polaris-split-2-regular-season-w2
11479,Apeks,30,2024/05/18,W,2:0,Requiem,VCL 24 North Polaris: Split 2,https://www.vlr.gg/344449/requiem-vs-apeks-challengers-league-2024-north-polaris-split-2-regular-season-w1
11479,Apeks,31,2024/04/22,W,3:0,SweetNsour,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/327267/apeks-vs-sweetnsour-challengers-league-2024-northern-europe-polaris-split-1-playoffs-gf
11479,Apeks,32,2024/04/14,W,2:0,OnlyFins,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/327266/apeks-vs-onlyfins-challengers-league-2024-northern-europe-polaris-split-1-playoffs-ubf
11479,Apeks,33,2024/04/13,W,2:0,Metizport,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/327264/apeks-vs-metizport-challengers-league-2024-northern-europe-polaris-split-1-playoffs-ubsf
11479,Apeks,34,2024/04/07,W,2:0,Metizport,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/297007/metizport-vs-apeks-challengers-league-2024-northern-europe-polaris-split-1-regular-season-w7
11479,Apeks,35,2024/03/28,W,2:0,SweetNsour,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/297001/sweetnsour-vs-apeks-challengers-league-2024-northern-europe-polaris-split-1-regular-season-w6
11479,Apeks,36,2024/03/10,W,2:0,OnlyFins,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/296999/onlyfins-vs-apeks-challengers-league-2024-northern-europe-polaris-split-1-regular-season-w5
11479,Apeks,37,2024/03/03,W,2:0,apinaorkesteri,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/296995/apinaorkesteri-vs-apeks-challengers-league-2024-northern-europe-polaris-split-1-regular-season-w
11479,Apeks,38,2024/02/16,W,2:0,who cars?,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/296989/who-cars-vs-apeks-challengers-league-2024-northern-europe-polaris-split-1-regular-season-w3
11479,Apeks,39,2024/02/10,W,2:0,Formulation Gaming,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/296987/formulation-gaming-vs-apeks-challengers-league-2024-northern-europe-polaris-split-1-regular-seas
11479,Apeks,40,2024/02/02,W,2:0,Human Tripwires,VCL 24 NE Polaris: Split 1,https://www.vlr.gg/296981/human-tripwires-vs-apeks-challengers-league-2024-northern-europe-polaris-split-1-regular-season
11479,Apeks,41,2024/01/13,L,1:2,NASR Esports,Superdome '23: Egypt,https://www.vlr.gg/294166/nasr-esports-vs-apeks-superdome-2023-egypt-main-event-bronze-match
