team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
278,DetonatioN FocusMe,1,2025/04/21,L,0:2,BOOM Esports,VCT 25: PAC Stage 1,https://www.vlr.gg/458834/detonation-focusme-vs-boom-esports-champions-tour-2025-pacific-stage-1-w5
278,DetonatioN FocusMe,2,2025/04/14,L,1:2,Paper Rex,VCT 25: PAC Stage 1,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
278,DetonatioN FocusMe,3,2025/04/05,L,0:2,Gen.G,VCT 25: PAC Stage 1,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
278,DetonatioN FocusMe,4,2025/03/30,L,0:2,DRX,VCT 25: PAC Stage 1,https://www.vlr.gg/458814/drx-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w2
278,DetonatioN FocusMe,5,2025/03/22,L,0:2,Global Esports,VCT 25: PAC Stage 1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
278,DetonatioN FocusMe,6,2025/02/02,L,0:2,Gen.G,VCT 25: PAC Kickoff,https://www.vlr.gg/430533/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr3
278,DetonatioN FocusMe,7,2025/02/01,W,2:0,Paper Rex,VCT 25: PAC Kickoff,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
278,DetonatioN FocusMe,8,2025/01/27,W,2:0,Global Esports,VCT 25: PAC Kickoff,https://www.vlr.gg/430528/global-esports-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr1
278,DetonatioN FocusMe,9,2025/01/19,L,1:2,Rex Regum Qeon,VCT 25: PAC Kickoff,https://www.vlr.gg/430517/detonation-focusme-vs-rex-regum-qeon-champions-tour-2025-pacific-kickoff-ur1
278,DetonatioN FocusMe,10,2024/12/15,L,0:1,ZETA DIVISION,RGO 2024,https://www.vlr.gg/423497/zeta-division-vs-detonation-focusme-riot-games-one-2024-d2
278,DetonatioN FocusMe,11,2024/12/15,L,0:1,FNATIC,RGO 2024,https://www.vlr.gg/423496/fnatic-vs-detonation-focusme-riot-games-one-2024-d2
278,DetonatioN FocusMe,12,2024/12/14,W,1:0,LEVIATÁN,RGO 2024,https://www.vlr.gg/423492/leviat-n-vs-detonation-focusme-riot-games-one-2024-d1
278,DetonatioN FocusMe,13,2024/12/01,L,1:3,Paper Rex,Radiant Asia Invitational,https://www.vlr.gg/418817/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-gf
278,DetonatioN FocusMe,14,2024/11/29,W,2:0,Paper Rex,Radiant Asia Invitational,https://www.vlr.gg/418816/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-ubf
278,DetonatioN FocusMe,15,2024/11/28,W,2:1,Trace Esports,Radiant Asia Invitational,https://www.vlr.gg/418814/detonation-focusme-vs-trace-esports-valorant-radiant-asia-invitational-ubsf
278,DetonatioN FocusMe,16,2024/11/23,W,2:1,Rex Regum Qeon,Radiant Asia Invitational,https://www.vlr.gg/418809/rex-regum-qeon-vs-detonation-focusme-valorant-radiant-asia-invitational-r2-1-0
278,DetonatioN FocusMe,17,2024/11/22,W,2:1,EDward Gaming,Radiant Asia Invitational,https://www.vlr.gg/418807/edward-gaming-vs-detonation-focusme-valorant-radiant-asia-invitational-r1
278,DetonatioN FocusMe,18,2024/10/19,L,1:2,ZETA DIVISION,Red Bull HG #5,https://www.vlr.gg/414239/zeta-division-vs-detonation-focusme-red-bull-home-ground-5-sf
278,DetonatioN FocusMe,19,2024/10/19,W,1:0,TALON,Red Bull HG #5,https://www.vlr.gg/414232/talon-esports-vs-detonation-focusme-red-bull-home-ground-5-g1
278,DetonatioN FocusMe,20,2024/10/18,L,0:1,Rex Regum Qeon,Red Bull HG #5,https://www.vlr.gg/414230/rex-regum-qeon-vs-detonation-focusme-red-bull-home-ground-5-g1
278,DetonatioN FocusMe,21,2024/07/06,L,1:2,DRX,VCT 24: PAC Stage 2,https://www.vlr.gg/314360/drx-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w4
278,DetonatioN FocusMe,22,2024/07/01,L,0:2,Paper Rex,VCT 24: PAC Stage 2,https://www.vlr.gg/314356/paper-rex-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w3
278,DetonatioN FocusMe,23,2024/06/29,L,0:2,TALON,VCT 24: PAC Stage 2,https://www.vlr.gg/314352/talon-esports-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w3
278,DetonatioN FocusMe,24,2024/06/23,W,2:1,ZETA DIVISION,VCT 24: PAC Stage 2,https://www.vlr.gg/314349/detonation-focusme-vs-zeta-division-champions-tour-2024-pacific-stage-2-w2
278,DetonatioN FocusMe,25,2024/06/17,L,0:2,Rex Regum Qeon,VCT 24: PAC Stage 2,https://www.vlr.gg/314344/rex-regum-qeon-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w1
278,DetonatioN FocusMe,26,2024/04/27,L,1:2,Global Esports,VCT 24: PAC Stage 1,https://www.vlr.gg/314326/global-esports-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w4
278,DetonatioN FocusMe,27,2024/04/23,L,1:2,Team Secret,VCT 24: PAC Stage 1,https://www.vlr.gg/314323/team-secret-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w3
278,DetonatioN FocusMe,28,2024/04/20,L,1:2,BLEED,VCT 24: PAC Stage 1,https://www.vlr.gg/314318/bleed-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w3
278,DetonatioN FocusMe,29,2024/04/15,L,0:2,Gen.G,VCT 24: PAC Stage 1,https://www.vlr.gg/314313/gen-g-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w2
278,DetonatioN FocusMe,30,2024/04/09,W,2:1,T1,VCT 24: PAC Stage 1,https://www.vlr.gg/314308/t1-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w1
278,DetonatioN FocusMe,31,2024/02/20,L,0:2,Team Secret,VCT 24: PAC Kickoff,https://www.vlr.gg/296733/detonation-focusme-vs-team-secret-champions-tour-2024-pacific-kickoff-elim-b
278,DetonatioN FocusMe,32,2024/02/18,L,0:2,DRX,VCT 24: PAC Kickoff,https://www.vlr.gg/296736/drx-vs-detonation-focusme-champions-tour-2024-pacific-kickoff-opening-b
278,DetonatioN FocusMe,33,2023/12/03,L,0:1,BLEED,Riot ONE '23,https://www.vlr.gg/287762/detonation-focusme-vs-bleed-riot-games-one-2023-d2
278,DetonatioN FocusMe,34,2023/12/02,L,0:1,ZETA DIVISION,Riot ONE '23,https://www.vlr.gg/287760/detonation-focusme-vs-zeta-division-riot-games-one-2023-d1
