team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
628,FunPlus Phoenix,1,2022/09/16,L,0:2,DRX,VCT: Champions 2022,https://www.vlr.gg/130690/funplus-phoenix-vs-drx-valorant-champions-2022-lr3
628,FunPlus Phoenix,2,2022/09/13,W,2:1,XSET,VCT: Champions 2022,https://www.vlr.gg/130688/xset-vs-funplus-phoenix-valorant-champions-2022-lr2
628,FunPlus Phoenix,3,2022/09/11,W,2:0,LEVIATÁN,VCT: Champions 2022,https://www.vlr.gg/130686/funplus-phoenix-vs-leviat-n-valorant-champions-2022-lr1
628,FunPlus Phoenix,4,2022/09/09,L,0:2,DRX,VCT: Champions 2022,https://www.vlr.gg/130678/drx-vs-funplus-phoenix-valorant-champions-2022-ubqf
628,FunPlus Phoenix,5,2022/09/08,W,2:0,KRÜ Esports,VCT: Champions 2022,https://www.vlr.gg/130631/funplus-phoenix-vs-kr-esports-valorant-champions-2022-group-stage-decider-c
628,FunPlus Phoenix,6,2022/09/05,L,1:2,XSET,VCT: Champions 2022,https://www.vlr.gg/130629/funplus-phoenix-vs-xset-valorant-champions-2022-group-stage-winners-c
628,FunPlus Phoenix,7,2022/09/03,W,2:0,KRÜ Esports,VCT: Champions 2022,https://www.vlr.gg/130627/funplus-phoenix-vs-kr-esports-valorant-champions-2022-group-stage-opening-c
628,FunPlus Phoenix,8,2022/07/24,W,3:2,Paper Rex,VCT Masters: Copenhagen,https://www.vlr.gg/112327/paper-rex-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-gf
628,FunPlus Phoenix,9,2022/07/23,W,3:1,OpTic Gaming,VCT Masters: Copenhagen,https://www.vlr.gg/112334/optic-gaming-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-lbf
628,FunPlus Phoenix,10,2022/07/22,W,2:1,FNATIC,VCT Masters: Copenhagen,https://www.vlr.gg/112332/funplus-phoenix-vs-fnatic-valorant-champions-tour-stage-2-masters-copenhagen-lr3
628,FunPlus Phoenix,11,2022/07/18,W,2:0,DRX,VCT Masters: Copenhagen,https://www.vlr.gg/112330/drx-vs-funplus-phoenix-valorant-champions-tour-stage-2-masters-copenhagen-lr2
