team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
2406,FURIA,1,2025/07/05,L,0:2,LEVIATÁN,TSXI by Bonoxs,https://www.vlr.gg/511522/furia-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-sf
2406,FURIA,2,2025/07/04,L,0:1,2Game Esports,TSXI by Bonoxs,https://www.vlr.gg/510616/2game-esports-vs-furia-tixinha-sacy-invitational-by-bonoxs-rr
2406,FURIA,3,2025/07/04,W,1:0,LEVIATÁN,TSXI by Bonoxs,https://www.vlr.gg/510614/furia-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
2406,FURIA,4,2025/07/04,W,1:0,KRÜ Esports,TSXI by Bonoxs,https://www.vlr.gg/510613/furia-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
2406,FURIA,5,2025/05/17,L,0:2,LEVIATÁN,EWC 2025,https://www.vlr.gg/488010/furia-vs-leviat-n-esports-world-cup-2025-lr1
2406,FURIA,6,2025/05/16,L,0:2,100 Thieves,EWC 2025,https://www.vlr.gg/488003/100-thieves-vs-furia-esports-world-cup-2025-ubqf
2406,FURIA,7,2025/04/18,L,1:2,MIBR,VCT 25: AMER Stage 1,https://www.vlr.gg/459542/mibr-vs-furia-champions-tour-2025-americas-stage-1-w5
2406,FURIA,8,2025/04/12,L,0:2,Cloud9,VCT 25: AMER Stage 1,https://www.vlr.gg/459537/furia-vs-cloud9-champions-tour-2025-americas-stage-1-w4
2406,FURIA,9,2025/04/06,L,0:2,LEVIATÁN,VCT 25: AMER Stage 1,https://www.vlr.gg/459533/furia-vs-leviat-n-champions-tour-2025-americas-stage-1-w3
2406,FURIA,10,2025/03/28,L,1:2,NRG,VCT 25: AMER Stage 1,https://www.vlr.gg/459523/nrg-esports-vs-furia-champions-tour-2025-americas-stage-1-w2
2406,FURIA,11,2025/03/22,L,0:2,G2 Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
2406,FURIA,12,2025/01/23,L,0:2,Evil Geniuses,VCT 25: AMER Kickoff,https://www.vlr.gg/428003/furia-vs-evil-geniuses-champions-tour-2025-americas-kickoff-lr1
2406,FURIA,13,2025/01/19,L,0:2,LEVIATÁN,VCT 25: AMER Kickoff,https://www.vlr.gg/427998/leviat-n-vs-furia-champions-tour-2025-americas-kickoff-ubqf
2406,FURIA,14,2025/01/17,W,2:0,2Game Esports,VCT 25: AMER Kickoff,https://www.vlr.gg/427994/2game-esports-vs-furia-champions-tour-2025-americas-kickoff-ur1
2406,FURIA,15,2024/12/15,W,2:1,MIBR,Tixinha Invitational,https://www.vlr.gg/430099/furia-vs-mibr-tixinha-invitational-by-bonoxs-gf
2406,FURIA,16,2024/12/11,W,2:1,KRÜ Esports,Tixinha Invitational,https://www.vlr.gg/425934/kr-esports-vs-furia-tixinha-invitational-by-bonoxs-r3
