team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
1184,FUT Esports,1,2025/05/24,L,0:2,Karmine Corp,EWC 2025,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
1184,FUT Esports,2,2025/05/23,L,0:2,Team Liquid,EWC 2025,https://www.vlr.gg/487998/team-liquid-vs-fut-esports-esports-world-cup-2025-opening-p2
1184,FUT Esports,3,2025/05/20,W,2:0,Natus Vincere,EWC 2025,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
1184,FUT Esports,4,2025/05/18,L,1:2,Karmine Corp,EWC 2025,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
1184,FUT Esports,5,2025/05/17,W,2:0,Team Vitality,EWC 2025,https://www.vlr.gg/487989/fut-esports-vs-team-vitality-esports-world-cup-2025-ubsf
1184,FUT Esports,6,2025/05/16,W,2:0,Apeks,EWC 2025,https://www.vlr.gg/487985/fut-esports-vs-apeks-esports-world-cup-2025-ubqf
1184,FUT Esports,7,2025/05/11,L,1:2,BBL Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/482510/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-lr2
1184,FUT Esports,8,2025/05/09,W,2:0,Team Vitality,VCT 25: EMEA Stage 1,https://www.vlr.gg/482506/fut-esports-vs-team-vitality-champions-tour-2025-emea-stage-1-playoffs-lr1
1184,FUT Esports,9,2025/05/08,L,0:2,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/482504/fnatic-vs-fut-esports-champions-tour-2025-emea-stage-1-playoffs-ubr1
1184,FUT Esports,10,2025/04/23,L,0:2,BBL Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/459852/bbl-esports-vs-fut-esports-champions-tour-2025-emea-stage-1-w5
1184,FUT Esports,11,2025/04/18,W,2:1,Karmine Corp,VCT 25: EMEA Stage 1,https://www.vlr.gg/459849/karmine-corp-vs-fut-esports-champions-tour-2025-emea-stage-1-w4
1184,FUT Esports,12,2025/04/10,L,0:2,Team Liquid,VCT 25: EMEA Stage 1,https://www.vlr.gg/459841/team-liquid-vs-fut-esports-champions-tour-2025-emea-stage-1-w3
1184,FUT Esports,13,2025/04/03,W,2:1,Gentle Mates,VCT 25: EMEA Stage 1,https://www.vlr.gg/459834/fut-esports-vs-gentle-mates-champions-tour-2025-emea-stage-1-w2
1184,FUT Esports,14,2025/03/27,W,2:0,KOI,VCT 25: EMEA Stage 1,https://www.vlr.gg/459829/fut-esports-vs-koi-champions-tour-2025-emea-stage-1-w1
1184,FUT Esports,15,2025/02/07,L,1:2,Team Liquid,VCT 25: EMEA Kickoff,https://www.vlr.gg/429400/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr4
1184,FUT Esports,16,2025/01/31,W,2:0,FNATIC,VCT 25: EMEA Kickoff,https://www.vlr.gg/429397/fut-esports-vs-fnatic-champions-tour-2025-emea-kickoff-lr3
1184,FUT Esports,17,2025/01/29,L,0:2,Team Vitality,VCT 25: EMEA Kickoff,https://www.vlr.gg/429387/fut-esports-vs-team-vitality-champions-tour-2025-emea-kickoff-ubsf
1184,FUT Esports,18,2025/01/22,W,2:0,Team Liquid,VCT 25: EMEA Kickoff,https://www.vlr.gg/429383/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-ubqf
1184,FUT Esports,19,2024/11/23,L,1:2,T1,Red Bull HG #5,https://www.vlr.gg/424006/t1-vs-fut-esports-red-bull-home-ground-5-sf
1184,FUT Esports,20,2024/11/22,L,8:40,FFW,Unknown,https://www.vlr.gg/424021/team-heretics-vs-fut-esports-red-bull-home-ground-5-r3
1184,FUT Esports,21,2024/11/21,W,1:0,Karmine Corp,Red Bull HG #5,https://www.vlr.gg/423975/fut-esports-vs-karmine-corp-red-bull-home-ground-5-r2
1184,FUT Esports,22,2024/11/21,L,0:1,T1,Red Bull HG #5,https://www.vlr.gg/423623/fut-esports-vs-t1-red-bull-home-ground-5-r1
1184,FUT Esports,23,2024/11/20,W,1:0,G2 Esports,Red Bull HG #5,https://www.vlr.gg/421599/g2-esports-vs-fut-esports-red-bull-home-ground-5-ubf
1184,FUT Esports,24,2024/11/20,W,1:0,Permitta Unicorns,Red Bull HG #5,https://www.vlr.gg/421598/permitta-unicorns-vs-fut-esports-red-bull-home-ground-5-ubsf
