team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
11058,G2 Esports,1,2025/07/09,L,1:2,Bilibili Gaming,EWC 2025,https://www.vlr.gg/510131/bilibili-gaming-vs-g2-esports-esports-world-cup-2025-elim-a
11058,G2 Esports,2,2025/07/08,L,0:1,Karmine Corp,EWC 2025,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
11058,G2 Esports,3,2025/06/20,L,0:2,FNATIC,Masters Toronto 2025,https://www.vlr.gg/498633/g2-esports-vs-fnatic-valorant-masters-toronto-2025-lr3
11058,G2 Esports,4,2025/06/17,W,2:1,Gen.G,Masters Toronto 2025,https://www.vlr.gg/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2
11058,G2 Esports,5,2025/06/15,W,2:0,Xi Lai Gaming,Masters Toronto 2025,https://www.vlr.gg/498629/xi-lai-gaming-vs-g2-esports-valorant-masters-toronto-2025-lr1
11058,G2 Esports,6,2025/06/13,L,0:2,Paper Rex,Masters Toronto 2025,https://www.vlr.gg/498622/g2-esports-vs-paper-rex-valorant-masters-toronto-2025-ubqf
11058,G2 Esports,7,2025/05/04,W,3:1,Sentinels,VCT 25: AMER Stage 1,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
11058,G2 Esports,8,2025/05/03,W,3:1,MIBR,VCT 25: AMER Stage 1,https://www.vlr.gg/475908/mibr-vs-g2-esports-champions-tour-2025-americas-stage-1-lbf
11058,G2 Esports,9,2025/05/02,W,2:1,Evil Geniuses,VCT 25: AMER Stage 1,https://www.vlr.gg/475907/g2-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr3
11058,G2 Esports,10,2025/04/27,W,2:1,100 Thieves,VCT 25: AMER Stage 1,https://www.vlr.gg/475905/g2-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-lr2
11058,G2 Esports,11,2025/04/26,L,1:2,Sentinels,VCT 25: AMER Stage 1,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
11058,G2 Esports,12,2025/04/18,W,2:1,Cloud9,VCT 25: AMER Stage 1,https://www.vlr.gg/459541/g2-esports-vs-cloud9-champions-tour-2025-americas-stage-1-w5
11058,G2 Esports,13,2025/04/11,W,2:1,LEVIATÁN,VCT 25: AMER Stage 1,https://www.vlr.gg/459536/g2-esports-vs-leviat-n-champions-tour-2025-americas-stage-1-w4
11058,G2 Esports,14,2025/04/05,W,2:0,NRG,VCT 25: AMER Stage 1,https://www.vlr.gg/459532/g2-esports-vs-nrg-esports-champions-tour-2025-americas-stage-1-w3
11058,G2 Esports,15,2025/03/29,W,2:1,MIBR,VCT 25: AMER Stage 1,https://www.vlr.gg/459526/g2-esports-vs-mibr-champions-tour-2025-americas-stage-1-w2
11058,G2 Esports,16,2025/03/22,W,2:0,FURIA,VCT 25: AMER Stage 1,https://www.vlr.gg/459519/g2-esports-vs-furia-champions-tour-2025-americas-stage-1-w1
11058,G2 Esports,17,2025/03/02,L,2:3,T1,Masters Bangkok 2025,https://www.vlr.gg/449011/g2-esports-vs-t1-champions-tour-2025-masters-bangkok-gf
11058,G2 Esports,18,2025/02/28,W,2:0,EDward Gaming,Masters Bangkok 2025,https://www.vlr.gg/449010/edward-gaming-vs-g2-esports-champions-tour-2025-masters-bangkok-ubf
11058,G2 Esports,19,2025/02/27,W,2:0,Team Vitality,Masters Bangkok 2025,https://www.vlr.gg/449009/team-vitality-vs-g2-esports-champions-tour-2025-masters-bangkok-ubsf
11058,G2 Esports,20,2025/02/24,W,2:0,Team Liquid,Masters Bangkok 2025,https://www.vlr.gg/449005/g2-esports-vs-team-liquid-champions-tour-2025-masters-bangkok-r3
11058,G2 Esports,21,2025/02/22,L,1:2,EDward Gaming,Masters Bangkok 2025,https://www.vlr.gg/449001/edward-gaming-vs-g2-esports-champions-tour-2025-masters-bangkok-r2-1-0
