team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
17,Gen.G,1,2025/07/13,W,2:0,Paper Rex,EWC 2025,https://www.vlr.gg/510156/paper-rex-vs-gen-g-esports-world-cup-2025-cf
17,Gen.G,2,2025/07/12,L,1:2,Team Heretics,EWC 2025,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
17,Gen.G,3,2025/07/11,W,2:0,NRG,EWC 2025,https://www.vlr.gg/510151/nrg-vs-gen-g-esports-world-cup-2025-qf
17,Gen.G,4,2025/07/10,W,2:0,EDward Gaming,EWC 2025,https://www.vlr.gg/510147/gen-g-vs-edward-gaming-esports-world-cup-2025-decider-d
17,Gen.G,5,2025/07/08,L,0:2,FNATIC,EWC 2025,https://www.vlr.gg/510145/fnatic-vs-gen-g-esports-world-cup-2025-winners-d
17,Gen.G,6,2025/07/08,W,1:0,EDward Gaming,EWC 2025,https://www.vlr.gg/510144/gen-g-vs-edward-gaming-esports-world-cup-2025-opening-d
17,Gen.G,7,2025/06/17,L,1:2,G2 Esports,Masters Toronto 2025,https://www.vlr.gg/498631/gen-g-vs-g2-esports-valorant-masters-toronto-2025-lr2
17,Gen.G,8,2025/06/16,L,0:2,Wolves Esports,Masters Toronto 2025,https://www.vlr.gg/498626/wolves-esports-vs-gen-g-valorant-masters-toronto-2025-ubsf
17,Gen.G,9,2025/06/14,W,2:1,FNATIC,Masters Toronto 2025,https://www.vlr.gg/498624/fnatic-vs-gen-g-valorant-masters-toronto-2025-ubqf
17,Gen.G,10,2025/06/09,W,2:0,Paper Rex,Masters Toronto 2025,https://www.vlr.gg/490310/paper-rex-vs-gen-g-champions-tour-2025-masters-toronto-r2-1-0
17,Gen.G,11,2025/06/08,W,2:0,MIBR,Masters Toronto 2025,https://www.vlr.gg/490306/gen-g-vs-mibr-champions-tour-2025-masters-toronto-r1
17,Gen.G,12,2025/05/11,L,1:3,Rex Regum Qeon,VCT 25: PAC Stage 1,https://www.vlr.gg/473844/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-gf
17,Gen.G,13,2025/05/09,W,2:0,Rex Regum Qeon,VCT 25: PAC Stage 1,https://www.vlr.gg/473841/gen-g-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-ubf
17,Gen.G,14,2025/04/27,W,2:0,BOOM Esports,VCT 25: PAC Stage 1,https://www.vlr.gg/473837/boom-esports-vs-gen-g-champions-tour-2025-pacific-stage-1-ubsf
17,Gen.G,15,2025/04/26,W,2:1,TALON,VCT 25: PAC Stage 1,https://www.vlr.gg/473833/talon-vs-gen-g-champions-tour-2025-pacific-stage-1-ur1
17,Gen.G,16,2025/04/20,L,1:2,DRX,VCT 25: PAC Stage 1,https://www.vlr.gg/458832/drx-vs-gen-g-champions-tour-2025-pacific-stage-1-w5
17,Gen.G,17,2025/04/13,W,2:0,Global Esports,VCT 25: PAC Stage 1,https://www.vlr.gg/458826/gen-g-vs-global-esports-champions-tour-2025-pacific-stage-1-w4
17,Gen.G,18,2025/04/05,W,2:0,DetonatioN FocusMe,VCT 25: PAC Stage 1,https://www.vlr.gg/458817/gen-g-vs-detonation-focusme-champions-tour-2025-pacific-stage-1-w3
