team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
918,Global Esports,1,2025/06/23,L,0:1,Team Secret,GE: Face Off,https://www.vlr.gg/508366/global-esports-vs-team-secret-global-esports-face-off-corrode-m1
918,Global Esports,2,2025/05/24,L,0:2,DRX,EWC 2025,https://www.vlr.gg/489435/drx-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-sf
918,Global Esports,3,2025/05/22,L,0:1,Paper Rex,EWC 2025,https://www.vlr.gg/489426/paper-rex-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
918,Global Esports,4,2025/05/22,W,1:0,TALON,EWC 2025,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
918,Global Esports,5,2025/05/22,W,1:0,T1,EWC 2025,https://www.vlr.gg/489423/t1-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
918,Global Esports,6,2025/04/19,L,0:2,Paper Rex,VCT 25: PAC Stage 1,https://www.vlr.gg/458830/paper-rex-vs-global-esports-champions-tour-2025-pacific-stage-1-w5
918,Global Esports,7,2025/04/13,L,0:2,Gen.G,VCT 25: PAC Stage 1,https://www.vlr.gg/458826/gen-g-vs-global-esports-champions-tour-2025-pacific-stage-1-w4
918,Global Esports,8,2025/04/07,L,0:2,DRX,VCT 25: PAC Stage 1,https://www.vlr.gg/458821/drx-vs-global-esports-champions-tour-2025-pacific-stage-1-w3
918,Global Esports,9,2025/03/31,L,0:2,BOOM Esports,VCT 25: PAC Stage 1,https://www.vlr.gg/458816/boom-esports-vs-global-esports-champions-tour-2025-pacific-stage-1-w2
918,Global Esports,10,2025/03/22,W,2:0,DetonatioN FocusMe,VCT 25: PAC Stage 1,https://www.vlr.gg/458805/detonation-focusme-vs-global-esports-champions-tour-2025-pacific-stage-1-w1
918,Global Esports,11,2025/01/27,L,0:2,DetonatioN FocusMe,VCT 25: PAC Kickoff,https://www.vlr.gg/430528/global-esports-vs-detonation-focusme-champions-tour-2025-pacific-kickoff-lr1
918,Global Esports,12,2025/01/25,L,1:2,TALON,VCT 25: PAC Kickoff,https://www.vlr.gg/430519/talon-vs-global-esports-champions-tour-2025-pacific-kickoff-ubqf
918,Global Esports,13,2025/01/19,W,2:1,Team Secret,VCT 25: PAC Kickoff,https://www.vlr.gg/430516/global-esports-vs-team-secret-champions-tour-2025-pacific-kickoff-ur1
918,Global Esports,14,2024/11/23,W,2:0,All Gamers,GE: Face Off,https://www.vlr.gg/422761/global-esports-vs-all-gamers-global-esports-face-off-main-event
918,Global Esports,15,2024/11/21,L,1:2,BOOM Esports,GE: Face Off,https://www.vlr.gg/422760/global-esports-vs-boom-esports-global-esports-face-off-main-event
918,Global Esports,16,2024/11/20,W,2:0,Rare Atom,GE: Face Off,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
918,Global Esports,17,2024/11/19,L,1:2,NAOS,GE: Face Off,https://www.vlr.gg/422758/global-esports-vs-naos-global-esports-face-off-main-event
