team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
13576,JDG Esports,1,2025/07/06,L,1:2,Trace Esports,VCT 25: CN Stage 2,https://www.vlr.gg/506935/jdg-esports-vs-trace-esports-vct-2025-china-stage-2-w1
13576,JDG Esports,2,2025/05/08,L,0:2,TYLOO,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485373/jdg-esports-vs-tyloo-china-evolution-series-act-2-x-asian-champions-league-ro12
13576,JDG Esports,3,2025/04/10,L,1:2,Xi Lai Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/450071/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-stage-1-w5
13576,JDG Esports,4,2025/04/05,W,2:0,All Gamers,VCT 25: CN Stage 1,https://www.vlr.gg/450067/all-gamers-vs-jdg-esports-champions-tour-2025-china-stage-1-w4
13576,JDG Esports,5,2025/03/27,L,0:2,Trace Esports,VCT 25: CN Stage 1,https://www.vlr.gg/450059/jdg-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w3
13576,JDG Esports,6,2025/03/23,L,1:2,Bilibili Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/450058/bilibili-gaming-vs-jdg-esports-champions-tour-2025-china-stage-1-w2
13576,JDG Esports,7,2025/03/16,L,0:2,Wolves Esports,VCT 25: CN Stage 1,https://www.vlr.gg/450051/jdg-esports-vs-wolves-esports-champions-tour-2025-china-stage-1-w1
13576,JDG Esports,8,2025/02/15,L,0:3,Bilibili Gaming,CN EVO 25: Act 1,https://www.vlr.gg/440541/bilibili-gaming-vs-jdg-esports-china-evolution-series-act-1-cf
13576,JDG Esports,9,2025/02/14,L,0:2,Wolves Esports,CN EVO 25: Act 1,https://www.vlr.gg/440539/wolves-esports-vs-jdg-esports-china-evolution-series-act-1-sf
13576,JDG Esports,10,2025/02/11,W,2:0,Xi Lai Gaming,CN EVO 25: Act 1,https://www.vlr.gg/440537/xi-lai-gaming-vs-jdg-esports-china-evolution-series-act-1-qf
13576,JDG Esports,11,2025/02/09,W,2:0,EDward Gaming,CN EVO 25: Act 1,https://www.vlr.gg/440533/jdg-esports-vs-edward-gaming-china-evolution-series-act-1-ro12
13576,JDG Esports,12,2025/01/21,L,1:2,Xi Lai Gaming,VCT 25: CN Kickoff,https://www.vlr.gg/430855/jdg-esports-vs-xi-lai-gaming-champions-tour-2025-china-kickoff-lr2
13576,JDG Esports,13,2025/01/18,W,2:0,Titan Esports Club,VCT 25: CN Kickoff,https://www.vlr.gg/430851/titan-esports-club-vs-jdg-esports-champions-tour-2025-china-kickoff-lr1
13576,JDG Esports,14,2025/01/12,L,1:2,Dragon Ranger Gaming,VCT 25: CN Kickoff,https://www.vlr.gg/430839/jdg-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-ur1
13576,JDG Esports,15,2024/12/10,W,2:0,Titan Esports Club,Superb Cup,https://www.vlr.gg/427172/jdg-esports-vs-titan-esports-club-superb-cup-d3
13576,JDG Esports,16,2024/12/09,L,1:2,EDward Gaming,Superb Cup,https://www.vlr.gg/427170/jdg-esports-vs-edward-gaming-superb-cup-d2
13576,JDG Esports,17,2024/12/08,L,0:2,Xi Lai Gaming,Superb Cup,https://www.vlr.gg/427167/jdg-esports-vs-xi-lai-gaming-superb-cup-d1
13576,JDG Esports,18,2024/11/07,L,1:2,Xi Lai Gaming,FGC 24,https://www.vlr.gg/414862/jdg-esports-vs-xi-lai-gaming-fgc-invitational-2024-main-event-lr3
13576,JDG Esports,19,2024/11/06,L,1:2,Wolves Esports,FGC 24,https://www.vlr.gg/414853/wolves-esports-vs-jdg-esports-fgc-invitational-2024-main-event-ubsf
13576,JDG Esports,20,2024/10/31,W,2:0,TYLOO,FGC 24,https://www.vlr.gg/414850/tyloo-vs-jdg-esports-fgc-invitational-2024-main-event-ubqf
13576,JDG Esports,21,2024/10/21,L,0:2,Xi Lai Gaming,WALL-E Cup,https://www.vlr.gg/414697/jdg-esports-vs-xi-lai-gaming-wall-e-cup-lr1
13576,JDG Esports,22,2024/10/19,L,1:2,All Gamers,WALL-E Cup,https://www.vlr.gg/414689/jdg-esports-vs-all-gamers-wall-e-cup-ubqf
13576,JDG Esports,23,2024/07/16,L,0:2,Bilibili Gaming,VCT 24: CN Stage 2,https://www.vlr.gg/370722/jdg-esports-vs-bilibili-gaming-champions-tour-2024-china-stage-2-ko
13576,JDG Esports,24,2024/07/07,W,2:0,All Gamers,VCT 24: CN Stage 2,https://www.vlr.gg/359627/jdg-esports-vs-all-gamers-champions-tour-2024-china-stage-2-w4
13576,JDG Esports,25,2024/07/05,W,2:0,TYLOO,VCT 24: CN Stage 2,https://www.vlr.gg/359623/tyloo-vs-jdg-esports-champions-tour-2024-china-stage-2-w4
13576,JDG Esports,26,2024/06/28,W,2:1,Trace Esports,VCT 24: CN Stage 2,https://www.vlr.gg/359615/jdg-esports-vs-trace-esports-champions-tour-2024-china-stage-2-w3
13576,JDG Esports,27,2024/06/26,L,0:2,FunPlus Phoenix,VCT 24: CN Stage 2,https://www.vlr.gg/359612/jdg-esports-vs-funplus-phoenix-champions-tour-2024-china-stage-2-w3
13576,JDG Esports,28,2024/06/15,W,2:0,Titan Esports Club,VCT 24: CN Stage 2,https://www.vlr.gg/359603/titan-esports-club-vs-jd-gaming-champions-tour-2024-china-stage-2-w1
13576,JDG Esports,29,2024/05/03,W,2:0,Wolves Esports,VCT 24: CN Stage 1,https://www.vlr.gg/319790/wolves-esports-vs-jd-gaming-champions-tour-2024-china-stage-1-w5
13576,JDG Esports,30,2024/04/28,L,0:2,Bilibili Gaming,VCT 24: CN Stage 1,https://www.vlr.gg/319788/bilibili-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w4
13576,JDG Esports,31,2024/04/20,L,1:2,Dragon Ranger Gaming,VCT 24: CN Stage 1,https://www.vlr.gg/319780/dragon-ranger-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w3
13576,JDG Esports,32,2024/04/12,L,1:2,Nova Esports,VCT 24: CN Stage 1,https://www.vlr.gg/319771/jd-gaming-vs-nova-esports-champions-tour-2024-china-stage-1-w2
13576,JDG Esports,33,2024/04/06,L,1:2,EDward Gaming,VCT 24: CN Stage 1,https://www.vlr.gg/319768/edward-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w1
13576,JDG Esports,34,2024/02/26,L,1:2,Titan Esports Club,VCT 24: CN Kickoff,https://www.vlr.gg/298696/titan-esports-club-vs-jd-gaming-champions-tour-2024-china-kickoff-decider-b
13576,JDG Esports,35,2024/02/24,W,2:0,All Gamers,VCT 24: CN Kickoff,https://www.vlr.gg/298695/jd-gaming-vs-all-gamers-champions-tour-2024-china-kickoff-elim-b
13576,JDG Esports,36,2024/02/23,L,0:2,Titan Esports Club,VCT 24: CN Kickoff,https://www.vlr.gg/298692/jd-gaming-vs-titan-esports-club-champions-tour-2024-china-kickoff-opening-b
13576,JDG Esports,37,2023/12/30,L,1:3,Rare Atom,VCT 23 CN: Ascension,https://www.vlr.gg/292033/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-gf
13576,JDG Esports,38,2023/12/28,W,2:0,Rare Atom,VCT 23 CN: Ascension,https://www.vlr.gg/292032/attacking-soul-esports-vs-rare-atom-champions-tour-2023-china-ascension-uf
13576,JDG Esports,39,2023/12/27,W,2:0,Rare Atom,VCT 23 CN: Ascension,https://www.vlr.gg/292031/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-ubsf
13576,JDG Esports,40,2023/12/24,W,2:0,Rare Atom,VCT 23 CN: Ascension,https://www.vlr.gg/292022/night-wings-gaming-vs-rare-atom-champions-tour-2023-china-ascension-winners-a
13576,JDG Esports,41,2023/12/23,W,2:0,Rare Atom,VCT 23 CN: Ascension,https://www.vlr.gg/292021/rare-atom-vs-keepbest-gaming-champions-tour-2023-china-ascension-opening-a
13576,JDG Esports,42,2023/11/26,L,0:3,Rare Atom,VCT CN EVO A3: Heritability,https://www.vlr.gg/285020/rare-atom-vs-edward-gaming-china-evolution-series-act-3-heritability-gf
13576,JDG Esports,43,2023/11/24,W,2:0,Rare Atom,VCT CN EVO A3: Heritability,https://www.vlr.gg/285019/rare-atom-vs-edward-gaming-china-evolution-series-act-3-heritability-uf
13576,JDG Esports,44,2023/11/20,W,2:1,Rare Atom,VCT CN EVO A3: Heritability,https://www.vlr.gg/285017/trace-esports-vs-rare-atom-china-evolution-series-act-3-heritability-ubsf
