team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
8877,Karmine Corp,1,2025/07/11,L,0:2,FNATIC,EWC 2025,https://www.vlr.gg/510149/fnatic-vs-karmine-corp-esports-world-cup-2025-qf
8877,Karmine Corp,2,2025/07/10,W,2:1,Bilibili Gaming,EWC 2025,https://www.vlr.gg/510132/karmine-corp-vs-bilibili-gaming-esports-world-cup-2025-decider-a
8877,Karmine Corp,3,2025/07/08,L,0:2,Paper Rex,EWC 2025,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
8877,Karmine Corp,4,2025/07/08,W,1:0,G2 Esports,EWC 2025,https://www.vlr.gg/510128/g2-esports-vs-karmine-corp-esports-world-cup-2025-opening-a
8877,Karmine Corp,5,2025/05/25,W,3:1,Team Liquid,EWC 2025,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
8877,Karmine Corp,6,2025/05/24,W,2:0,FUT Esports,EWC 2025,https://www.vlr.gg/488001/fut-esports-vs-karmine-corp-esports-world-cup-2025-elim-p2
8877,Karmine Corp,7,2025/05/23,L,0:2,BBL Esports,EWC 2025,https://www.vlr.gg/487999/bbl-esports-vs-karmine-corp-esports-world-cup-2025-opening-p2
8877,Karmine Corp,8,2025/05/18,W,2:1,FUT Esports,EWC 2025,https://www.vlr.gg/487991/fut-esports-vs-karmine-corp-esports-world-cup-2025-ubf
8877,Karmine Corp,9,2025/05/17,W,2:0,Natus Vincere,EWC 2025,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
8877,Karmine Corp,10,2025/05/16,W,2:0,KOI,EWC 2025,https://www.vlr.gg/487988/karmine-corp-vs-koi-esports-world-cup-2025-ubqf
8877,Karmine Corp,11,2025/05/09,L,1:2,Natus Vincere,VCT 25: EMEA Stage 1,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
8877,Karmine Corp,12,2025/05/02,L,1:2,Team Liquid,VCT 25: EMEA Stage 1,https://www.vlr.gg/459856/team-liquid-vs-karmine-corp-champions-tour-2025-emea-stage-1-w5
8877,Karmine Corp,13,2025/04/18,L,1:2,FUT Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/459849/karmine-corp-vs-fut-esports-champions-tour-2025-emea-stage-1-w4
8877,Karmine Corp,14,2025/04/11,W,2:0,Gentle Mates,VCT 25: EMEA Stage 1,https://www.vlr.gg/459844/karmine-corp-vs-gentle-mates-champions-tour-2025-emea-stage-1-w3
8877,Karmine Corp,15,2025/04/04,W,2:0,KOI,VCT 25: EMEA Stage 1,https://www.vlr.gg/459837/koi-vs-karmine-corp-champions-tour-2025-emea-stage-1-w2
8877,Karmine Corp,16,2025/03/26,L,1:2,BBL Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/459827/bbl-esports-vs-karmine-corp-champions-tour-2025-emea-stage-1-w1
8877,Karmine Corp,17,2025/01/23,L,1:2,GIANTX,VCT 25: EMEA Kickoff,https://www.vlr.gg/429393/karmine-corp-vs-giantx-champions-tour-2025-emea-kickoff-lr1
8877,Karmine Corp,18,2025/01/17,L,1:2,Team Vitality,VCT 25: EMEA Kickoff,https://www.vlr.gg/429384/team-vitality-vs-karmine-corp-champions-tour-2025-emea-kickoff-ubqf
8877,Karmine Corp,19,2025/01/15,W,2:1,Natus Vincere,VCT 25: EMEA Kickoff,https://www.vlr.gg/429380/karmine-corp-vs-natus-vincere-champions-tour-2025-emea-kickoff-ur1
8877,Karmine Corp,20,2024/12/06,W,1:0,KOI,KOICON 2024,https://www.vlr.gg/427412/koi-vs-karmine-corp-koicon-2024-main-event
8877,Karmine Corp,21,2024/11/21,L,0:1,FUT Esports,Red Bull HG #5,https://www.vlr.gg/423975/fut-esports-vs-karmine-corp-red-bull-home-ground-5-r2
8877,Karmine Corp,22,2024/11/21,L,0:1,G2 Esports,Red Bull HG #5,https://www.vlr.gg/423622/g2-esports-vs-karmine-corp-red-bull-home-ground-5-r1
8877,Karmine Corp,23,2024/11/09,W,1:0,KOI,KCX4,https://www.vlr.gg/420856/karmine-corp-vs-koi-kcx4-forever-rivals-vct
8877,Karmine Corp,24,2024/07/15,L,1:2,FNATIC,VCT 24: EMEA Stage 2,https://www.vlr.gg/371279/fnatic-vs-karmine-corp-champions-tour-2024-emea-stage-2-ko
8877,Karmine Corp,25,2024/07/11,L,1:2,Team Vitality,VCT 24: EMEA Stage 2,https://www.vlr.gg/353203/team-vitality-vs-karmine-corp-champions-tour-2024-emea-stage-2-w4
8877,Karmine Corp,26,2024/07/04,L,0:2,Team Liquid,VCT 24: EMEA Stage 2,https://www.vlr.gg/353169/team-liquid-vs-karmine-corp-champions-tour-2024-emea-stage-2-w3
8877,Karmine Corp,27,2024/06/28,L,0:2,FNATIC,VCT 24: EMEA Stage 2,https://www.vlr.gg/353165/fnatic-vs-karmine-corp-champions-tour-2024-emea-stage-2-w2
8877,Karmine Corp,28,2024/06/21,W,2:0,BBL Esports,VCT 24: EMEA Stage 2,https://www.vlr.gg/353159/bbl-esports-vs-karmine-corp-champions-tour-2024-emea-stage-2-w1
8877,Karmine Corp,29,2024/05/10,L,0:2,FUT Esports,VCT 24: EMEA Stage 1,https://www.vlr.gg/341822/karmine-corp-vs-fut-esports-champions-tour-2024-emea-stage-1-lr1
8877,Karmine Corp,30,2024/05/09,L,0:2,FNATIC,VCT 24: EMEA Stage 1,https://www.vlr.gg/341818/karmine-corp-vs-fnatic-champions-tour-2024-emea-stage-1-ubsf
8877,Karmine Corp,31,2024/05/01,L,1:2,Team Heretics,VCT 24: EMEA Stage 1,https://www.vlr.gg/318937/karmine-corp-vs-team-heretics-champions-tour-2024-emea-stage-1-w5
8877,Karmine Corp,32,2024/04/26,W,2:1,KOI,VCT 24: EMEA Stage 1,https://www.vlr.gg/318935/karmine-corp-vs-koi-champions-tour-2024-emea-stage-1-w4
8877,Karmine Corp,33,2024/04/17,L,1:2,Natus Vincere,VCT 24: EMEA Stage 1,https://www.vlr.gg/318925/karmine-corp-vs-natus-vincere-champions-tour-2024-emea-stage-1-w3
8877,Karmine Corp,34,2024/04/12,W,2:0,Gentle Mates,VCT 24: EMEA Stage 1,https://www.vlr.gg/318923/karmine-corp-vs-gentle-mates-champions-tour-2024-emea-stage-1-w2
8877,Karmine Corp,35,2024/04/10,L,1:2,FUT Esports,VCT 24: EMEA Stage 1,https://www.vlr.gg/318918/karmine-corp-vs-fut-esports-champions-tour-2024-emea-stage-1-w2
8877,Karmine Corp,36,2024/04/03,W,2:0,GIANTX,VCT 24: EMEA Stage 1,https://www.vlr.gg/318911/karmine-corp-vs-giantx-champions-tour-2024-emea-stage-1-w1
8877,Karmine Corp,37,2024/03/18,L,1:2,Paper Rex,VCT 24: Masters Madrid,https://www.vlr.gg/312802/karmine-corp-vs-paper-rex-champions-tour-2024-masters-madrid-swiss-stage-r3
8877,Karmine Corp,38,2024/03/16,L,0:2,Sentinels,VCT 24: Masters Madrid,https://www.vlr.gg/312798/sentinels-vs-karmine-corp-champions-tour-2024-masters-madrid-swiss-stage-r2
8877,Karmine Corp,39,2024/03/14,W,2:0,FunPlus Phoenix,VCT 24: Masters Madrid,https://www.vlr.gg/312765/karmine-corp-vs-funplus-phoenix-champions-tour-2024-masters-madrid-swiss-stage-r1
8877,Karmine Corp,40,2024/03/01,W,3:1,Team Heretics,VCT 24: EMEA Kickoff,https://www.vlr.gg/303095/team-heretics-vs-karmine-corp-champions-tour-2024-emea-kickoff-playoffs-gf
8877,Karmine Corp,41,2024/02/29,W,2:0,FNATIC,VCT 24: EMEA Kickoff,https://www.vlr.gg/303094/fnatic-vs-karmine-corp-champions-tour-2024-emea-kickoff-playoffs-sf
8877,Karmine Corp,42,2024/02/26,W,2:0,KOI,VCT 24: EMEA Kickoff,https://www.vlr.gg/307564/karmine-corp-vs-koi-champions-tour-2024-emea-kickoff-play-in-stage-play-ins
8877,Karmine Corp,43,2024/02/26,W,2:0,Team Vitality,VCT 24: EMEA Kickoff,https://www.vlr.gg/307567/karmine-corp-vs-team-vitality-champions-tour-2024-emea-kickoff-play-in-stage-play-ins
8877,Karmine Corp,44,2024/02/25,W,2:1,FUT Esports,VCT 24: EMEA Kickoff,https://www.vlr.gg/297405/karmine-corp-vs-fut-esports-champions-tour-2024-emea-kickoff-decider-a
8877,Karmine Corp,45,2024/02/22,L,0:2,Team Heretics,VCT 24: EMEA Kickoff,https://www.vlr.gg/297403/team-heretics-vs-karmine-corp-champions-tour-2024-emea-kickoff-winners-a
8877,Karmine Corp,46,2024/02/20,W,2:1,GIANTX,VCT 24: EMEA Kickoff,https://www.vlr.gg/297402/giantx-vs-karmine-corp-champions-tour-2024-emea-kickoff-opening-a
8877,Karmine Corp,47,2023/12/15,W,1:0,Team Heretics,HereticsXP,https://www.vlr.gg/291570/team-heretics-vs-karmine-corp-hereticsxp-main-event
8877,Karmine Corp,48,2023/09/16,L,0:1,T1,KCX3,https://www.vlr.gg/273350/karmine-corp-vs-t1-kcx3-karmine-corp-vs-the-world-il
8877,Karmine Corp,49,2023/07/21,L,1:2,Natus Vincere,VCT 2023: EMEA LCQ,https://www.vlr.gg/235371/natus-vincere-vs-karmine-corp-champions-tour-2023-emea-last-chance-qualifier-lr1
8877,Karmine Corp,50,2023/07/20,L,0:2,Giants Gaming,VCT 2023: EMEA LCQ,https://www.vlr.gg/235366/giants-gaming-vs-karmine-corp-champions-tour-2023-emea-last-chance-qualifier-ubsf
