team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
2355,KRÜ Esports,1,2025/07/06,L,2:3,LEVIATÁN,TSXI by Bonoxs,https://www.vlr.gg/511523/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-gf
2355,KRÜ Esports,2,2025/07/05,W,2:1,2Game Esports,TSXI by Bonoxs,https://www.vlr.gg/511521/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-sf
2355,KRÜ Esports,3,2025/07/04,L,0:1,LEVIATÁN,TSXI by Bonoxs,https://www.vlr.gg/510617/kr-esports-vs-leviat-n-tixinha-sacy-invitational-by-bonoxs-rr
2355,KRÜ Esports,4,2025/07/04,W,1:0,2Game Esports,TSXI by Bonoxs,https://www.vlr.gg/510615/2game-esports-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
2355,KRÜ Esports,5,2025/07/04,L,0:1,FURIA,TSXI by Bonoxs,https://www.vlr.gg/510613/furia-vs-kr-esports-tixinha-sacy-invitational-by-bonoxs-rr
2355,KRÜ Esports,6,2025/05/19,L,0:2,NRG,EWC 2025,https://www.vlr.gg/488014/kr-esports-vs-nrg-esports-world-cup-2025-lr3
2355,KRÜ Esports,7,2025/05/18,W,2:0,LEVIATÁN,EWC 2025,https://www.vlr.gg/488012/kr-esports-vs-leviat-n-esports-world-cup-2025-lr2
2355,KRÜ Esports,8,2025/05/17,L,1:2,Cloud9,EWC 2025,https://www.vlr.gg/488008/kr-esports-vs-cloud9-esports-world-cup-2025-ubsf
2355,KRÜ Esports,9,2025/04/27,L,0:2,Evil Geniuses,VCT 25: AMER Stage 1,https://www.vlr.gg/475906/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-lr2
2355,KRÜ Esports,10,2025/04/26,L,0:2,MIBR,VCT 25: AMER Stage 1,https://www.vlr.gg/475899/kr-esports-vs-mibr-champions-tour-2025-americas-stage-1-ubsf
2355,KRÜ Esports,11,2025/04/19,W,2:0,100 Thieves,VCT 25: AMER Stage 1,https://www.vlr.gg/459544/kr-esports-vs-100-thieves-champions-tour-2025-americas-stage-1-w5
2355,KRÜ Esports,12,2025/04/13,L,0:2,Evil Geniuses,VCT 25: AMER Stage 1,https://www.vlr.gg/459539/kr-esports-vs-evil-geniuses-champions-tour-2025-americas-stage-1-w4
2355,KRÜ Esports,13,2025/04/05,W,2:1,2Game Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459531/2game-esports-vs-kr-esports-champions-tour-2025-americas-stage-1-w3
2355,KRÜ Esports,14,2025/03/28,W,2:0,Sentinels,VCT 25: AMER Stage 1,https://www.vlr.gg/459524/sentinels-vs-kr-esports-champions-tour-2025-americas-stage-1-w2
2355,KRÜ Esports,15,2025/03/21,W,2:1,LOUD,VCT 25: AMER Stage 1,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
2355,KRÜ Esports,16,2025/02/06,L,1:2,MIBR,VCT 25: AMER Kickoff,https://www.vlr.gg/428011/mibr-vs-kr-esports-champions-tour-2025-americas-kickoff-lr4
2355,KRÜ Esports,17,2025/02/02,W,2:0,LOUD,VCT 25: AMER Kickoff,https://www.vlr.gg/428010/loud-vs-kr-esports-champions-tour-2025-americas-kickoff-lr3
2355,KRÜ Esports,18,2025/02/01,W,2:1,NRG,VCT 25: AMER Kickoff,https://www.vlr.gg/428008/nrg-esports-vs-kr-esports-champions-tour-2025-americas-kickoff-lr2
2355,KRÜ Esports,19,2025/01/24,W,2:0,2Game Esports,VCT 25: AMER Kickoff,https://www.vlr.gg/428006/kr-esports-vs-2game-esports-champions-tour-2025-americas-kickoff-lr1
2355,KRÜ Esports,20,2025/01/18,L,0:2,LOUD,VCT 25: AMER Kickoff,https://www.vlr.gg/427995/kr-esports-vs-loud-champions-tour-2025-americas-kickoff-ubqf
2355,KRÜ Esports,21,2024/12/15,W,2:0,2Game Esports,Tixinha Invitational,https://www.vlr.gg/430098/kr-esports-vs-2game-esports-tixinha-invitational-by-bonoxs-cf
2355,KRÜ Esports,22,2024/12/11,L,1:2,FURIA,Tixinha Invitational,https://www.vlr.gg/425934/kr-esports-vs-furia-tixinha-invitational-by-bonoxs-r3
2355,KRÜ Esports,23,2024/12/10,W,2:0,Galorys,Tixinha Invitational,https://www.vlr.gg/425930/kr-esports-vs-galorys-tixinha-invitational-by-bonoxs-r2
2355,KRÜ Esports,24,2024/12/09,W,2:0,ShindeN,Tixinha Invitational,https://www.vlr.gg/425926/kr-esports-vs-shinden-tixinha-invitational-by-bonoxs-r1
2355,KRÜ Esports,25,2024/08/10,L,1:2,FNATIC,VCT 2024: Champions,https://www.vlr.gg/378660/fnatic-vs-kr-esports-valorant-champions-2024-decider-a
2355,KRÜ Esports,26,2024/08/08,W,2:0,Bilibili Gaming,VCT 2024: Champions,https://www.vlr.gg/378659/bilibili-gaming-vs-kr-esports-valorant-champions-2024-elim-a
2355,KRÜ Esports,27,2024/08/02,L,1:2,DRX,VCT 2024: Champions,https://www.vlr.gg/378657/drx-vs-kr-esports-valorant-champions-2024-opening-a
