team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
6961,LOUD,1,2025/04/20,L,1:2,Evil Geniuses,VCT 25: AMER Stage 1,https://www.vlr.gg/459545/evil-geniuses-vs-loud-champions-tour-2025-americas-stage-1-w5
6961,LOUD,2,2025/04/12,L,1:2,Sentinels,VCT 25: AMER Stage 1,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
6961,LOUD,3,2025/04/04,L,1:2,100 Thieves,VCT 25: AMER Stage 1,https://www.vlr.gg/459530/100-thieves-vs-loud-champions-tour-2025-americas-stage-1-w3
6961,LOUD,4,2025/03/30,L,0:2,2Game Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459527/loud-vs-2game-esports-champions-tour-2025-americas-stage-1-w2
6961,LOUD,5,2025/03/21,L,1:2,KRÜ Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459518/kr-esports-vs-loud-champions-tour-2025-americas-stage-1-w1
6961,LOUD,6,2025/02/02,L,0:2,KRÜ Esports,VCT 25: AMER Kickoff,https://www.vlr.gg/428010/loud-vs-kr-esports-champions-tour-2025-americas-kickoff-lr3
6961,LOUD,7,2025/01/31,L,1:2,Sentinels,VCT 25: AMER Kickoff,https://www.vlr.gg/427999/loud-vs-sentinels-champions-tour-2025-americas-kickoff-ubsf
6961,LOUD,8,2025/01/18,W,2:0,KRÜ Esports,VCT 25: AMER Kickoff,https://www.vlr.gg/427995/kr-esports-vs-loud-champions-tour-2025-americas-kickoff-ubqf
6961,LOUD,9,2025/01/16,W,2:0,Evil Geniuses,VCT 25: AMER Kickoff,https://www.vlr.gg/427991/evil-geniuses-vs-loud-champions-tour-2025-americas-kickoff-ur1
6961,LOUD,10,2024/12/14,L,0:2,MIBR,Tixinha Invitational,https://www.vlr.gg/425936/loud-vs-mibr-tixinha-invitational-by-bonoxs-r3
6961,LOUD,11,2024/12/13,L,1:2,2Game Esports,Tixinha Invitational,https://www.vlr.gg/425932/loud-vs-2game-esports-tixinha-invitational-by-bonoxs-r2
6961,LOUD,12,2024/12/12,W,2:0,THE 7,Tixinha Invitational,https://www.vlr.gg/425966/loud-vs-the-7-tixinha-invitational-by-bonoxs-r1
6961,LOUD,13,2024/07/14,W,2:1,100 Thieves,VCT 24: AMER Stage 2,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4
