team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
4915,Natus Vincere,1,2025/06/29,L,1:3,Gentle Mates,BtcTurk GameFest,https://www.vlr.gg/509288/natus-vincere-vs-gentle-mates-btcturk-gamefest-main-event-gf
4915,Natus Vincere,2,2025/06/28,W,2:0,ULF Esports,BtcTurk GameFest,https://www.vlr.gg/509286/natus-vincere-vs-ulf-esports-btcturk-gamefest-main-event-sf
4915,Natus Vincere,3,2025/05/20,L,0:2,FUT Esports,EWC 2025,https://www.vlr.gg/487997/fut-esports-vs-natus-vincere-esports-world-cup-2025-lbf
4915,Natus Vincere,4,2025/05/19,W,2:1,Gentle Mates,EWC 2025,https://www.vlr.gg/487996/natus-vincere-vs-gentle-mates-esports-world-cup-2025-lr3
4915,Natus Vincere,5,2025/05/18,W,2:0,GIANTX,EWC 2025,https://www.vlr.gg/487994/natus-vincere-vs-giantx-esports-world-cup-2025-lr2
4915,Natus Vincere,6,2025/05/17,L,0:2,Karmine Corp,EWC 2025,https://www.vlr.gg/487990/natus-vincere-vs-karmine-corp-esports-world-cup-2025-ubsf
4915,Natus Vincere,7,2025/05/16,W,2:0,Gentle Mates,EWC 2025,https://www.vlr.gg/487987/natus-vincere-vs-gentle-mates-esports-world-cup-2025-ubqf
4915,Natus Vincere,8,2025/05/11,L,1:2,Team Liquid,VCT 25: EMEA Stage 1,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
4915,Natus Vincere,9,2025/05/09,W,2:1,Karmine Corp,VCT 25: EMEA Stage 1,https://www.vlr.gg/482505/natus-vincere-vs-karmine-corp-champions-tour-2025-emea-stage-1-playoffs-lr1
4915,Natus Vincere,10,2025/05/08,L,0:2,BBL Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/482503/bbl-esports-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-ubr1
4915,Natus Vincere,11,2025/04/24,W,2:0,Team Vitality,VCT 25: EMEA Stage 1,https://www.vlr.gg/459855/team-vitality-vs-natus-vincere-champions-tour-2025-emea-stage-1-w5
4915,Natus Vincere,12,2025/04/18,L,0:2,Team Heretics,VCT 25: EMEA Stage 1,https://www.vlr.gg/459850/natus-vincere-vs-team-heretics-champions-tour-2025-emea-stage-1-w4
4915,Natus Vincere,13,2025/04/09,W,2:1,GIANTX,VCT 25: EMEA Stage 1,https://www.vlr.gg/459840/natus-vincere-vs-giantx-champions-tour-2025-emea-stage-1-w3
4915,Natus Vincere,14,2025/04/02,W,2:1,Apeks,VCT 25: EMEA Stage 1,https://www.vlr.gg/459833/apeks-vs-natus-vincere-champions-tour-2025-emea-stage-1-w2
4915,Natus Vincere,15,2025/03/28,L,0:2,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/459830/fnatic-vs-natus-vincere-champions-tour-2025-emea-stage-1-w1
4915,Natus Vincere,16,2025/01/23,L,1:2,FNATIC,VCT 25: EMEA Kickoff,https://www.vlr.gg/429392/fnatic-vs-natus-vincere-champions-tour-2025-emea-kickoff-lr1
4915,Natus Vincere,17,2025/01/15,L,1:2,Karmine Corp,VCT 25: EMEA Kickoff,https://www.vlr.gg/429380/karmine-corp-vs-natus-vincere-champions-tour-2025-emea-kickoff-ur1
4915,Natus Vincere,18,2024/07/15,L,1:2,Team Vitality,VCT 24: EMEA Stage 2,https://www.vlr.gg/371278/team-vitality-vs-natus-vincere-champions-tour-2024-emea-stage-2-ko
4915,Natus Vincere,19,2024/07/11,W,2:1,Gentle Mates,VCT 24: EMEA Stage 2,https://www.vlr.gg/353175/natus-vincere-vs-gentle-mates-champions-tour-2024-emea-stage-2-w4
4915,Natus Vincere,20,2024/07/04,L,0:2,KOI,VCT 24: EMEA Stage 2,https://www.vlr.gg/353168/koi-vs-natus-vincere-champions-tour-2024-emea-stage-2-w3
4915,Natus Vincere,21,2024/06/27,L,0:2,GIANTX,VCT 24: EMEA Stage 2,https://www.vlr.gg/353163/natus-vincere-vs-giantx-champions-tour-2024-emea-stage-2-w2
4915,Natus Vincere,22,2024/06/21,L,0:2,FUT Esports,VCT 24: EMEA Stage 2,https://www.vlr.gg/353158/natus-vincere-vs-fut-esports-champions-tour-2024-emea-stage-2-w1
4915,Natus Vincere,23,2024/06/19,L,0:2,Team Heretics,VCT 24: EMEA Stage 2,https://www.vlr.gg/353155/team-heretics-vs-natus-vincere-champions-tour-2024-emea-stage-2-w1
4915,Natus Vincere,24,2024/05/08,L,0:2,Team Heretics,VCT 24: EMEA Stage 1,https://www.vlr.gg/341817/natus-vincere-vs-team-heretics-champions-tour-2024-emea-stage-1-knockout
4915,Natus Vincere,25,2024/05/02,W,2:1,FNATIC,VCT 24: EMEA Stage 1,https://www.vlr.gg/318939/natus-vincere-vs-fnatic-champions-tour-2024-emea-stage-1-w5
4915,Natus Vincere,26,2024/04/25,L,1:2,BBL Esports,VCT 24: EMEA Stage 1,https://www.vlr.gg/318933/bbl-esports-vs-natus-vincere-champions-tour-2024-emea-stage-1-w4
4915,Natus Vincere,27,2024/04/17,W,2:1,Karmine Corp,VCT 24: EMEA Stage 1,https://www.vlr.gg/318925/karmine-corp-vs-natus-vincere-champions-tour-2024-emea-stage-1-w3
4915,Natus Vincere,28,2024/04/11,W,2:1,Team Liquid,VCT 24: EMEA Stage 1,https://www.vlr.gg/318920/team-liquid-vs-natus-vincere-champions-tour-2024-emea-stage-1-w2
4915,Natus Vincere,29,2024/04/04,W,2:0,Team Vitality,VCT 24: EMEA Stage 1,https://www.vlr.gg/318914/team-vitality-vs-natus-vincere-champions-tour-2024-emea-stage-1-w1
4915,Natus Vincere,30,2024/02/29,L,0:2,Team Heretics,VCT 24: EMEA Kickoff,https://www.vlr.gg/303093/team-heretics-vs-natus-vincere-champions-tour-2024-emea-kickoff-playoffs-sf
