team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
12064,Nova Esports,1,2025/07/06,L,1:2,Dragon Ranger Gaming,VCT 25: CN Stage 2,https://www.vlr.gg/506934/dragon-ranger-gaming-vs-nova-esports-vct-2025-china-stage-2-w1
12064,Nova Esports,2,2025/05/09,L,1:2,Trace Esports,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485375/trace-esports-vs-nova-esports-china-evolution-series-act-2-x-asian-champions-league-qf
12064,Nova Esports,3,2025/05/08,W,2:1,Xi Lai Gaming,CN EVO 25: Act 2 X ACL,https://www.vlr.gg/485371/nova-esports-vs-xi-lai-gaming-china-evolution-series-act-2-x-asian-champions-league-ro12
12064,Nova Esports,4,2025/04/18,L,0:2,Trace Esports,VCT 25: CN Stage 1,https://www.vlr.gg/473236/nova-esports-vs-trace-esports-champions-tour-2025-china-stage-1-lr1
12064,Nova Esports,5,2025/04/17,L,0:2,Xi Lai Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/473234/xi-lai-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-ur1
12064,Nova Esports,6,2025/04/13,L,0:2,Titan Esports Club,VCT 25: CN Stage 1,https://www.vlr.gg/450075/titan-esports-club-vs-nova-esports-champions-tour-2025-china-stage-1-w5
12064,Nova Esports,7,2025/04/06,W,2:1,TYLOO,VCT 25: CN Stage 1,https://www.vlr.gg/450069/nova-esports-vs-tyloo-champions-tour-2025-china-stage-1-w4
12064,Nova Esports,8,2025/03/30,W,2:0,FunPlus Phoenix,VCT 25: CN Stage 1,https://www.vlr.gg/450063/nova-esports-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w3
12064,Nova Esports,9,2025/03/20,W,2:0,EDward Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
12064,Nova Esports,10,2025/03/15,L,0:2,Dragon Ranger Gaming,VCT 25: CN Stage 1,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
12064,Nova Esports,11,2025/02/16,W,3:0,Wolves Esports,CN EVO 25: Act 1,https://www.vlr.gg/440540/nova-esports-vs-wolves-esports-china-evolution-series-act-1-gf
12064,Nova Esports,12,2025/02/14,W,2:0,Bilibili Gaming,CN EVO 25: Act 1,https://www.vlr.gg/440538/bilibili-gaming-vs-nova-esports-china-evolution-series-act-1-sf
12064,Nova Esports,13,2025/02/10,W,2:0,FunPlus Phoenix,CN EVO 25: Act 1,https://www.vlr.gg/440535/funplus-phoenix-vs-nova-esports-china-evolution-series-act-1-qf
12064,Nova Esports,14,2025/02/08,W,2:1,Trace Esports,CN EVO 25: Act 1,https://www.vlr.gg/440531/nova-esports-vs-trace-esports-china-evolution-series-act-1-ro12
12064,Nova Esports,15,2025/01/21,L,0:2,Dragon Ranger Gaming,VCT 25: CN Kickoff,https://www.vlr.gg/430854/nova-esports-vs-dragon-ranger-gaming-champions-tour-2025-china-kickoff-lr2
12064,Nova Esports,16,2025/01/19,W,2:1,Wolves Esports,VCT 25: CN Kickoff,https://www.vlr.gg/430849/nova-esports-vs-wolves-esports-champions-tour-2025-china-kickoff-lr1
12064,Nova Esports,17,2025/01/17,L,0:2,EDward Gaming,VCT 25: CN Kickoff,https://www.vlr.gg/430844/edward-gaming-vs-nova-esports-champions-tour-2025-china-kickoff-ubqf
12064,Nova Esports,18,2025/01/12,W,2:0,All Gamers,VCT 25: CN Kickoff,https://www.vlr.gg/430840/all-gamers-vs-nova-esports-champions-tour-2025-china-kickoff-ur1
12064,Nova Esports,19,2024/12/15,L,2:3,Xi Lai Gaming,Superb Cup,https://www.vlr.gg/428883/xi-lai-gaming-vs-nova-esports-superb-cup-gf
12064,Nova Esports,20,2024/12/14,W,3:1,EDward Gaming,Superb Cup,https://www.vlr.gg/428882/nova-esports-vs-edward-gaming-superb-cup-lbf
12064,Nova Esports,21,2024/12/13,L,0:2,Xi Lai Gaming,Superb Cup,https://www.vlr.gg/428880/xi-lai-gaming-vs-nova-esports-superb-cup-ubf
12064,Nova Esports,22,2024/12/11,W,2:0,TYLOO,Superb Cup,https://www.vlr.gg/427175/tyloo-vs-nova-esports-superb-cup-d4
12064,Nova Esports,23,2024/12/10,W,2:1,Trace Esports,Superb Cup,https://www.vlr.gg/427174/trace-esports-vs-nova-esports-superb-cup-d3
12064,Nova Esports,24,2024/12/09,W,2:0,All Gamers,Superb Cup,https://www.vlr.gg/427171/nova-esports-vs-all-gamers-superb-cup-d2
12064,Nova Esports,25,2024/11/07,L,1:2,FunPlus Phoenix,FGC 24,https://www.vlr.gg/414861/nova-esports-vs-funplus-phoenix-fgc-invitational-2024-main-event-lr3
12064,Nova Esports,26,2024/11/06,L,0:2,Bilibili Gaming,FGC 24,https://www.vlr.gg/414854/bilibili-gaming-vs-nova-esports-fgc-invitational-2024-main-event-ubsf
