team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
624,Paper Rex,1,2025/07/13,L,0:2,Gen.G,EWC 2025,https://www.vlr.gg/510156/paper-rex-vs-gen-g-esports-world-cup-2025-cf
624,Paper Rex,2,2025/07/12,L,1:2,FNATIC,EWC 2025,https://www.vlr.gg/510153/fnatic-vs-paper-rex-esports-world-cup-2025-sf
624,Paper Rex,3,2025/07/11,W,2:0,Sentinels,EWC 2025,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
624,Paper Rex,4,2025/07/08,W,2:0,Karmine Corp,EWC 2025,https://www.vlr.gg/510129/paper-rex-vs-karmine-corp-esports-world-cup-2025-winners-a
624,Paper Rex,5,2025/07/08,W,1:0,Bilibili Gaming,EWC 2025,https://www.vlr.gg/510127/paper-rex-vs-bilibili-gaming-esports-world-cup-2025-opening-a
624,Paper Rex,6,2025/06/22,W,3:1,FNATIC,Masters Toronto 2025,https://www.vlr.gg/498628/paper-rex-vs-fnatic-valorant-masters-toronto-2025-gf
624,Paper Rex,7,2025/06/20,W,2:0,Wolves Esports,Masters Toronto 2025,https://www.vlr.gg/498627/paper-rex-vs-wolves-esports-valorant-masters-toronto-2025-ubf
624,Paper Rex,8,2025/06/16,W,2:0,Sentinels,Masters Toronto 2025,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
624,Paper Rex,9,2025/06/13,W,2:0,G2 Esports,Masters Toronto 2025,https://www.vlr.gg/498622/g2-esports-vs-paper-rex-valorant-masters-toronto-2025-ubqf
624,Paper Rex,10,2025/06/11,W,2:1,Team Liquid,Masters Toronto 2025,https://www.vlr.gg/490314/paper-rex-vs-team-liquid-valorant-masters-toronto-2025-r3-1-1
624,Paper Rex,11,2025/06/09,L,0:2,Gen.G,Masters Toronto 2025,https://www.vlr.gg/490310/paper-rex-vs-gen-g-champions-tour-2025-masters-toronto-r2-1-0
624,Paper Rex,12,2025/06/07,W,2:0,Team Heretics,Masters Toronto 2025,https://www.vlr.gg/490309/team-heretics-vs-paper-rex-champions-tour-2025-masters-toronto-r1
624,Paper Rex,13,2025/05/25,W,3:1,DRX,EWC 2025,https://www.vlr.gg/489436/paper-rex-vs-drx-esports-world-cup-2025-pacific-x-acl-qualifier-gf
624,Paper Rex,14,2025/05/24,W,2:0,Team Secret,EWC 2025,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
624,Paper Rex,15,2025/05/22,W,1:0,Global Esports,EWC 2025,https://www.vlr.gg/489426/paper-rex-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
624,Paper Rex,16,2025/05/22,W,1:0,T1,EWC 2025,https://www.vlr.gg/489424/paper-rex-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
624,Paper Rex,17,2025/05/22,W,1:0,TALON,EWC 2025,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
624,Paper Rex,18,2025/05/18,L,1:3,DRX,HERO ESPORTS ACL 25,https://www.vlr.gg/481652/paper-rex-vs-drx-hero-esports-asian-champions-league-2025-gf
624,Paper Rex,19,2025/05/15,W,2:0,Xi Lai Gaming,HERO ESPORTS ACL 25,https://www.vlr.gg/481651/xi-lai-gaming-vs-paper-rex-hero-esports-asian-champions-league-2025-ubf
624,Paper Rex,20,2025/05/10,L,2:3,Rex Regum Qeon,VCT 25: PAC Stage 1,https://www.vlr.gg/473843/rex-regum-qeon-vs-paper-rex-champions-tour-2025-pacific-stage-1-lbf
624,Paper Rex,21,2025/05/09,W,2:0,DRX,VCT 25: PAC Stage 1,https://www.vlr.gg/473842/drx-vs-paper-rex-champions-tour-2025-pacific-stage-1-lr3
624,Paper Rex,22,2025/05/04,W,2:0,BOOM Esports,VCT 25: PAC Stage 1,https://www.vlr.gg/473840/boom-esports-vs-paper-rex-champions-tour-2025-pacific-stage-1-lr2
624,Paper Rex,23,2025/05/03,W,2:1,T1,VCT 25: PAC Stage 1,https://www.vlr.gg/473836/t1-vs-paper-rex-champions-tour-2025-pacific-stage-1-lr1
624,Paper Rex,24,2025/04/19,W,2:0,Global Esports,VCT 25: PAC Stage 1,https://www.vlr.gg/458830/paper-rex-vs-global-esports-champions-tour-2025-pacific-stage-1-w5
624,Paper Rex,25,2025/04/14,W,2:1,DetonatioN FocusMe,VCT 25: PAC Stage 1,https://www.vlr.gg/458828/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-stage-1-w4
624,Paper Rex,26,2025/04/06,L,1:2,BOOM Esports,VCT 25: PAC Stage 1,https://www.vlr.gg/458819/paper-rex-vs-boom-esports-champions-tour-2025-pacific-stage-1-w3
624,Paper Rex,27,2025/03/30,L,1:2,Gen.G,VCT 25: PAC Stage 1,https://www.vlr.gg/458813/gen-g-vs-paper-rex-champions-tour-2025-pacific-stage-1-w2
624,Paper Rex,28,2025/03/23,L,1:2,DRX,VCT 25: PAC Stage 1,https://www.vlr.gg/458807/drx-vs-paper-rex-champions-tour-2025-pacific-stage-1-w1
624,Paper Rex,29,2025/02/01,L,0:2,DetonatioN FocusMe,VCT 25: PAC Kickoff,https://www.vlr.gg/430531/detonation-focusme-vs-paper-rex-champions-tour-2025-pacific-kickoff-lr2
624,Paper Rex,30,2025/01/26,W,2:0,ZETA DIVISION,VCT 25: PAC Kickoff,https://www.vlr.gg/430529/paper-rex-vs-zeta-division-champions-tour-2025-pacific-kickoff-lr1
624,Paper Rex,31,2025/01/20,L,1:2,T1,VCT 25: PAC Kickoff,https://www.vlr.gg/430518/paper-rex-vs-t1-champions-tour-2025-pacific-kickoff-ubqf
624,Paper Rex,32,2024/12/06,L,1:2,Wolves Esports,SEM 2024,https://www.vlr.gg/425164/paper-rex-vs-wolves-esports-shanghai-esports-masters-2024-sf
624,Paper Rex,33,2024/12/01,W,3:1,DetonatioN FocusMe,Radiant Asia Invitational,https://www.vlr.gg/418817/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-gf
624,Paper Rex,34,2024/11/30,W,3:0,Trace Esports,Radiant Asia Invitational,https://www.vlr.gg/418819/paper-rex-vs-trace-esports-valorant-radiant-asia-invitational-lbf
624,Paper Rex,35,2024/11/29,L,0:2,DetonatioN FocusMe,Radiant Asia Invitational,https://www.vlr.gg/418816/detonation-focusme-vs-paper-rex-valorant-radiant-asia-invitational-ubf
624,Paper Rex,36,2024/11/28,W,2:1,DRX,Radiant Asia Invitational,https://www.vlr.gg/418815/drx-vs-paper-rex-valorant-radiant-asia-invitational-ubsf
624,Paper Rex,37,2024/11/25,W,2:1,Rex Regum Qeon,Radiant Asia Invitational,https://www.vlr.gg/418812/rex-regum-qeon-vs-paper-rex-valorant-radiant-asia-invitational-r3
624,Paper Rex,38,2024/11/24,W,2:1,EDward Gaming,Radiant Asia Invitational,https://www.vlr.gg/418811/edward-gaming-vs-paper-rex-valorant-radiant-asia-invitational-r2-0-1
