team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
11985,Rare Atom,1,2025/07/11,W,2:0,Chosen Clique Gaming,Unknown,https://www.vlr.gg/504808/chosen-clique-gaming-vs-rare-atom-valorant-china-national-competition-season-4-playoffs-qf
11985,Rare Atom,2,2025/06/15,W,2:0,Temperature X,CN Nationals S4,https://www.vlr.gg/502761/rare-atom-vs-temperature-x-valorant-china-national-competition-season-4-qualifier-quarterfinals
11985,Rare Atom,3,2025/06/14,W,2:1,Octagonal Disposition,CN Nationals S4,https://www.vlr.gg/502754/rare-atom-vs-octagonal-disposition-valorant-china-national-competition-season-4-qualifier-ro16
11985,Rare Atom,4,2025/04/18,L,0:2,DRX Academy,GoNxt Asia Clash Invitational,https://www.vlr.gg/473874/drx-academy-vs-rare-atom-gonxt-asia-clash-invitational-sf
11985,Rare Atom,5,2025/04/17,W,2:0,LM Gaming,GoNxt Asia Clash Invitational,https://www.vlr.gg/473872/lm-gaming-vs-rare-atom-gonxt-asia-clash-invitational-qf
11985,Rare Atom,6,2024/11/20,L,0:2,Global Esports,GE: Face Off,https://www.vlr.gg/422759/global-esports-vs-rare-atom-global-esports-face-off-main-event
11985,Rare Atom,7,2024/09/21,L,0:3,Xi Lai Gaming,VCT 24 CN: Ascension,https://www.vlr.gg/400164/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-gf
11985,Rare Atom,8,2024/09/19,W,2:1,Xi Lai Gaming,VCT 24 CN: Ascension,https://www.vlr.gg/400163/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-ubf
11985,Rare Atom,9,2024/09/18,W,2:0,Ambitious Legend Gaming,VCT 24 CN: Ascension,https://www.vlr.gg/400161/rare-atom-vs-ambitious-legend-gaming-champions-tour-2024-china-ascension-ubsf
11985,Rare Atom,10,2024/09/13,W,2:0,Xi Lai Gaming,VCT 24 CN: Ascension,https://www.vlr.gg/400153/rare-atom-vs-xi-lai-gaming-champions-tour-2024-china-ascension-winners-a
11985,Rare Atom,11,2024/09/11,W,2:0,ZY Gaming,VCT 24 CN: Ascension,https://www.vlr.gg/398826/zy-gaming-vs-rare-atom-champions-tour-2024-china-ascension-opening-a
11985,Rare Atom,12,2024/06/30,L,1:2,Kulin Esports,CN Nationals S2,https://www.vlr.gg/366175/rare-atom-vs-kulin-esports-valorant-china-national-competition-season-2-qf
