team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
2,Sentinels,1,2025/07/11,L,0:2,Paper Rex,EWC 2025,https://www.vlr.gg/510150/paper-rex-vs-sentinels-esports-world-cup-2025-qf
2,Sentinels,2,2025/07/10,W,2:0,DRX,EWC 2025,https://www.vlr.gg/510137/drx-vs-sentinels-esports-world-cup-2025-decider-b
2,Sentinels,3,2025/07/09,W,2:1,Xi Lai Gaming,EWC 2025,https://www.vlr.gg/510136/sentinels-vs-xi-lai-gaming-esports-world-cup-2025-elim-b
2,Sentinels,4,2025/07/08,L,0:1,BBL Esports,EWC 2025,https://www.vlr.gg/510133/sentinels-vs-bbl-esports-esports-world-cup-2025-opening-b
2,Sentinels,5,2025/06/17,L,1:2,FNATIC,Masters Toronto 2025,https://www.vlr.gg/498632/sentinels-vs-fnatic-valorant-masters-toronto-2025-lr2
2,Sentinels,6,2025/06/16,L,0:2,Paper Rex,Masters Toronto 2025,https://www.vlr.gg/498625/sentinels-vs-paper-rex-valorant-masters-toronto-2025-ubsf
2,Sentinels,7,2025/06/13,W,2:0,Xi Lai Gaming,Masters Toronto 2025,https://www.vlr.gg/498621/xi-lai-gaming-vs-sentinels-valorant-masters-toronto-2025-ubqf
2,Sentinels,8,2025/06/09,W,2:1,Bilibili Gaming,Masters Toronto 2025,https://www.vlr.gg/490311/bilibili-gaming-vs-sentinels-champions-tour-2025-masters-toronto-r2-1-0
2,Sentinels,9,2025/06/08,W,2:0,Wolves Esports,Masters Toronto 2025,https://www.vlr.gg/490308/sentinels-vs-wolves-esports-champions-tour-2025-masters-toronto-r1
2,Sentinels,10,2025/05/04,L,1:3,G2 Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/475902/sentinels-vs-g2-esports-champions-tour-2025-americas-stage-1-gf
2,Sentinels,11,2025/05/02,W,2:0,MIBR,VCT 25: AMER Stage 1,https://www.vlr.gg/475901/mibr-vs-sentinels-champions-tour-2025-americas-stage-1-ubf
2,Sentinels,12,2025/04/26,W,2:1,G2 Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/475900/g2-esports-vs-sentinels-champions-tour-2025-americas-stage-1-ubsf
2,Sentinels,13,2025/04/24,W,2:0,Cloud9,VCT 25: AMER Stage 1,https://www.vlr.gg/475898/sentinels-vs-cloud9-champions-tour-2025-americas-stage-1-ubr1
2,Sentinels,14,2025/04/19,W,2:0,2Game Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459543/sentinels-vs-2game-esports-champions-tour-2025-americas-stage-1-w5
2,Sentinels,15,2025/04/12,W,2:1,LOUD,VCT 25: AMER Stage 1,https://www.vlr.gg/459538/sentinels-vs-loud-champions-tour-2025-americas-stage-1-w4
2,Sentinels,16,2025/04/04,W,2:0,Evil Geniuses,VCT 25: AMER Stage 1,https://www.vlr.gg/459529/evil-geniuses-vs-sentinels-champions-tour-2025-americas-stage-1-w3
2,Sentinels,17,2025/03/28,L,0:2,KRÜ Esports,VCT 25: AMER Stage 1,https://www.vlr.gg/459524/sentinels-vs-kr-esports-champions-tour-2025-americas-stage-1-w2
2,Sentinels,18,2025/03/23,W,2:1,100 Thieves,VCT 25: AMER Stage 1,https://www.vlr.gg/459522/sentinels-vs-100-thieves-champions-tour-2025-americas-stage-1-w1
2,Sentinels,19,2025/02/23,L,1:2,Team Liquid,Masters Bangkok 2025,https://www.vlr.gg/449003/team-liquid-vs-sentinels-champions-tour-2025-masters-bangkok-r2-0-1
2,Sentinels,20,2025/02/20,L,0:2,DRX,Masters Bangkok 2025,https://www.vlr.gg/448600/drx-vs-sentinels-champions-tour-2025-masters-bangkok-r1
2,Sentinels,21,2025/02/08,L,2:3,G2 Esports,VCT 25: AMER Kickoff,https://www.vlr.gg/428002/g2-esports-vs-sentinels-champions-tour-2025-americas-kickoff-gf
2,Sentinels,22,2025/02/07,W,3:1,MIBR,VCT 25: AMER Kickoff,https://www.vlr.gg/428012/sentinels-vs-mibr-champions-tour-2025-americas-kickoff-lbf
2,Sentinels,23,2025/02/06,L,0:2,G2 Esports,VCT 25: AMER Kickoff,https://www.vlr.gg/428001/sentinels-vs-g2-esports-champions-tour-2025-americas-kickoff-ubf
2,Sentinels,24,2025/01/31,W,2:1,LOUD,VCT 25: AMER Kickoff,https://www.vlr.gg/427999/loud-vs-sentinels-champions-tour-2025-americas-kickoff-ubsf
2,Sentinels,25,2025/01/18,W,2:1,100 Thieves,VCT 25: AMER Kickoff,https://www.vlr.gg/427996/sentinels-vs-100-thieves-champions-tour-2025-americas-kickoff-ubqf
2,Sentinels,26,2024/12/12,L,0:2,Gen.G,SOOP League,https://www.vlr.gg/425339/sentinels-vs-gen-g-soop-valorant-league-decider-a
2,Sentinels,27,2024/12/12,L,1:2,Made in Thailand,SOOP League,https://www.vlr.gg/425337/sentinels-vs-made-in-thailand-soop-valorant-league-winners-a
2,Sentinels,28,2024/12/10,W,2:0,Gen.G,SOOP League,https://www.vlr.gg/425335/sentinels-vs-gen-g-soop-valorant-league-opening-a
2,Sentinels,29,2024/11/03,L,0:2,NRG,SEN City Classic,https://www.vlr.gg/417835/nrg-esports-vs-sentinels-sen-city-classic-gf
2,Sentinels,30,2024/11/03,W,2:0,Evil Geniuses,SEN City Classic,https://www.vlr.gg/417834/sentinels-vs-evil-geniuses-sen-city-classic-sf
2,Sentinels,31,2024/11/02,L,0:2,NRG,SEN City Classic,https://www.vlr.gg/417829/sentinels-vs-nrg-esports-sen-city-classic-d2
2,Sentinels,32,2024/11/01,W,2:1,Evil Geniuses,SEN City Classic,https://www.vlr.gg/417825/sentinels-vs-evil-geniuses-sen-city-classic-d1
2,Sentinels,33,2024/11/01,W,2:0,Cloud9,SEN City Classic,https://www.vlr.gg/417824/sentinels-vs-cloud9-sen-city-classic-d1
2,Sentinels,34,2024/10/22,W,3:0,TenZ and Friends,Unknown,https://www.vlr.gg/416194/sentinels-vs-tenz-and-friends-sentinels-showmatch-2024-showmatch
2,Sentinels,35,2024/10/09,W,3:0,Tarik's Allstars,SEN Showmatch 2024,https://www.vlr.gg/412065/sentinels-vs-tariks-allstars-sentinels-showmatch-2024-showmatch
2,Sentinels,36,2024/09/29,L,0:2,Cloud9,Red Bull HG #5,https://www.vlr.gg/408415/sentinels-vs-cloud9-red-bull-home-ground-5-gf
2,Sentinels,37,2024/09/29,W,2:1,YFP,Red Bull HG #5,https://www.vlr.gg/408414/sentinels-vs-yfp-gaming-red-bull-home-ground-5-sf
2,Sentinels,38,2024/08/23,L,1:2,Team Heretics,VCT 2024: Champions,https://www.vlr.gg/378835/team-heretics-vs-sentinels-valorant-champions-2024-lr3
2,Sentinels,39,2024/08/18,W,2:1,FNATIC,VCT 2024: Champions,https://www.vlr.gg/378834/sentinels-vs-fnatic-valorant-champions-2024-lr2
2,Sentinels,40,2024/08/17,L,1:2,EDward Gaming,VCT 2024: Champions,https://www.vlr.gg/378826/sentinels-vs-edward-gaming-valorant-champions-2024-ubsf
2,Sentinels,41,2024/08/14,W,2:0,DRX,VCT 2024: Champions,https://www.vlr.gg/378822/drx-vs-sentinels-valorant-champions-2024-ubqf
2,Sentinels,42,2024/08/10,W,2:0,Gen.G,VCT 2024: Champions,https://www.vlr.gg/378666/gen-g-vs-sentinels-valorant-champions-2024-decider-b
2,Sentinels,43,2024/08/08,W,2:0,FunPlus Phoenix,VCT 2024: Champions,https://www.vlr.gg/378665/sentinels-vs-funplus-phoenix-valorant-champions-2024-elim-b
2,Sentinels,44,2024/08/01,L,0:2,Gen.G,VCT 2024: Champions,https://www.vlr.gg/378662/gen-g-vs-sentinels-valorant-champions-2024-opening-b
2,Sentinels,45,2024/07/17,L,0:2,100 Thieves,VCT 24: AMER Stage 2,https://www.vlr.gg/371267/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-2-ko
2,Sentinels,46,2024/07/14,L,0:2,G2 Esports,VCT 24: AMER Stage 2,https://www.vlr.gg/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4
2,Sentinels,47,2024/07/01,W,2:0,Cloud9,VCT 24: AMER Stage 2,https://www.vlr.gg/353187/sentinels-vs-cloud9-champions-tour-2024-americas-stage-2-w2
2,Sentinels,48,2024/06/29,W,2:0,KRÜ Esports,VCT 24: AMER Stage 2,https://www.vlr.gg/353183/sentinels-vs-kr-esports-champions-tour-2024-americas-stage-2-w2
2,Sentinels,49,2024/06/22,W,2:0,NRG,VCT 24: AMER Stage 2,https://www.vlr.gg/353178/sentinels-vs-nrg-esports-champions-tour-2024-americas-stage-2-w1
2,Sentinels,50,2024/05/03,W,2:0,FURIA,VCT 24: AMER Stage 1,https://www.vlr.gg/314650/sentinels-vs-furia-champions-tour-2024-americas-stage-1-w5
