team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
8304,TALON,1,2025/05/22,L,0:1,T1,EWC 2025,https://www.vlr.gg/489427/talon-vs-t1-esports-world-cup-2025-pacific-x-acl-qualifier-d1
8304,TALON,2,2025/05/22,L,0:1,Global Esports,EWC 2025,https://www.vlr.gg/489425/talon-vs-global-esports-esports-world-cup-2025-pacific-x-acl-qualifier-d1
8304,TALON,3,2025/05/22,L,0:1,Paper Rex,EWC 2025,https://www.vlr.gg/489422/paper-rex-vs-talon-esports-world-cup-2025-pacific-x-acl-qualifier-d1
8304,TALON,4,2025/05/04,L,0:2,DRX,VCT 25: PAC Stage 1,https://www.vlr.gg/473839/drx-vs-talon-champions-tour-2025-pacific-stage-1-lr2
8304,TALON,5,2025/05/03,W,2:1,Nongshim RedForce,VCT 25: PAC Stage 1,https://www.vlr.gg/473835/talon-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-lr1
8304,TALON,6,2025/04/26,L,1:2,Gen.G,VCT 25: PAC Stage 1,https://www.vlr.gg/473833/talon-vs-gen-g-champions-tour-2025-pacific-stage-1-ur1
8304,TALON,7,2025/04/19,W,2:0,T1,VCT 25: PAC Stage 1,https://www.vlr.gg/458831/t1-vs-talon-champions-tour-2025-pacific-stage-1-w5
8304,TALON,8,2025/04/14,L,0:2,ZETA DIVISION,VCT 25: PAC Stage 1,https://www.vlr.gg/458827/talon-vs-zeta-division-champions-tour-2025-pacific-stage-1-w4
8304,TALON,9,2025/04/06,W,2:1,Nongshim RedForce,VCT 25: PAC Stage 1,https://www.vlr.gg/458820/talon-vs-nongshim-redforce-champions-tour-2025-pacific-stage-1-w3
8304,TALON,10,2025/03/31,L,0:2,Rex Regum Qeon,VCT 25: PAC Stage 1,https://www.vlr.gg/458815/talon-vs-rex-regum-qeon-champions-tour-2025-pacific-stage-1-w2
8304,TALON,11,2025/03/23,W,2:1,Team Secret,VCT 25: PAC Stage 1,https://www.vlr.gg/458808/talon-vs-team-secret-champions-tour-2025-pacific-stage-1-w1
8304,TALON,12,2025/02/07,L,0:2,Gen.G,VCT 25: PAC Kickoff,https://www.vlr.gg/430534/talon-vs-gen-g-champions-tour-2025-pacific-kickoff-lr4
8304,TALON,13,2025/02/02,W,2:1,Nongshim RedForce,VCT 25: PAC Kickoff,https://www.vlr.gg/430532/talon-vs-nongshim-redforce-champions-tour-2025-pacific-kickoff-lr3
8304,TALON,14,2025/01/31,L,1:2,T1,VCT 25: PAC Kickoff,https://www.vlr.gg/430522/t1-vs-talon-champions-tour-2025-pacific-kickoff-ubsf
8304,TALON,15,2025/01/25,W,2:1,Global Esports,VCT 25: PAC Kickoff,https://www.vlr.gg/430519/talon-vs-global-esports-champions-tour-2025-pacific-kickoff-ubqf
8304,TALON,16,2024/12/12,L,0:2,Gen.G,SOOP League,https://www.vlr.gg/425338/gen-g-vs-talon-soop-valorant-league-elim-a
8304,TALON,17,2024/12/10,L,1:2,Made in Thailand,SOOP League,https://www.vlr.gg/425336/made-in-thailand-vs-talon-soop-valorant-league-opening-a
