team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
1001,Team Heretics,1,2025/07/13,W,3:2,FNATIC,EWC 2025,https://www.vlr.gg/510155/fnatic-vs-team-heretics-esports-world-cup-2025-gf
1001,Team Heretics,2,2025/07/12,W,2:1,Gen.G,EWC 2025,https://www.vlr.gg/510154/gen-g-vs-team-heretics-esports-world-cup-2025-sf
1001,Team Heretics,3,2025/07/11,W,2:0,BBL Esports,EWC 2025,https://www.vlr.gg/510152/bbl-esports-vs-team-heretics-esports-world-cup-2025-qf
1001,Team Heretics,4,2025/07/10,W,2:0,Rex Regum Qeon,EWC 2025,https://www.vlr.gg/510142/rex-regum-qeon-vs-team-heretics-esports-world-cup-2025-decider-c
1001,Team Heretics,5,2025/07/09,W,2:1,Titan Esports Club,EWC 2025,https://www.vlr.gg/510141/team-heretics-vs-titan-esports-club-esports-world-cup-2025-elim-c
1001,Team Heretics,6,2025/07/08,L,0:1,NRG,EWC 2025,https://www.vlr.gg/510138/nrg-vs-team-heretics-esports-world-cup-2025-opening-c
1001,Team Heretics,7,2025/06/10,L,0:2,Wolves Esports,Masters Toronto 2025,https://www.vlr.gg/490312/team-heretics-vs-wolves-esports-valorant-masters-2025-toronto-r2-0-1
1001,Team Heretics,8,2025/06/07,L,0:2,Paper Rex,Masters Toronto 2025,https://www.vlr.gg/490309/team-heretics-vs-paper-rex-champions-tour-2025-masters-toronto-r1
1001,Team Heretics,9,2025/05/18,L,0:3,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/482513/fnatic-vs-team-heretics-champions-tour-2025-emea-stage-1-playoffs-gf
1001,Team Heretics,10,2025/05/17,W,3:0,Team Liquid,VCT 25: EMEA Stage 1,https://www.vlr.gg/482512/team-heretics-vs-team-liquid-champions-tour-2025-emea-stage-1-playoffs-lbf
1001,Team Heretics,11,2025/05/16,L,0:2,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/482515/team-heretics-vs-fnatic-champions-tour-2025-emea-stage-1-playoffs-ubf
1001,Team Heretics,12,2025/05/10,W,2:0,BBL Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/482507/team-heretics-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-ubsf
1001,Team Heretics,13,2025/05/02,W,2:0,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/459857/fnatic-vs-team-heretics-champions-tour-2025-emea-stage-1-w5
1001,Team Heretics,14,2025/04/18,W,2:0,Natus Vincere,VCT 25: EMEA Stage 1,https://www.vlr.gg/459850/natus-vincere-vs-team-heretics-champions-tour-2025-emea-stage-1-w4
1001,Team Heretics,15,2025/04/10,W,2:0,Team Vitality,VCT 25: EMEA Stage 1,https://www.vlr.gg/459842/team-vitality-vs-team-heretics-champions-tour-2025-emea-stage-1-w3
1001,Team Heretics,16,2025/04/03,W,2:1,GIANTX,VCT 25: EMEA Stage 1,https://www.vlr.gg/459835/team-heretics-vs-giantx-champions-tour-2025-emea-stage-1-w2
1001,Team Heretics,17,2025/03/27,W,2:1,Apeks,VCT 25: EMEA Stage 1,https://www.vlr.gg/459828/team-heretics-vs-apeks-champions-tour-2025-emea-stage-1-w1
1001,Team Heretics,18,2025/02/08,L,0:3,Team Liquid,VCT 25: EMEA Kickoff,https://www.vlr.gg/429401/team-heretics-vs-team-liquid-champions-tour-2025-emea-kickoff-lbf
1001,Team Heretics,19,2025/02/07,L,0:2,Team Vitality,VCT 25: EMEA Kickoff,https://www.vlr.gg/429389/team-vitality-vs-team-heretics-champions-tour-2025-emea-kickoff-ubf
1001,Team Heretics,20,2025/01/29,W,2:0,BBL Esports,VCT 25: EMEA Kickoff,https://www.vlr.gg/429388/bbl-esports-vs-team-heretics-champions-tour-2025-emea-kickoff-ubsf
1001,Team Heretics,21,2025/01/22,W,2:1,Gentle Mates,VCT 25: EMEA Kickoff,https://www.vlr.gg/429386/team-heretics-vs-gentle-mates-champions-tour-2025-emea-kickoff-ubqf
1001,Team Heretics,22,2024/12/13,L,0:2,Gentle Mates,HereticsXP #2,https://www.vlr.gg/427254/team-heretics-vs-gentle-mates-hereticsxp-2-main-event
1001,Team Heretics,23,2024/11/22,L,8:40,FFL,Unknown,https://www.vlr.gg/424021/team-heretics-vs-fut-esports-red-bull-home-ground-5-r3
1001,Team Heretics,24,2024/11/21,L,0:1,Cloud9,Red Bull HG #5,https://www.vlr.gg/423972/team-heretics-vs-cloud9-red-bull-home-ground-5-r2
1001,Team Heretics,25,2024/11/21,W,1:0,FOKUS,Red Bull HG #5,https://www.vlr.gg/423620/team-heretics-vs-fokus-red-bull-home-ground-5-r1
1001,Team Heretics,26,2024/08/25,L,2:3,EDward Gaming,VCT 2024: Champions,https://www.vlr.gg/378829/edward-gaming-vs-team-heretics-valorant-champions-2024-gf
1001,Team Heretics,27,2024/08/24,W,3:1,LEVIATÁN,VCT 2024: Champions,https://www.vlr.gg/378836/leviat-n-vs-team-heretics-valorant-champions-2024-lbf
1001,Team Heretics,28,2024/08/23,W,2:1,Sentinels,VCT 2024: Champions,https://www.vlr.gg/378835/team-heretics-vs-sentinels-valorant-champions-2024-lr3
1001,Team Heretics,29,2024/08/18,W,2:1,DRX,VCT 2024: Champions,https://www.vlr.gg/378833/team-heretics-vs-drx-valorant-champions-2024-lr2
1001,Team Heretics,30,2024/08/17,L,0:2,LEVIATÁN,VCT 2024: Champions,https://www.vlr.gg/378827/leviat-n-vs-team-heretics-valorant-champions-2024-ubsf
