team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
474,Team Liquid,1,2025/06/11,L,1:2,Paper Rex,Masters Toronto 2025,https://www.vlr.gg/490314/paper-rex-vs-team-liquid-valorant-masters-toronto-2025-r3-1-1
474,Team Liquid,2,2025/06/10,W,2:0,MIBR,Masters Toronto 2025,https://www.vlr.gg/490313/team-liquid-vs-mibr-valorant-masters-2025-toronto-r2-0-1
474,Team Liquid,3,2025/06/07,L,1:2,Bilibili Gaming,Masters Toronto 2025,https://www.vlr.gg/490307/bilibili-gaming-vs-team-liquid-champions-tour-2025-masters-toronto-r1
474,Team Liquid,4,2025/05/25,L,1:3,Karmine Corp,EWC 2025,https://www.vlr.gg/488002/team-liquid-vs-karmine-corp-esports-world-cup-2025-decider-p2
474,Team Liquid,5,2025/05/24,L,1:3,BBL Esports,EWC 2025,https://www.vlr.gg/488000/team-liquid-vs-bbl-esports-esports-world-cup-2025-winners-p2
474,Team Liquid,6,2025/05/23,W,2:0,FUT Esports,EWC 2025,https://www.vlr.gg/487998/team-liquid-vs-fut-esports-esports-world-cup-2025-opening-p2
474,Team Liquid,7,2025/05/17,L,0:3,Team Heretics,VCT 25: EMEA Stage 1,https://www.vlr.gg/482512/team-heretics-vs-team-liquid-champions-tour-2025-emea-stage-1-playoffs-lbf
474,Team Liquid,8,2025/05/16,W,2:1,BBL Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/482511/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-playoffs-lr3
474,Team Liquid,9,2025/05/11,W,2:1,Natus Vincere,VCT 25: EMEA Stage 1,https://www.vlr.gg/482509/team-liquid-vs-natus-vincere-champions-tour-2025-emea-stage-1-playoffs-lr2
474,Team Liquid,10,2025/05/10,L,1:2,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/482508/team-liquid-vs-fnatic-champions-tour-2025-emea-stage-1-playoffs-ubsf
474,Team Liquid,11,2025/05/02,W,2:1,Karmine Corp,VCT 25: EMEA Stage 1,https://www.vlr.gg/459856/team-liquid-vs-karmine-corp-champions-tour-2025-emea-stage-1-w5
474,Team Liquid,12,2025/04/16,W,2:0,KOI,VCT 25: EMEA Stage 1,https://www.vlr.gg/459846/team-liquid-vs-koi-champions-tour-2025-emea-stage-1-w4
474,Team Liquid,13,2025/04/10,W,2:0,FUT Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/459841/team-liquid-vs-fut-esports-champions-tour-2025-emea-stage-1-w3
474,Team Liquid,14,2025/04/02,W,2:1,BBL Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/459832/team-liquid-vs-bbl-esports-champions-tour-2025-emea-stage-1-w2
474,Team Liquid,15,2025/03/28,L,1:2,Gentle Mates,VCT 25: EMEA Stage 1,https://www.vlr.gg/459831/team-liquid-vs-gentle-mates-champions-tour-2025-emea-stage-1-w1
474,Team Liquid,16,2025/02/24,L,0:2,G2 Esports,Masters Bangkok 2025,https://www.vlr.gg/449005/g2-esports-vs-team-liquid-champions-tour-2025-masters-bangkok-r3
474,Team Liquid,17,2025/02/23,W,2:1,Sentinels,Masters Bangkok 2025,https://www.vlr.gg/449003/team-liquid-vs-sentinels-champions-tour-2025-masters-bangkok-r2-0-1
474,Team Liquid,18,2025/02/20,L,0:2,EDward Gaming,Masters Bangkok 2025,https://www.vlr.gg/448598/edward-gaming-vs-team-liquid-champions-tour-2025-masters-bangkok-r1
474,Team Liquid,19,2025/02/09,L,2:3,Team Vitality,VCT 25: EMEA Kickoff,https://www.vlr.gg/429390/team-vitality-vs-team-liquid-champions-tour-2025-emea-kickoff-gf
474,Team Liquid,20,2025/02/08,W,3:0,Team Heretics,VCT 25: EMEA Kickoff,https://www.vlr.gg/429401/team-heretics-vs-team-liquid-champions-tour-2025-emea-kickoff-lbf
474,Team Liquid,21,2025/02/07,W,2:1,FUT Esports,VCT 25: EMEA Kickoff,https://www.vlr.gg/429400/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr4
474,Team Liquid,22,2025/01/31,W,2:1,BBL Esports,VCT 25: EMEA Kickoff,https://www.vlr.gg/429398/bbl-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-lr3
474,Team Liquid,23,2025/01/30,W,2:0,GIANTX,VCT 25: EMEA Kickoff,https://www.vlr.gg/429396/giantx-vs-team-liquid-champions-tour-2025-emea-kickoff-lr2
474,Team Liquid,24,2025/01/24,W,2:1,Apeks,VCT 25: EMEA Kickoff,https://www.vlr.gg/429394/team-liquid-vs-apeks-champions-tour-2025-emea-kickoff-lr1
474,Team Liquid,25,2025/01/22,L,0:2,FUT Esports,VCT 25: EMEA Kickoff,https://www.vlr.gg/429383/fut-esports-vs-team-liquid-champions-tour-2025-emea-kickoff-ubqf
474,Team Liquid,26,2025/01/16,W,2:1,KOI,VCT 25: EMEA Kickoff,https://www.vlr.gg/429379/team-liquid-vs-koi-champions-tour-2025-emea-kickoff-ur1
474,Team Liquid,27,2024/11/30,L,0:2,GIANTX,Monsters Reloaded 24,https://www.vlr.gg/425017/team-liquid-vs-giantx-monsters-reloaded-2024-main-event-sf
474,Team Liquid,28,2024/07/10,L,0:2,FNATIC,VCT 24: EMEA Stage 2,https://www.vlr.gg/353174/fnatic-vs-team-liquid-champions-tour-2024-emea-stage-2-w4
474,Team Liquid,29,2024/07/04,W,2:0,Karmine Corp,VCT 24: EMEA Stage 2,https://www.vlr.gg/353169/team-liquid-vs-karmine-corp-champions-tour-2024-emea-stage-2-w3
474,Team Liquid,30,2024/06/27,L,0:2,BBL Esports,VCT 24: EMEA Stage 2,https://www.vlr.gg/353162/bbl-esports-vs-team-liquid-champions-tour-2024-emea-stage-2-w2
474,Team Liquid,31,2024/06/20,L,0:2,Team Vitality,VCT 24: EMEA Stage 2,https://www.vlr.gg/353156/team-vitality-vs-team-liquid-champions-tour-2024-emea-stage-2-w1
474,Team Liquid,32,2024/05/08,L,1:2,FNATIC,VCT 24: EMEA Stage 1,https://www.vlr.gg/341816/fnatic-vs-team-liquid-champions-tour-2024-emea-stage-1-knockout
474,Team Liquid,33,2024/05/03,W,2:0,Gentle Mates,VCT 24: EMEA Stage 1,https://www.vlr.gg/318940/team-liquid-vs-gentle-mates-champions-tour-2024-emea-stage-1-w5
474,Team Liquid,34,2024/04/24,L,0:2,Team Heretics,VCT 24: EMEA Stage 1,https://www.vlr.gg/318930/team-liquid-vs-team-heretics-champions-tour-2024-emea-stage-1-w4
474,Team Liquid,35,2024/04/19,W,2:1,GIANTX,VCT 24: EMEA Stage 1,https://www.vlr.gg/318928/team-liquid-vs-giantx-champions-tour-2024-emea-stage-1-w3
474,Team Liquid,36,2024/04/11,L,1:2,Natus Vincere,VCT 24: EMEA Stage 1,https://www.vlr.gg/318920/team-liquid-vs-natus-vincere-champions-tour-2024-emea-stage-1-w2
474,Team Liquid,37,2024/04/05,L,0:2,FUT Esports,VCT 24: EMEA Stage 1,https://www.vlr.gg/318916/team-liquid-vs-fut-esports-champions-tour-2024-emea-stage-1-w1
474,Team Liquid,38,2024/04/03,W,2:0,KOI,VCT 24: EMEA Stage 1,https://www.vlr.gg/318913/koi-vs-team-liquid-champions-tour-2024-emea-stage-1-w1
474,Team Liquid,39,2024/02/25,L,1:2,KOI,VCT 24: EMEA Kickoff,https://www.vlr.gg/297410/team-liquid-vs-koi-champions-tour-2024-emea-kickoff-decider-b
474,Team Liquid,40,2024/02/23,L,0:2,Natus Vincere,VCT 24: EMEA Kickoff,https://www.vlr.gg/297408/natus-vincere-vs-team-liquid-champions-tour-2024-emea-kickoff-winners-b
474,Team Liquid,41,2024/02/21,W,2:0,KOI,VCT 24: EMEA Kickoff,https://www.vlr.gg/297407/team-liquid-vs-koi-champions-tour-2024-emea-kickoff-opening-b
474,Team Liquid,42,2023/12/09,L,1:2,Sentinels,AFTV Valorant League,https://www.vlr.gg/286658/sentinels-vs-team-liquid-afreecatv-valorant-league-sf
474,Team Liquid,43,2023/12/08,W,2:0,EDward Gaming,AFTV Valorant League,https://www.vlr.gg/286651/team-liquid-vs-edward-gaming-afreecatv-valorant-league-decider-b
474,Team Liquid,44,2023/12/08,L,1:2,T1,AFTV Valorant League,https://www.vlr.gg/286649/team-liquid-vs-t1-afreecatv-valorant-league-winners-b
474,Team Liquid,45,2023/12/06,W,2:0,Fancy United Esports,AFTV Valorant League,https://www.vlr.gg/286647/fancy-united-esports-vs-team-liquid-afreecatv-valorant-league-opening-b
474,Team Liquid,46,2023/08/10,L,0:2,LOUD,VCT 2023: Champions,https://www.vlr.gg/247103/team-liquid-vs-loud-valorant-champions-2023-group-stage-elim-d
474,Team Liquid,47,2023/08/06,L,0:2,Natus Vincere,VCT 2023: Champions,https://www.vlr.gg/247100/team-liquid-vs-natus-vincere-valorant-champions-2023-group-stage-opening-d
474,Team Liquid,48,2023/06/19,L,1:2,NRG,VCT 2023: Masters Tokyo,https://www.vlr.gg/220451/team-liquid-vs-nrg-esports-champions-tour-2023-masters-tokyo-lr2
474,Team Liquid,49,2023/06/18,L,0:2,Evil Geniuses,VCT 2023: Masters Tokyo,https://www.vlr.gg/220446/team-liquid-vs-evil-geniuses-champions-tour-2023-masters-tokyo-ubsf
474,Team Liquid,50,2023/06/16,W,2:1,EDward Gaming,VCT 2023: Masters Tokyo,https://www.vlr.gg/220443/team-liquid-vs-edward-gaming-champions-tour-2023-masters-tokyo-ubqf
