team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
6199,Team Secret,1,2025/06/23,W,1:0,Global Esports,GE: Face Off,https://www.vlr.gg/508366/global-esports-vs-team-secret-global-esports-face-off-corrode-m1
6199,Team Secret,2,2025/05/24,L,0:2,Paper Rex,EWC 2025,https://www.vlr.gg/489434/paper-rex-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-sf
6199,Team Secret,3,2025/05/23,L,0:1,DRX,EWC 2025,https://www.vlr.gg/489432/drx-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
6199,Team Secret,4,2025/05/23,W,1:0,BOOM Esports,EWC 2025,https://www.vlr.gg/489431/boom-esports-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
6199,Team Secret,5,2025/05/23,W,1:0,Nongshim RedForce,EWC 2025,https://www.vlr.gg/489429/nongshim-redforce-vs-team-secret-esports-world-cup-2025-pacific-x-acl-qualifier-d2
6199,Team Secret,6,2025/04/21,W,2:1,Rex Regum Qeon,VCT 25: PAC Stage 1,https://www.vlr.gg/458835/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-stage-1-w5
6199,Team Secret,7,2025/04/12,L,0:2,Nongshim RedForce,VCT 25: PAC Stage 1,https://www.vlr.gg/458823/nongshim-redforce-vs-team-secret-champions-tour-2025-pacific-stage-1-w4
6199,Team Secret,8,2025/04/07,L,1:2,T1,VCT 25: PAC Stage 1,https://www.vlr.gg/458822/t1-vs-team-secret-champions-tour-2025-pacific-stage-1-w3
6199,Team Secret,9,2025/03/29,L,0:2,ZETA DIVISION,VCT 25: PAC Stage 1,https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2
6199,Team Secret,10,2025/03/23,L,1:2,TALON,VCT 25: PAC Stage 1,https://www.vlr.gg/458808/talon-vs-team-secret-champions-tour-2025-pacific-stage-1-w1
6199,Team Secret,11,2025/01/27,L,1:2,Rex Regum Qeon,VCT 25: PAC Kickoff,https://www.vlr.gg/430527/rex-regum-qeon-vs-team-secret-champions-tour-2025-pacific-kickoff-lr1
6199,Team Secret,12,2025/01/19,L,1:2,Global Esports,VCT 25: PAC Kickoff,https://www.vlr.gg/430516/global-esports-vs-team-secret-champions-tour-2025-pacific-kickoff-ur1
6199,Team Secret,13,2025/01/09,W,1:0,CREST GAMING Zst,Predator League APAC 25,https://www.vlr.gg/430816/team-secret-vs-crest-gaming-zst-predator-league-asia-pacific-2025-a
6199,Team Secret,14,2025/01/09,L,0:1,Next Gen,Predator League APAC 25,https://www.vlr.gg/430815/next-gen-vs-team-secret-predator-league-asia-pacific-2025-a
6199,Team Secret,15,2025/01/09,L,0:1,RIVAL,Predator League APAC 25,https://www.vlr.gg/430813/team-secret-vs-rival-predator-league-asia-pacific-2025-a
6199,Team Secret,16,2024/11/29,W,1:0,BOOM Esports,Battle of the Sea,https://www.vlr.gg/424208/team-secret-vs-boom-esports-battle-of-the-sea-main-event
6199,Team Secret,17,2024/07/12,L,0:2,TALON,VCT 24: PAC Stage 2,https://www.vlr.gg/365317/team-secret-vs-talon-esports-champions-tour-2024-pacific-stage-2-ko
6199,Team Secret,18,2024/07/07,W,2:1,Gen.G,VCT 24: PAC Stage 2,https://www.vlr.gg/314362/gen-g-vs-team-secret-champions-tour-2024-pacific-stage-2-w4
6199,Team Secret,19,2024/06/24,W,2:1,T1,VCT 24: PAC Stage 2,https://www.vlr.gg/314351/team-secret-vs-t1-champions-tour-2024-pacific-stage-2-w2
6199,Team Secret,20,2024/06/17,W,2:0,Global Esports,VCT 24: PAC Stage 2,https://www.vlr.gg/314345/team-secret-vs-global-esports-champions-tour-2024-pacific-stage-2-w1
6199,Team Secret,21,2024/06/15,W,2:1,BLEED,VCT 24: PAC Stage 2,https://www.vlr.gg/314341/team-secret-vs-bleed-champions-tour-2024-pacific-stage-2-w1
6199,Team Secret,22,2024/06/10,L,0:1,Rex Regum Qeon,Unknown,https://www.vlr.gg/360462/team-secret-vs-rex-regum-qeon-sea-kings-clash-main-event
6199,Team Secret,23,2024/05/03,L,0:2,T1,VCT 24: PAC Stage 1,https://www.vlr.gg/329907/team-secret-vs-t1-champions-tour-2024-pacific-stage-1-ko
6199,Team Secret,24,2024/04/28,L,1:2,TALON,VCT 24: PAC Stage 1,https://www.vlr.gg/314328/team-secret-vs-talon-esports-champions-tour-2024-pacific-stage-1-w4
6199,Team Secret,25,2024/04/23,W,2:1,DetonatioN FocusMe,VCT 24: PAC Stage 1,https://www.vlr.gg/314323/team-secret-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w3
6199,Team Secret,26,2024/04/21,W,2:0,Paper Rex,VCT 24: PAC Stage 1,https://www.vlr.gg/314320/team-secret-vs-paper-rex-champions-tour-2024-pacific-stage-1-w3
6199,Team Secret,27,2024/04/14,W,2:1,ZETA DIVISION,VCT 24: PAC Stage 1,https://www.vlr.gg/314311/team-secret-vs-zeta-division-champions-tour-2024-pacific-stage-1-w2
6199,Team Secret,28,2024/04/08,L,1:2,Rex Regum Qeon,VCT 24: PAC Stage 1,https://www.vlr.gg/314305/team-secret-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-1-w1
6199,Team Secret,29,2024/04/06,L,0:2,DRX,VCT 24: PAC Stage 1,https://www.vlr.gg/314302/team-secret-vs-drx-champions-tour-2024-pacific-stage-1-w1
6199,Team Secret,30,2024/02/22,W,2:0,ZETA DIVISION,VCT 24: PAC Kickoff,https://www.vlr.gg/297253/zeta-division-vs-team-secret-champions-tour-2024-pacific-kickoff-play-ins
6199,Team Secret,31,2024/02/22,L,1:2,Gen.G,VCT 24: PAC Kickoff,https://www.vlr.gg/297254/team-secret-vs-gen-g-champions-tour-2024-pacific-kickoff-play-ins
6199,Team Secret,32,2024/02/21,W,2:0,TALON,VCT 24: PAC Kickoff,https://www.vlr.gg/296734/talon-esports-vs-team-secret-champions-tour-2024-pacific-kickoff-decider-b
6199,Team Secret,33,2024/02/20,W,2:0,DetonatioN FocusMe,VCT 24: PAC Kickoff,https://www.vlr.gg/296733/detonation-focusme-vs-team-secret-champions-tour-2024-pacific-kickoff-elim-b
6199,Team Secret,34,2024/02/18,L,0:2,TALON,VCT 24: PAC Kickoff,https://www.vlr.gg/296731/team-secret-vs-talon-esports-champions-tour-2024-pacific-kickoff-opening-b
6199,Team Secret,35,2024/01/14,W,2:0,FAV gaming,Predator League '24: APAC,https://www.vlr.gg/286749/fav-gaming-vs-team-secret-predator-league-asia-pacific-2024-gf
6199,Team Secret,36,2024/01/13,W,1:0,Team Flash,Predator League '24: APAC,https://www.vlr.gg/286748/team-flash-vs-team-secret-predator-league-asia-pacific-2024-sf
6199,Team Secret,37,2024/01/11,W,1:0,ENDER DRAGON,Predator League '24: APAC,https://www.vlr.gg/286767/ender-dragon-vs-team-secret-predator-league-asia-pacific-2024-d
6199,Team Secret,38,2024/01/11,W,1:0,Todak,Predator League '24: APAC,https://www.vlr.gg/286764/team-secret-vs-todak-predator-league-asia-pacific-2024-d
6199,Team Secret,39,2024/01/11,W,1:0,No Salary Peek,Predator League '24: APAC,https://www.vlr.gg/286763/no-salary-peek-vs-team-secret-predator-league-asia-pacific-2024-d
6199,Team Secret,40,2023/07/23,L,1:3,ZETA DIVISION,VCT 2023: Pacific LCQ,https://www.vlr.gg/237274/zeta-division-vs-team-secret-champions-tour-2023-pacific-last-chance-qualifier-gf
6199,Team Secret,41,2023/07/22,W,3:1,Gen.G,VCT 2023: Pacific LCQ,https://www.vlr.gg/237273/team-secret-vs-gen-g-champions-tour-2023-pacific-last-chance-qualifier-lf
