team_id,team_name,match_number,date,result,score,opponent,tournament,match_url
2059,Team Vitality,1,2025/05/18,L,1:2,Gentle Mates,EWC 2025,https://www.vlr.gg/487995/team-vitality-vs-gentle-mates-esports-world-cup-2025-lr2
2059,Team Vitality,2,2025/05/17,L,0:2,FUT Esports,EWC 2025,https://www.vlr.gg/487989/fut-esports-vs-team-vitality-esports-world-cup-2025-ubsf
2059,Team Vitality,3,2025/05/16,W,2:1,GIANTX,EWC 2025,https://www.vlr.gg/487986/team-vitality-vs-giantx-esports-world-cup-2025-ubqf
2059,Team Vitality,4,2025/05/09,L,0:2,FUT Esports,VCT 25: EMEA Stage 1,https://www.vlr.gg/482506/fut-esports-vs-team-vitality-champions-tour-2025-emea-stage-1-playoffs-lr1
2059,Team Vitality,5,2025/04/24,L,0:2,Natus Vincere,VCT 25: EMEA Stage 1,https://www.vlr.gg/459855/team-vitality-vs-natus-vincere-champions-tour-2025-emea-stage-1-w5
2059,Team Vitality,6,2025/04/16,W,2:0,Apeks,VCT 25: EMEA Stage 1,https://www.vlr.gg/459845/team-vitality-vs-apeks-champions-tour-2025-emea-stage-1-w4
2059,Team Vitality,7,2025/04/10,L,0:2,Team Heretics,VCT 25: EMEA Stage 1,https://www.vlr.gg/459842/team-vitality-vs-team-heretics-champions-tour-2025-emea-stage-1-w3
2059,Team Vitality,8,2025/04/04,L,1:2,FNATIC,VCT 25: EMEA Stage 1,https://www.vlr.gg/459836/team-vitality-vs-fnatic-champions-tour-2025-emea-stage-1-w2
2059,Team Vitality,9,2025/03/26,W,2:0,GIANTX,VCT 25: EMEA Stage 1,https://www.vlr.gg/459826/team-vitality-vs-giantx-champions-tour-2025-emea-stage-1-w1
2059,Team Vitality,10,2025/02/28,L,1:2,T1,Masters Bangkok 2025,https://www.vlr.gg/449012/t1-vs-team-vitality-champions-tour-2025-masters-bangkok-lr1
2059,Team Vitality,11,2025/02/27,L,0:2,G2 Esports,Masters Bangkok 2025,https://www.vlr.gg/449009/team-vitality-vs-g2-esports-champions-tour-2025-masters-bangkok-ubsf
2059,Team Vitality,12,2025/02/22,W,2:1,DRX,Masters Bangkok 2025,https://www.vlr.gg/449000/drx-vs-team-vitality-champions-tour-2025-masters-bangkok-r2-1-0
2059,Team Vitality,13,2025/02/21,W,2:0,T1,Masters Bangkok 2025,https://www.vlr.gg/448599/team-vitality-vs-t1-champions-tour-2025-masters-bangkok-r1
2059,Team Vitality,14,2025/02/09,W,3:2,Team Liquid,VCT 25: EMEA Kickoff,https://www.vlr.gg/429390/team-vitality-vs-team-liquid-champions-tour-2025-emea-kickoff-gf
2059,Team Vitality,15,2025/02/07,W,2:0,Team Heretics,VCT 25: EMEA Kickoff,https://www.vlr.gg/429389/team-vitality-vs-team-heretics-champions-tour-2025-emea-kickoff-ubf
2059,Team Vitality,16,2025/01/29,W,2:0,FUT Esports,VCT 25: EMEA Kickoff,https://www.vlr.gg/429387/fut-esports-vs-team-vitality-champions-tour-2025-emea-kickoff-ubsf
2059,Team Vitality,17,2025/01/17,W,2:1,Karmine Corp,VCT 25: EMEA Kickoff,https://www.vlr.gg/429384/team-vitality-vs-karmine-corp-champions-tour-2025-emea-kickoff-ubqf
2059,Team Vitality,18,2024/08/11,L,0:2,LEVIATÁN,VCT 2024: Champions,https://www.vlr.gg/378672/leviat-n-vs-team-vitality-valorant-champions-2024-decider-c
2059,Team Vitality,19,2024/08/09,W,2:0,TALON,VCT 2024: Champions,https://www.vlr.gg/378671/talon-esports-vs-team-vitality-valorant-champions-2024-elim-c
2059,Team Vitality,20,2024/08/03,L,1:2,Trace Esports,VCT 2024: Champions,https://www.vlr.gg/378669/team-vitality-vs-trace-esports-valorant-champions-2024-opening-c
2059,Team Vitality,21,2024/07/20,L,1:3,FNATIC,VCT 24: EMEA Stage 2,https://www.vlr.gg/371283/fnatic-vs-team-vitality-champions-tour-2024-emea-stage-2-gf
2059,Team Vitality,22,2024/07/19,W,3:1,Team Heretics,VCT 24: EMEA Stage 2,https://www.vlr.gg/371285/team-vitality-vs-team-heretics-champions-tour-2024-emea-stage-2-lbf
2059,Team Vitality,23,2024/07/17,L,0:2,FNATIC,VCT 24: EMEA Stage 2,https://www.vlr.gg/371282/team-vitality-vs-fnatic-champions-tour-2024-emea-stage-2-ubf
2059,Team Vitality,24,2024/07/16,W,2:1,Team Heretics,VCT 24: EMEA Stage 2,https://www.vlr.gg/371280/team-heretics-vs-team-vitality-champions-tour-2024-emea-stage-2-ubsf
2059,Team Vitality,25,2024/07/15,W,2:1,Natus Vincere,VCT 24: EMEA Stage 2,https://www.vlr.gg/371278/team-vitality-vs-natus-vincere-champions-tour-2024-emea-stage-2-ko
2059,Team Vitality,26,2024/07/11,W,2:1,Karmine Corp,VCT 24: EMEA Stage 2,https://www.vlr.gg/353203/team-vitality-vs-karmine-corp-champions-tour-2024-emea-stage-2-w4
2059,Team Vitality,27,2024/07/05,W,2:1,BBL Esports,VCT 24: EMEA Stage 2,https://www.vlr.gg/353170/bbl-esports-vs-team-vitality-champions-tour-2024-emea-stage-2-w3
2059,Team Vitality,28,2024/06/26,L,1:2,FNATIC,VCT 24: EMEA Stage 2,https://www.vlr.gg/353160/fnatic-vs-team-vitality-champions-tour-2024-emea-stage-2-w2
2059,Team Vitality,29,2024/06/20,W,2:0,Team Liquid,VCT 24: EMEA Stage 2,https://www.vlr.gg/353156/team-vitality-vs-team-liquid-champions-tour-2024-emea-stage-2-w1
2059,Team Vitality,30,2024/05/02,L,1:2,KOI,VCT 24: EMEA Stage 1,https://www.vlr.gg/318938/team-vitality-vs-koi-champions-tour-2024-emea-stage-1-w5
2059,Team Vitality,31,2024/04/26,W,2:1,GIANTX,VCT 24: EMEA Stage 1,https://www.vlr.gg/318934/team-vitality-vs-giantx-champions-tour-2024-emea-stage-1-w4
2059,Team Vitality,32,2024/04/24,L,0:2,Gentle Mates,VCT 24: EMEA Stage 1,https://www.vlr.gg/318931/team-vitality-vs-gentle-mates-champions-tour-2024-emea-stage-1-w4
